Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-10-27,190.0,208.8,188.35,193.15,,,
2010-10-28,195.0,205.5,191.0,199.85,,,
2010-10-29,200.0,205.7,195.1,199.35,,,
2010-11-01,199.85,232.4,198.0,216.0,,,
2010-11-02,216.0,217.95,202.5,203.75,,,
2010-11-03,205.9,208.4,204.5,205.2,,,
2010-11-04,206.5,215.0,202.1,205.95,,,
2010-11-05,207.7,207.9,205.0,205.85,,,
2010-11-08,207.0,210.0,198.55,202.5,,,
2010-11-09,202.05,205.0,200.05,200.7,,,
2010-11-10,202.0,204.5,200.1,201.05,,,
2010-11-11,201.9,201.9,192.0,194.7,,,
2010-11-12,195.75,200.9,185.0,194.85,,,
2010-11-15,198.8,198.8,191.1,197.1,,,
2010-11-16,197.5,198.0,186.0,187.85,,,
2010-11-18,190.8,190.8,172.55,184.15,,,
2010-11-19,191.9,191.9,175.2,180.05,,,
2010-11-22,180.05,180.9,173.0,174.45,,,
2010-11-23,175.0,182.8,160.55,165.75,,,
2010-11-24,175.0,175.0,158.4,160.45,,165.12236014363194,222.14763985636804
2010-11-25,158.0,168.9,154.5,162.95,,160.47779175861345,223.77220824138655
2010-11-26,156.4,164.5,148.05,160.15,,155.67792931657362,224.60207068342635
2010-11-29,156.8,166.8,156.8,162.4,,151.99640371867577,224.58859628132421
2010-11-30,166.0,175.35,160.2,170.85,,151.41741852225343,220.65258147774657
2010-12-01,174.7,177.0,169.0,174.1,,150.5960034508161,218.5089965491839
2010-12-02,176.0,190.35,175.0,186.75,,151.06121610789668,216.1987838921033
2010-12-03,188.85,196.0,185.5,191.1,,151.81868207320363,213.95631792679634
2010-12-06,201.25,201.25,185.05,186.45,,152.71174579047187,211.1232542095281
2010-12-07,182.0,186.65,175.0,179.5,,153.2093647984034,208.32563520159655
2010-12-08,183.0,183.0,175.25,176.95,,153.63894536088642,205.52105463911354
2010-12-09,180.9,182.0,161.0,167.8,,153.55624355068122,202.27875644931876
2010-12-10,167.0,180.0,151.25,171.0,,153.53040674143924,199.93459325856074
2010-12-13,174.0,176.0,170.0,171.6,,153.91154109579202,197.22845890420797
2010-12-14,170.0,180.0,138.1,171.55,,155.10834329658832,193.47665670341166
2010-12-15,171.0,171.5,142.85,165.25,,154.69161608418315,191.63338391581684
2010-12-16,164.95,167.0,162.0,163.2,,153.89323453004323,190.33676546995673
2010-12-20,157.2,172.95,157.2,170.65,,153.80406835097267,189.48593164902735
2010-12-21,172.0,173.0,165.5,169.2,,153.56086102403944,189.20413897596055
2010-12-22,170.0,170.0,165.5,166.5,,153.64516859210897,189.19483140789106
2010-12-23,169.9,171.05,164.5,169.25,,154.80755458191277,188.91244541808726
2010-12-24,169.25,169.35,165.2,168.2,,155.49112587567822,188.75387412432178
2010-12-27,170.85,171.0,162.0,163.55,,156.11303689655335,188.47196310344668
2010-12-28,165.95,165.95,162.75,165.0,,156.53862949859936,188.30637050140066
2010-12-29,165.0,168.9,164.05,167.5,,156.23127088543856,188.2787291145615
2010-12-30,168.5,170.8,165.25,169.45,,155.97656347552842,188.06843652447154
2010-12-31,169.5,173.5,165.3,172.0,,156.81022702659618,185.7597729734038
2011-01-03,173.0,173.0,165.0,166.55,,158.8666543520701,181.2483456479299
