Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-01-04,270.0,309.4,270.0,294.95,,,
2006-01-05,297.0,299.5,280.25,282.6,,,
2006-01-06,282.9,283.85,271.05,275.45,,,
2006-01-09,275.2,282.4,272.55,280.0,,,
2006-01-10,281.1,290.0,278.25,280.1,,,
2006-01-12,274.0,285.5,274.0,279.0,,,
2006-01-13,280.0,285.1,272.0,274.3,,,
2006-01-16,273.6,280.8,271.05,273.35,,,
2006-01-17,274.9,276.9,264.15,265.3,,,
2006-01-18,262.0,270.0,256.0,264.65,,,
2006-01-19,269.8,272.8,265.15,271.2,,,
2006-01-20,274.9,283.9,270.0,272.55,,,
2006-01-23,272.0,288.95,270.15,284.45,,,
2006-01-24,283.8,303.0,282.25,291.35,,,
2006-01-25,294.8,299.9,289.0,297.25,,,
2006-01-27,301.0,307.9,289.0,291.95,,,
2006-01-30,295.0,296.0,282.0,287.25,,,
2006-01-31,289.4,293.95,275.45,280.75,,,
2006-02-01,282.0,284.0,265.0,266.9,,,
2006-02-02,269.8,273.3,251.25,255.95,,256.6603867749337,300.26961322506634
2006-02-03,260.9,260.9,252.5,255.2,,253.7718439691897,299.1831560308104
2006-02-06,252.1,265.0,252.1,258.65,,251.43620129169625,299.1237987083037
2006-02-07,259.25,263.1,257.0,261.2,,249.90742626040816,299.22757373959183
2006-02-08,260.1,267.9,255.5,266.0,,249.06233765529097,298.672662344709
2006-02-10,270.0,278.0,266.5,270.05,,248.6845773302421,298.0454226697578
2006-02-13,275.5,294.4,267.5,288.45,,248.35407143202764,299.3209285679723
2006-02-14,293.0,299.9,266.8,292.15,,247.96050833111457,301.49949166888547
2006-02-15,295.0,295.0,282.1,289.3,,247.99173426274766,303.06326573725244
2006-02-16,273.1,291.5,273.1,286.45,,249.0785586491187,304.09144135088127
2006-02-17,289.0,306.25,280.1,300.0,,249.56212377533268,307.14287622466736
2006-02-20,303.0,303.8,284.05,292.6,,250.1645100881109,308.68048991188914
2006-02-21,293.0,296.0,288.0,292.3,,250.79763416195334,310.0223658380466
2006-02-22,294.8,299.85,280.45,284.7,,250.80274352422518,310.0422564757748
2006-02-23,287.45,288.0,275.15,281.05,,250.73290263210228,309.08209736789763
2006-02-24,283.75,289.0,280.0,285.25,,251.15910984317134,307.4558901568287
2006-02-27,280.1,291.0,280.1,288.95,,251.2619377232357,307.05306227676436
2006-02-28,289.9,289.9,278.0,279.45,,251.13141994054465,306.4035800594554
2006-03-01,283.75,284.45,281.0,282.55,,251.18253934296536,306.5324606570347
2006-03-02,286.9,288.0,282.0,285.15,,252.555445070698,306.98455492930196
2006-03-03,289.7,289.7,282.0,283.7,,256.3315739293949,305.98342607060505
2006-03-06,287.95,287.95,280.0,284.95,,261.00736465881994,304.28263534118
2006-03-07,286.8,296.8,283.25,290.05,,265.5564870564897,302.8735129435104
2006-03-08,289.0,292.0,280.25,284.4,,270.1773720687462,300.5726279312538
2006-03-09,286.8,287.0,277.15,284.6,,274.1220999909068,298.4879000090931
2006-03-10,286.0,288.9,284.2,287.15,,277.6800710640027,296.6399289359974
2006-03-13,288.0,288.8,280.0,281.1,,276.9598329098741,296.62516709012584
2006-03-14,280.0,301.9,280.0,290.45,,277.0418649975813,296.3731350024187
2006-03-16,295.0,295.0,285.6,289.1,,277.0427506914727,296.3522493085273
2006-03-17,295.0,295.0,286.0,290.5,,277.09833526491906,296.7016647350809
2006-03-20,294.9,294.9,287.2,290.5,281.305,278.56862478117745,294.2813752188226
2006-03-21,294.9,298.4,289.0,290.85,281.223,278.73584678645955,293.9391532135404
2006-03-22,290.0,296.9,288.1,291.9,281.409,278.7800653533438,293.8549346466562
2006-03-23,290.5,294.0,288.05,290.0,281.7,278.91299270779115,294.2520072922088
2006-03-24,290.0,293.0,289.0,290.0,281.9,279.6820034954037,294.37799650459635
2006-03-27,286.2,299.0,286.2,291.8,282.13399999999996,279.7637854939114,294.9512145060886
2006-03-28,292.95,295.0,280.0,284.05,282.235,279.4195863092966,294.8054136907034
2006-03-29,286.0,295.0,283.05,288.25,282.514,280.7497548110897,294.3552451889103
2006-03-30,290.9,295.0,286.1,293.15,282.91,281.26910182164437,294.8958981783556
2006-03-31,298.0,344.4,293.0,308.1,283.766,278.12028874315354,300.3397112568465
2006-04-03,312.0,333.9,309.0,328.1,285.035,271.0952514269114,311.8047485730886
2006-04-04,332.0,335.3,311.2,314.9,285.909,270.3256550615116,315.5693449384885
2006-04-05,317.7,326.0,314.3,316.95,286.79699999999997,269.3194771869521,319.26552281304794
2006-04-07,316.6,331.85,316.5,325.7,287.622,268.2014260549353,324.5135739450647
2006-04-10,325.0,331.0,313.0,314.95,288.094,269.1219040568544,326.6280959431456
2006-04-12,318.8,335.0,306.3,309.6,288.341,270.25447384353004,327.7405261564701
2006-04-13,309.0,318.0,303.0,314.25,288.787,272.43914219664975,328.8708578033503
2006-04-17,318.95,325.0,308.0,314.0,289.32199999999995,273.44474735911757,330.2202526408825
2006-04-18,313.95,318.7,313.0,315.2,290.01099999999997,274.8146642253867,331.46033577461327
2006-04-19,317.9,318.0,303.0,306.0,290.793,276.2040769029301,331.6209230970699
2006-04-20,306.0,317.0,305.2,314.9,291.972,277.7640341852608,332.5009658147392
2006-04-21,322.0,322.0,309.0,310.6,293.08,279.5065605775081,332.7334394224919
2006-04-24,323.5,329.95,307.0,310.05,294.108,281.2304280527317,332.82457194726834
2006-04-25,319.0,320.0,308.5,310.0,295.084,283.48978520484593,332.56521479515413
2006-04-26,314.9,314.9,305.0,308.85,295.941,285.9464788462823,331.99352115371767
2006-04-27,311.0,324.65,305.15,321.7,296.974,288.2676293638687,332.66237063613136
2006-04-28,303.35,321.0,291.35,318.15,297.568,293.5683475550129,330.771652444987
2006-04-29,318.0,325.0,310.3,320.15,298.128,298.65672063856925,328.8732793614307
2006-05-02,327.8,327.8,312.0,320.2,298.74600000000004,303.2935156773181,326.9414843226819
2006-05-03,320.2,324.9,316.0,320.3,299.423,304.1721196172804,327.28288038271955
2006-05-04,320.0,323.8,316.25,320.1,299.825,305.09759157833474,325.55740842166523
2006-05-05,320.0,324.0,317.3,320.15,300.376,305.13923321877013,326.0407667812298
2006-05-08,321.25,322.0,312.0,320.15,300.933,305.11520111293646,326.38479888706354
2006-05-09,320.0,323.95,314.0,314.3,301.525,305.6232773730588,324.73672262694123
2006-05-10,316.0,319.0,314.0,316.05,302.225,305.6711921259103,324.79880787408973
2006-05-11,325.0,325.0,300.05,305.3,302.62600000000003,304.7551699068141,325.28483009318586
2006-05-12,302.2,315.0,302.2,312.0,303.087,304.5581661795946,325.25683382040535
2006-05-15,321.5,334.35,295.0,301.55,303.529,302.332325778199,326.23767422180094
2006-05-16,307.0,310.0,256.0,296.65,303.811,299.05574173489276,327.65925826510716
2006-05-17,306.0,307.0,296.0,299.1,304.09,297.6685186666636,328.3564813333364
2006-05-18,276.65,310.0,276.65,290.0,304.216,293.33788210408693,330.19711789591315
2006-05-19,320.0,320.0,275.0,277.4,304.065,286.0987674878076,334.1162325121923
2006-05-22,285.0,285.0,252.1,271.65,303.69699999999995,278.65343625908315,337.72156374091685
2006-05-23,252.0,277.9,252.0,269.3,303.395,271.9107361036006,340.39426389639937
2006-05-24,269.0,290.0,269.0,285.4,303.411,269.54210176126594,340.4178982387341
2006-05-25,295.0,295.0,270.0,274.55,303.159,265.62880957069996,339.61619042930005
2006-05-26,287.0,294.7,276.15,279.55,303.128,263.08714938686524,338.29785061313476
2006-05-29,283.0,283.5,270.0,273.05,302.78,259.97121991750583,336.7037800824941
2006-05-30,275.0,284.0,271.45,272.25,302.443,257.3340473638151,334.5459526361848
2006-05-31,265.0,279.0,253.6,267.15,301.976,254.4205273139329,332.14447268606716
2006-06-01,271.0,278.95,250.1,257.35,301.313,250.27999226006247,330.01000773993746
2006-06-02,240.0,258.0,230.0,246.25,300.421,244.64292429567206,328.2570757043279
2006-06-05,250.0,250.0,235.5,236.9,299.32099999999997,238.09846974658865,326.4765302534114
2006-06-06,230.1,239.9,230.0,233.9,298.199,231.77239244752872,324.76260755247137
2006-06-07,226.15,249.8,204.9,229.85,296.996,226.24400996228573,321.6709900377143
2006-06-08,216.05,228.0,190.15,206.35,295.28700000000003,214.89003967792195,323.12996032207803
2006-06-09,234.0,234.0,200.0,227.3,294.152,211.57134460520035,317.9786553947996
2006-06-12,231.0,235.0,220.0,222.9,292.845,207.4574806642924,314.22751933570765
2006-06-13,226.1,226.1,196.15,215.1,291.284,202.4462710403705,311.08372895962947
2006-06-14,210.15,223.0,188.4,194.05,289.003,194.19687454713699,308.828125452863
2006-06-15,200.15,212.0,200.0,206.8,286.577,189.72220391958706,304.982796080413
2006-06-16,224.5,224.5,195.1,202.35,284.32599999999996,184.4539897684038,302.7460102315962
2006-06-19,212.0,214.0,205.0,209.7,282.18100000000004,181.0537916788519,299.9512083211481
2006-06-20,205.0,213.0,205.0,208.55,279.83799999999997,178.00365386479334,296.92634613520664
2006-06-21,210.0,217.7,205.15,210.95,277.758,177.69273569230896,289.7922643076911
2006-06-22,218.0,221.0,213.1,215.05,275.867,177.59522512117013,283.93977487882984
2006-06-23,218.0,218.55,206.5,215.45,273.891,179.26717086984647,275.8578291301535
2006-06-25,215.0,221.0,212.05,218.05,271.972,181.40692341187292,268.2180765881271
2006-06-26,215.0,223.5,212.25,216.65,270.001,184.72594244181036,259.33905755818967
2006-06-27,216.0,221.9,210.25,219.85,268.278,188.99688531324182,250.3381146867581
2006-06-28,219.85,220.5,207.0,219.95,266.379,192.75676529158386,242.83823470841622
2006-06-29,220.8,220.9,210.0,212.05,264.408,194.84484492260236,237.33015507739765
2006-06-30,216.4,223.0,212.0,218.85,262.584,196.25787938598975,234.11212061401025
2006-07-03,219.0,219.0,213.0,216.3,260.71,197.52704140137138,231.08295859862864
2006-07-04,217.05,227.9,215.2,224.5,259.02299999999997,198.15646612803306,229.91853387196693
