Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-08-31,274.2,305.5,274.2,299.4,,,
2016-09-01,302.5,316.5,302.0,305.15,,,
2016-09-02,306.5,309.0,298.55,301.25,,,
2016-09-06,303.0,310.25,300.6,307.75,,,
2016-09-07,308.85,312.8,302.4,304.0,,,
2016-09-08,306.5,308.0,303.65,305.5,,,
2016-09-09,303.65,303.65,298.1,298.8,,,
2016-09-12,290.9,299.75,287.6,296.95,,,
2016-09-14,299.1,303.3,296.0,296.95,,,
2016-09-15,298.0,302.75,295.0,299.35,,,
2016-09-16,300.6,304.5,299.45,301.8,,,
2016-09-19,303.0,303.9,299.25,301.35,,,
2016-09-20,301.35,301.5,296.3,297.15,,,
2016-09-21,298.0,301.9,297.35,300.0,,,
2016-09-22,302.25,304.0,300.7,302.15,,,
2016-09-23,303.0,307.95,301.4,303.3,,,
2016-09-26,303.0,303.0,299.0,302.2,,,
2016-09-27,303.0,303.5,298.0,298.9,,,
2016-09-28,300.5,304.45,295.55,297.55,,,
2016-09-29,298.9,302.5,281.55,285.9,,291.1702371343794,309.36976286562054
2016-09-30,287.0,293.8,286.05,291.2,,289.89719549101704,309.822804508983
2016-10-03,298.5,299.9,295.2,297.6,,289.79532589682293,309.169674103177
2016-10-04,299.1,299.95,296.5,297.55,,289.61113003195237,308.98386996804766
2016-10-05,299.8,299.9,295.0,295.65,,289.74574081021507,307.6392591897849
2016-10-06,299.0,307.5,296.0,304.3,,289.72234997049947,307.6926500295005
2016-10-07,305.0,315.45,305.0,309.25,,289.18570439977066,308.6042956002293
2016-10-10,311.9,314.9,308.65,313.1,,288.0084302332558,311.2115697667442
2016-10-13,310.0,311.4,303.8,306.25,,288.1805298120247,311.9694701879753
2016-10-14,307.0,321.3,306.4,314.7,,287.50383521129464,314.4211647887053
2016-10-17,316.0,316.45,306.0,307.8,,287.6125981531332,315.1574018468668
2016-10-18,309.35,312.4,303.0,307.45,,287.63002103155725,315.7049789684428
2016-10-19,311.95,316.0,311.9,313.4,,287.28732930840994,317.25267069159
2016-10-20,322.0,335.0,316.7,328.05,,285.13804825953156,322.49195174046844
2016-10-21,328.0,332.0,322.5,328.55,,283.6557283440457,326.8292716559543
2016-10-24,329.3,334.9,324.4,333.6,,281.85787676834536,331.77212323165463
2016-10-25,334.0,346.0,332.2,344.5,,278.85217534941137,338.89782465058863
2016-10-26,345.8,357.0,341.4,353.45,,275.6234939923529,347.2515060076471
2016-10-27,353.35,367.0,343.65,361.15,,272.96826058674833,356.1317394132517
2016-10-28,364.8,376.0,364.75,374.65,,269.7629465028353,367.04705349716477
2016-10-30,379.7,399.5,378.8,390.6,,267.73373822850306,379.5462617714969
2016-11-01,396.2,404.4,393.2,395.8,,266.5401017927488,391.1998982072512
2016-11-02,390.0,390.0,381.0,382.05,,268.28909467199867,397.8959053280014
2016-11-03,383.0,389.3,375.55,378.95,,271.53856441966013,402.7864355803399
2016-11-04,381.35,381.35,353.0,365.95,,276.91113801303544,404.4438619869646
2016-11-07,374.0,387.0,372.2,383.2,,280.5702394704345,408.6747605295655
2016-11-08,388.0,392.0,376.65,385.95,,284.13857199276435,412.7764280072356
2016-11-09,335.0,385.7,330.0,376.95,,288.39076726425026,414.9092327357497
2016-11-10,386.25,392.0,376.6,380.9,,294.64321006255324,416.12178993744675
2016-11-11,379.15,389.0,377.0,379.25,,300.1557930017913,417.0642069982087
2016-11-15,377.0,384.0,360.65,363.65,325.41700000000003,308.0555080263982,414.7494919736018
2016-11-16,374.9,374.9,352.0,354.05,326.51,316.5985556442995,410.8664443557004
2016-11-17,357.95,359.5,338.0,341.7,327.24100000000004,322.9333408014318,407.36165919856813
2016-11-18,342.1,348.0,338.0,338.95,327.995,325.25069938674767,406.1343006132523
2016-11-21,343.0,345.0,330.4,333.6,328.51200000000006,326.4271173058129,405.4628826941871
2016-11-22,336.45,345.95,332.1,344.2,329.316,328.53064323214494,404.419356767855
2016-11-23,347.7,347.75,338.1,340.7,330.02,327.8425467675869,404.72745323241304
2016-11-24,338.0,343.5,333.45,337.6,330.796,325.3213231767057,405.6636768232942
2016-11-25,341.3,352.5,341.1,351.1,331.879,324.3415119721862,405.6384880278138
2016-11-28,343.0,356.7,341.6,353.2,333.004,323.21031357897914,404.6246864210208
2016-11-29,352.05,363.0,352.05,359.65,334.21,323.628027656654,401.111972343346
2016-11-30,362.0,365.4,359.0,363.75,335.449,325.33796615574784,396.19703384425213
2016-12-01,367.0,367.0,350.3,352.35,336.46899999999994,325.1426903159505,393.4223096840494
2016-12-02,348.6,352.4,343.6,346.7,337.46,324.4062786523411,390.93372134765883
2016-12-05,346.7,351.9,346.0,350.4,338.468,323.71685460509656,390.0681453949035
2016-12-06,350.55,354.0,345.25,347.75,339.38,324.14759462462104,386.092405375379
2016-12-07,350.4,356.75,340.0,345.0,340.214,325.44830246462084,380.69669753537926
2016-12-08,345.9,355.0,345.9,354.1,341.25199999999995,326.6754141735976,377.1845858264023
2016-12-09,355.75,355.9,349.5,351.55,342.305,329.200552894036,371.724447105964
2016-12-12,351.4,351.6,346.3,348.95,343.333,332.56395642725687,365.3310435727431
2016-12-13,349.6,350.55,343.0,344.5,344.505,333.0495709214024,362.9304290785976
2016-12-14,346.0,346.5,339.05,340.25,345.486,332.2636230567693,362.33637694323073
2016-12-15,337.0,359.25,336.1,355.7,346.648,332.75919604275646,363.24080395724354
2016-12-16,357.9,359.6,351.5,352.35,347.744,333.93456472880587,363.40543527119405
2016-12-19,352.4,352.4,345.2,346.35,348.75800000000004,336.31737115659,362.29762884341
2016-12-20,346.7,350.1,343.0,344.95,349.57099999999997,336.4127514471941,362.27724855280593
2016-12-21,346.5,347.4,342.1,344.2,350.27,336.99190945788024,362.0480905421197
2016-12-22,344.0,346.0,339.2,340.2,350.81199999999995,337.5977890213598,361.70221097864015
2016-12-23,340.0,342.3,335.85,336.6,351.4189999999999,335.5663639208672,362.2836360791328
2016-12-26,337.8,337.8,330.1,330.8,351.74100000000004,332.3620353268969,363.2479646731031
2016-12-27,333.95,334.4,327.6,330.3,352.191,330.0774140612105,362.59758593878945
2016-12-28,331.5,334.0,325.1,327.9,352.6,328.4640239887728,360.62597601122724
2016-12-29,331.25,334.9,327.5,331.65,352.965,326.88865671398474,360.13134328601524
2016-12-30,332.6,336.9,332.0,335.1,353.106,325.97121404543896,359.88878595456106
2017-01-02,338.7,338.9,333.2,335.8,353.25100000000003,325.33845858329204,359.06154141670794
2017-01-03,334.5,344.8,334.5,341.3,353.405,325.2173845331609,358.537615466839
2017-01-04,344.4,349.6,342.15,345.55,353.426,325.22138370641517,358.5886162935848
2017-01-05,348.0,355.0,346.1,353.95,353.436,325.23684748861103,358.55815251138904
2017-01-06,356.0,359.35,353.3,356.5,353.343,324.7497223589126,359.54027764108736
2017-01-09,357.1,360.0,354.0,354.7,352.944,324.3857981581562,360.4792018418438
2017-01-10,356.0,364.4,356.0,362.5,352.38200000000006,323.17926400543536,363.4857359945647
2017-01-11,366.0,373.0,364.1,369.4,351.85400000000004,321.5894873014913,367.9905126985087
2017-01-12,371.15,373.9,365.2,367.75,351.568,320.4393802709861,370.345619729014
2017-01-13,369.0,370.0,362.55,366.35,351.31600000000003,319.5807890821915,372.6042109178086
2017-01-16,365.5,379.25,365.5,376.45,351.526,317.8093095636264,377.3856904363735
2017-01-17,380.0,384.9,380.0,382.7,351.51599999999996,315.8655491763447,383.1044508236553
2017-01-18,383.0,386.0,380.1,381.45,351.426,314.94847637226246,387.7465236277375
2017-01-19,382.3,382.85,376.0,377.9,351.445,315.3881473656142,391.07685263438583
2017-01-20,380.0,384.9,366.25,368.65,351.2,317.2426561546181,392.42734384538187
2017-01-23,382.1,393.5,382.1,389.45,351.404,318.93953564710847,396.5954643528915
2017-01-24,390.0,394.8,389.6,391.75,351.966,321.4427171655611,400.2372828344389
2017-01-25,392.6,393.0,387.5,390.05,352.686,325.70246626667614,402.19253373332384
2017-01-27,391.95,411.6,390.0,398.1,353.814,329.2943097148783,405.2456902851218
2017-01-30,397.0,403.4,389.0,390.85,354.852,333.8826865025008,406.2323134974992
2017-01-31,391.65,391.8,380.1,382.15,355.82300000000004,339.6684337833501,405.0815662166499
2017-02-01,382.95,402.65,382.2,400.95,356.95799999999997,343.72095758795126,406.99404241204877
2017-02-02,401.75,401.75,392.55,394.45,358.03299999999996,348.3849528733743,407.22004712662573
2017-02-03,396.4,399.75,388.35,390.15,359.084,351.9734377301298,407.25156226987025
2017-02-06,394.05,398.0,390.4,392.2,359.90600000000006,355.4861435180112,407.30885648198887
2017-02-07,394.0,396.0,391.0,392.85,360.699,360.20442128772606,406.40557871227384
2017-02-08,393.8,396.95,388.7,393.4,361.374,363.544725140427,406.15527485957307
2017-02-09,393.9,397.8,391.0,394.4,361.98699999999997,365.69698164744784,406.5030183525522
2017-02-10,394.65,395.7,388.3,389.5,362.73,368.6713370747737,405.7036629252263
2017-02-13,390.9,395.0,387.2,392.85,363.653,372.67597077499073,404.34902922500925
2017-02-14,392.9,407.95,391.1,403.75,364.72,373.71586658203535,406.03913341796465
2017-02-15,403.1,405.5,394.0,395.55,365.676,374.5391100965844,406.50088990341555
2017-02-16,397.05,416.4,392.8,413.1,367.03799999999995,373.8032197438108,410.4017802561892
2017-02-17,417.7,421.4,413.6,418.45,368.325,373.60598582405123,414.65401417594876
2017-02-20,419.0,426.8,413.65,425.25,369.79900000000004,375.6358698579383,418.28413014206166
2017-02-21,425.8,431.45,424.0,426.55,371.351,374.06249667099473,423.56750332900526
2017-02-22,426.0,433.65,422.5,427.2,373.005,373.0453050983627,428.12969490163727
2017-02-23,428.4,474.15,427.25,456.9,375.338,367.1094336645549,440.7505663354451
2017-02-27,458.0,488.0,457.0,467.8,377.58,360.97927078888324,453.8507292111167
2017-02-28,470.9,484.0,470.0,476.7,380.06700000000006,356.6480749260546,466.76692507394534
2017-03-01,479.9,481.85,475.6,479.15,382.72299999999996,355.6793449428895,477.4356550571105
2017-03-02,480.1,482.0,455.55,462.5,385.074,355.9219748093292,483.3480251906707
2017-03-03,461.9,467.25,452.0,455.55,387.301,358.2068679747242,487.17313202527566
2017-03-06,457.9,475.5,457.3,472.25,389.94199999999995,360.6036116270667,492.9863883729332
2017-03-07,473.0,478.95,468.1,474.3,392.6960000000001,363.5688232063283,498.23117679367164
2017-03-08,474.1,482.9,474.1,479.1,395.662,367.09874163249424,503.3262583675057
2017-03-09,478.0,482.0,470.8,471.8,398.49199999999996,372.1359071958283,506.1290928041717
2017-03-10,473.15,477.8,466.65,470.05,401.335,378.0437420712168,507.78625792878313
2017-03-14,481.2,484.35,475.0,476.75,404.23699999999997,385.88943777117527,508.6655622288247
2017-03-15,478.45,479.4,472.35,476.85,407.07200000000006,394.4277020392015,508.5272979607984
2017-03-16,479.9,481.0,477.5,479.15,409.93899999999996,401.6145910629293,508.88040893707057
2017-03-17,480.95,496.4,478.0,486.65,412.846,412.40565938799875,507.1993406120014
2017-03-20,489.3,499.85,486.85,498.25,415.9,419.09159471713906,509.02840528286106
2017-03-21,499.3,507.0,492.0,501.0,418.841,425.7640348570364,510.6109651429636
2017-03-22,495.25,509.95,495.0,501.0,421.731,432.2524291922296,511.69757080777043
2017-03-23,502.75,504.95,498.05,500.1,424.63899999999995,440.25387565861456,511.0511243413854
2017-03-24,500.7,503.9,491.7,492.95,427.24799999999993,451.0777334960669,506.80226650393297
2017-03-27,493.95,499.8,491.05,495.75,429.775,454.09365167208233,507.67134832791766
2017-03-28,499.35,499.35,484.0,486.6,432.15200000000004,455.6543499135553,507.9906500864448
2017-03-29,489.0,495.9,481.3,485.8,434.541,456.1679841908395,508.38701580916046
