Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-03-12,48.7,48.7,44.55,45.5,,,
2008-03-13,43.6,45.6,40.7,42.6,,,
2008-03-14,43.1,43.8,41.0,42.15,,,
2008-03-17,39.75,40.9,37.7,39.3,,,
2008-03-18,39.0,40.9,38.3,39.45,,,
2008-03-19,40.1,41.15,37.9,38.3,,,
2008-03-24,38.7,39.25,34.7,36.1,,,
2008-03-25,37.0,39.75,35.7,39.3,,,
2008-03-26,39.4,40.3,38.5,39.45,,,
2008-03-27,39.4,41.9,39.3,41.3,,,
2008-03-28,41.6,42.0,39.45,40.9,,,
2008-03-31,41.05,41.2,39.7,39.9,,,
2008-04-01,40.3,40.85,38.9,39.1,,,
2008-04-02,39.75,40.85,38.9,39.0,,,
2008-04-03,39.25,39.65,38.9,39.1,,,
2008-04-04,39.1,40.25,37.9,38.35,,,
2008-04-07,38.7,40.1,38.15,39.8,,,
2008-04-08,39.55,41.1,39.2,40.3,,,
2008-04-09,39.75,42.7,39.4,42.4,,,
2008-04-10,42.1,43.45,41.25,41.8,,36.16677475146634,44.243225248533655
2008-04-11,42.1,42.55,40.95,41.85,,36.73096780199156,43.31403219800844
2008-04-15,41.25,43.8,40.9,43.4,,36.62296591282452,43.50203408717548
2008-04-16,43.8,44.2,42.4,43.05,,36.53210528494811,43.682894715051894
2008-04-17,43.9,43.9,43.1,43.3,,36.483438367596435,44.13156163240356
2008-04-21,43.5,44.4,42.95,43.05,,36.498056693630446,44.47694330636955
2008-04-22,42.95,43.35,42.4,42.75,,36.73791318269471,44.68208681730529
2008-04-23,43.1,43.2,41.6,42.4,,37.635775589421215,44.41422441057878
2008-04-24,42.45,43.8,42.4,42.6,,37.833215824632155,44.54678417536784
2008-04-25,42.75,44.6,42.1,43.9,,37.952978432834364,44.87202156716564
2008-04-28,45.0,45.0,41.9,42.95,,37.968722702488165,45.02127729751183
2008-04-29,43.1,45.25,43.1,44.85,,37.87601567125201,45.50898432874798
2008-04-30,45.4,47.3,45.0,46.0,,37.82573084354648,46.16926915645351
2008-05-02,46.75,47.05,45.1,45.5,,38.099958311440545,46.535041688559446
2008-05-05,45.55,47.2,45.2,46.3,,38.41064905148647,46.95435094851352
2008-05-06,46.65,46.8,44.0,44.85,,38.946594791263955,46.99340520873604
2008-05-07,45.0,45.7,44.3,45.2,,39.81289475910419,46.81210524089581
2008-05-08,44.85,45.8,44.25,45.0,,40.415807026916305,46.72919297308369
2008-05-09,44.6,45.0,43.2,43.45,,40.97158703141402,46.48841296858599
2008-05-12,42.75,43.85,41.8,43.4,,41.08763262067315,46.472367379326855
2008-05-13,44.05,44.8,43.0,43.25,,41.31074863529097,46.39425136470903
2008-05-14,43.3,44.05,42.8,43.65,,41.57800940169476,46.30699059830525
2008-05-15,44.25,44.35,43.6,43.9,,41.61662670201941,46.31837329798058
2008-05-16,44.2,44.25,43.7,43.9,,41.698563900492715,46.321436099507295
2008-05-20,44.15,44.6,43.7,44.0,,41.75775849893135,46.33224150106865
2008-05-21,43.7,45.3,43.7,44.55,,41.87210039557386,46.367899604426135
2008-05-22,44.45,44.45,42.8,43.1,,41.929410804623814,46.34558919537619
2008-05-23,43.75,43.75,42.8,43.1,,42.060261227611996,46.284738772388
2008-05-26,42.4,42.9,41.3,41.75,,41.85649123483911,46.40350876516089
2008-05-27,42.65,43.4,40.4,40.6,,41.196169732065215,46.73383026793478
2008-05-28,40.9,41.85,40.35,41.5,42.224,40.94180427472467,46.84319572527533
2008-05-29,41.8,42.3,39.8,40.4,42.122,40.37256878288885,46.967431217111155
2008-05-30,40.5,40.9,40.1,40.2,42.074000000000005,39.92877596084792,46.83122403915208
2008-06-02,40.4,40.8,38.85,39.1,42.013000000000005,39.26657077789001,46.853429222109995
2008-06-03,38.25,38.9,37.5,38.1,41.989,38.56936537443396,46.73063462556604
2008-06-04,38.3,38.85,37.2,37.8,41.956,37.81848753835413,46.77651246164587
2008-06-05,38.6,38.6,37.4,38.2,41.95399999999999,37.33156934741501,46.563430652585
2008-06-06,38.55,38.6,37.9,38.2,41.995999999999995,36.93684412359576,46.27815587640424
2008-06-09,36.75,37.5,35.6,37.3,41.956,36.339312441542845,46.26068755845715
2008-06-10,37.1,38.0,36.05,37.8,41.923,35.92796287275287,46.11203712724712
2008-06-11,38.25,39.1,37.9,38.5,41.867000000000004,35.68531037185557,45.879689628144426
2008-06-12,37.5,38.2,37.1,38.0,41.809000000000005,35.445871932141436,45.554128067858564
2008-06-13,38.45,38.55,37.5,37.65,41.763999999999996,35.246918849440576,45.128081150559424
2008-06-16,38.2,38.55,38.1,38.3,41.748000000000005,35.224802284501294,44.590197715498704
2008-06-17,38.05,38.6,37.9,38.55,41.739000000000004,35.33651801580825,43.933481984191744
2008-06-18,38.65,40.1,38.55,38.8,41.733000000000004,35.71569966349877,42.97930033650124
2008-06-19,38.3,38.5,36.55,37.05,41.707,35.73569891303156,42.35430108696844
2008-06-20,37.5,37.85,35.8,36.15,41.63400000000001,35.74017635219026,41.654823647809735
2008-06-23,35.6,36.4,34.9,35.15,41.53099999999999,35.37166517214492,41.36333482785506
2008-06-24,35.2,35.6,34.5,35.0,41.383,34.927907254757436,41.24709274524256
2008-06-25,34.5,35.05,34.2,34.5,41.236999999999995,34.61898567761068,40.85601432238931
2008-06-26,35.05,35.2,33.0,33.15,41.063,33.895057471738944,40.854942528261056
2008-06-27,33.15,33.15,32.05,32.5,40.845,33.14174680776083,40.83825319223916
2008-06-30,32.6,32.6,31.1,31.4,40.611999999999995,32.152336692908875,41.05766330709113
2008-07-01,31.1,31.5,28.5,29.0,40.326,30.61285272003716,41.687147279962836
2008-07-02,29.25,30.4,27.75,30.0,40.065,29.643705972438973,41.87629402756104
2008-07-03,29.6,30.0,27.2,27.95,39.769,28.327165736701062,42.16783426329893
2008-07-04,28.1,29.6,27.7,28.85,39.498000000000005,27.448424453093345,42.11157554690666
2008-07-07,29.05,30.75,28.9,29.85,39.242999999999995,26.861132801490744,41.95386719850926
2008-07-08,29.25,31.0,28.5,30.1,38.967000000000006,26.4194206376973,41.6255793623027
2008-07-09,30.75,31.3,30.45,30.7,38.722,26.198136331339835,41.06686366866016
2008-07-10,30.4,31.05,29.3,30.5,38.435,25.99611873368873,40.518881266311276
2008-07-11,30.5,31.1,29.35,29.55,38.106,25.720254837876723,39.98474516212329
2008-07-14,29.45,30.0,28.95,29.35,37.782999999999994,25.59611261890605,39.213887381093954
2008-07-15,28.9,29.2,27.6,28.1,37.419000000000004,25.466625362164535,38.298374637835465
2008-07-16,28.1,28.9,27.0,27.3,37.068000000000005,25.466422684082534,37.148577315917464
2008-07-17,28.45,28.8,27.75,28.1,36.726,25.521598898940937,36.19840110105907
2008-07-18,29.25,29.6,27.75,29.45,36.415,25.775983481315734,35.27401651868426
2008-07-21,29.45,30.9,28.9,30.75,36.161,26.079276766977706,34.53072323302229
2008-07-22,30.95,33.2,30.95,32.6,35.945,26.40818708571992,33.96181291428008
2008-07-23,33.4,35.25,33.4,34.5,35.77,26.40818708571992,33.96181291428008
2008-07-24,35.15,35.15,33.2,33.5,35.567,26.365083791417216,34.03991620858278
2008-07-25,32.3,34.1,32.3,33.55,35.36,26.259752823666705,34.25024717633328
2008-07-28,33.55,34.95,33.0,34.7,35.176,25.978046897093552,34.86195310290644
2008-07-29,34.1,35.45,33.0,33.2,34.96,26.075025853675637,35.184974146324365
2008-07-30,33.7,34.55,33.2,33.95,34.748,26.050419301498117,35.60458069850188
2008-07-31,34.15,34.15,32.5,32.9,34.544000000000004,26.414132676150764,35.735867323849234
2008-08-01,32.6,33.55,32.3,33.25,34.347,26.661040683457863,35.928959316542134
2008-08-04,33.65,33.85,33.1,33.5,34.182,26.79590389340746,36.15909610659254
2008-08-05,33.4,35.6,33.4,34.65,34.062999999999995,26.8656981799786,36.5443018200214
2008-08-06,35.45,36.4,34.2,34.5,33.922999999999995,26.925207035976,36.864792964024005
2008-08-07,34.5,35.8,34.1,34.9,33.813,27.017312185644272,37.21268781435573
2008-08-08,34.85,35.2,34.3,34.6,33.701,27.30460349181114,37.430396508188856
2008-08-11,35.25,35.5,34.9,35.05,33.62,27.66362026075683,37.64137973924316
2008-08-12,35.3,35.95,34.65,35.3,33.564,28.38047475236412,37.64452524763589
2008-08-13,34.9,35.6,34.55,34.7,33.501999999999995,29.56036571058587,37.20463428941413
2008-08-14,35.15,35.6,33.95,34.3,33.424,30.775891479276417,36.609108520723574
