Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,42.6,42.9,42.55,42.65,,,
1995-01-03,42.8,42.8,42.0,42.0,,,
1995-01-04,42.5,42.55,41.3,41.5,,,
1995-01-05,41.5,41.6,40.0,40.15,,,
1995-01-06,40.4,40.45,39.4,39.6,,,
1995-01-09,39.9,39.9,37.4,37.8,,,
1995-01-10,37.9,37.9,35.4,35.9,,,
1995-01-11,36.25,37.5,35.0,36.9,,,
1995-01-12,36.75,37.2,34.7,34.75,,,
1995-01-13,35.0,36.05,34.9,35.8,,,
1995-01-16,36.0,36.75,35.25,35.5,,,
1995-01-17,35.6,35.75,34.4,34.65,,,
1995-01-18,34.9,35.6,34.75,35.4,,,
1995-01-19,35.25,35.95,35.25,35.5,,,
1995-01-20,35.5,35.65,33.9,34.05,,,
1995-01-23,34.3,34.3,31.3,31.45,,,
1995-01-24,31.25,31.5,29.4,30.8,,,
1995-01-25,30.6,31.25,29.75,30.3,,,
1995-01-27,30.6,32.6,30.25,32.0,,,
1995-01-30,31.25,33.6,31.0,33.5,,28.67898441730723,43.341015582692776
1995-01-31,33.1,34.6,33.0,34.05,,28.909767620239897,42.2502323797601
1995-02-01,34.4,34.9,32.15,32.6,,29.04746622364264,41.172533776357355
1995-02-02,32.4,34.5,31.75,34.35,,29.485474973328955,40.01952502667104
1995-02-03,34.25,35.3,33.55,34.9,,29.872345092787313,39.10765490721269
1995-02-06,35.0,35.1,33.3,33.7,,30.24652927671589,38.14347072328411
1995-02-07,33.75,33.75,32.75,33.5,,30.40767950986887,37.55232049013112
1995-02-08,33.5,33.6,33.0,33.3,,30.38422751073176,37.31577248926824
1995-02-09,33.4,34.7,33.0,34.5,,30.55486635175609,36.90513364824392
1995-02-10,34.9,35.1,33.5,33.7,,30.53886553326296,36.816134466737026
1995-02-13,33.75,33.75,32.75,33.6,,30.59211413382537,36.542885866174636
1995-02-14,33.7,34.25,33.15,33.75,,30.64425077198094,36.31574922801907
1995-02-15,33.9,34.3,32.8,33.1,,30.61711048741073,36.18788951258928
1995-02-16,33.1,33.2,31.95,32.05,,30.554446247311414,35.91555375268859
1995-02-17,32.1,32.7,31.25,31.9,,30.536249265378135,35.57375073462185
1995-02-20,31.9,32.25,31.5,31.65,,30.38732820423281,35.482671795767196
1995-02-21,32.0,32.0,30.05,30.3,,30.143604572130346,35.611395427869645
1995-02-22,30.45,30.6,29.65,30.1,,29.98164348489823,35.703356515101774
1995-02-23,31.25,33.55,31.25,33.3,,30.390016368421918,35.59498363157808
1995-02-24,34.0,35.25,33.1,33.3,,30.49475578827361,35.62024421172638
1995-02-28,32.95,35.9,32.25,34.0,,30.491975769371397,35.673024230628606
1995-03-01,34.4,35.3,34.4,35.2,,30.41166910480337,35.868330895196635
1995-03-02,35.9,36.45,34.6,34.75,,30.440464665626504,36.05453533437348
1995-03-03,35.0,35.9,34.5,35.7,,30.336639447792187,36.29336055220781
1995-03-06,35.75,35.8,34.95,35.5,,30.288359257030816,36.40164074296918
1995-03-07,35.15,35.4,33.9,34.1,,30.29338119141333,36.43661880858667
1995-03-08,34.3,35.25,34.05,34.95,,30.28507820748952,36.58992179251048
1995-03-09,35.1,36.2,34.95,36.15,,30.204016712438435,36.95598328756156
1995-03-10,36.5,37.1,35.5,35.8,,30.14659434809749,37.143405651902505
1995-03-13,35.25,35.25,31.25,33.4,,30.130015037626258,37.12998496237375
1995-03-14,33.25,34.9,33.25,34.3,34.634,30.15230123244546,37.17769876755454
1995-03-15,35.6,36.25,32.5,33.65,34.45399999999999,30.147525988108846,37.17247401189116
1995-03-16,33.1,33.75,31.5,33.35,34.281,30.16664399671211,37.17835600328789
1995-03-20,31.9,33.4,31.9,32.55,34.102,30.233478151278305,37.161521848721705
1995-03-21,31.75,32.65,31.25,31.5,33.929,30.16549427527138,37.189505724728605
1995-03-22,32.75,32.75,32.05,32.25,33.782,30.258735919316777,37.156264080683215
1995-03-23,32.5,33.05,32.1,32.35,33.672999999999995,30.68058101911953,36.939418980880475
1995-03-24,32.0,32.7,31.85,32.5,33.605,31.247424646665813,36.612575353334186
1995-03-27,33.1,33.1,32.25,32.65,33.52,31.1674575866028,36.6275424133972
1995-03-28,33.0,34.3,32.9,33.5,33.495,31.18521864248496,36.629781357515036
1995-03-29,33.55,33.85,33.2,33.65,33.452,31.16572317659777,36.614276823402236
1995-03-30,33.5,33.85,33.3,33.45,33.411,31.14375573764008,36.461244262359926
1995-03-31,33.45,33.5,32.75,33.15,33.381,31.087617599747933,36.35738240025207
1995-04-03,33.4,33.6,32.75,33.5,33.343,31.146974540899265,36.07802545910073
1995-04-04,33.75,34.8,33.55,34.6,33.325,31.216850593648825,35.918149406351176
1995-04-05,34.75,35.5,34.75,35.2,33.348,31.1701166265189,36.07488337348109
1995-04-06,35.4,36.0,35.25,35.6,33.431000000000004,31.112953580282177,36.19704641971782
1995-04-07,35.6,35.9,35.25,35.35,33.522,31.21717203549366,36.01282796450634
1995-04-10,35.25,35.25,34.6,35.0,33.616,31.307494995073085,35.84250500492692
1995-04-11,34.85,35.0,34.4,34.5,33.666,31.32727849799641,35.932721502003595
1995-04-12,34.85,35.1,34.75,35.1,33.698,31.291721099972506,36.0482789000275
1995-04-17,35.5,35.75,35.2,35.3,33.723,31.26516894252616,36.239831057473836
1995-04-18,35.0,35.2,34.45,34.75,33.766000000000005,31.304256042084255,36.340743957915755
1995-04-19,34.5,35.25,34.25,34.6,33.771,31.4584874396171,36.39151256038289
1995-04-20,34.7,34.95,34.6,34.9,33.771,31.875967493893295,36.3140325061067
1995-04-21,35.0,35.2,34.8,34.95,33.796,32.160064837018396,36.29993516298161
