Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2020-03-16,661.0,755.0,656.0,681.4,,,
2020-03-17,691.0,747.95,689.0,730.9,,,
2020-03-18,752.1,769.0,680.0,689.2,,,
2020-03-19,660.0,717.0,650.0,692.05,,,
2020-03-20,706.25,730.0,690.25,724.5,,,
2020-03-23,659.0,698.0,580.0,582.4,,,
2020-03-24,620.0,623.95,575.05,613.7,,,
2020-03-25,601.0,648.9,591.4,624.95,,,
2020-03-26,634.0,693.8,621.45,650.95,,,
2020-03-27,675.0,690.0,650.0,655.9,,,
2020-03-30,640.0,642.7,607.0,615.35,,,
2020-03-31,635.0,638.0,608.55,618.65,,,
2020-04-01,624.0,624.0,601.25,608.05,,,
2020-04-03,613.8,614.7,588.0,590.25,,,
2020-04-07,605.0,611.0,582.0,586.05,,,
2020-04-08,584.8,598.4,576.0,579.5,,,
2020-04-09,585.05,614.25,575.0,595.2,,,
2020-04-13,580.0,581.5,501.1,505.5,,,
2020-04-15,510.0,524.45,502.0,504.65,,,
2020-04-16,505.0,537.2,501.0,532.1,,489.872770593168,748.2522294068319
2020-04-17,546.0,548.8,523.0,530.5,,480.05107733065984,742.9839226693402
2020-04-20,534.75,548.9,528.5,540.1,,479.61110250116866,724.3438974988316
2020-04-21,528.9,534.9,518.0,525.9,,474.1894346523933,713.4355653476067
2020-04-22,527.0,535.7,520.1,532.4,,472.67667877051497,698.9833212294851
2020-04-23,539.0,574.0,535.0,560.95,,484.89399365152616,670.4110063484738
2020-04-24,557.7,596.45,552.1,557.85,,483.28206230687624,669.5679376931237
2020-04-27,563.7,575.0,542.85,552.7,,481.3835444471243,665.3664555528757
2020-04-28,556.0,562.45,547.45,550.9,,480.5038161238184,658.8411838761814
2020-04-29,555.4,584.0,548.4,577.5,,485.27564771005325,646.7243522899468
2020-04-30,591.0,604.9,585.0,599.15,,492.3642181668498,633.9607818331502
2020-05-04,566.2,578.0,566.2,568.45,,494.32123754072734,627.3137624592727
2020-05-05,577.75,584.3,550.6,553.0,,496.82976654833703,618.2402334516629
2020-05-06,557.0,569.0,542.0,565.65,,499.35385762660223,611.4761423733977
2020-05-07,563.0,579.0,558.9,574.45,,500.2096045391772,609.0403954608228
2020-05-08,585.0,586.0,548.6,561.95,,500.9003254910491,605.939674508951
2020-05-11,552.0,561.0,543.0,548.5,,500.78082718474303,602.9591728152573
2020-05-12,542.0,548.35,530.2,543.1,,502.3346024891526,596.1953975108473
2020-05-13,570.0,570.55,545.25,548.3,,509.21330837587686,593.5966916241231
2020-05-14,543.0,545.75,537.1,538.65,,516.4716258001943,589.7383741998058
2020-05-15,542.0,544.0,535.25,539.45,,517.5865186438414,589.3584813561588
2020-05-18,540.0,540.0,526.0,528.9,,517.2844417799727,589.5005582200274
2020-05-19,535.0,540.0,529.15,537.65,,516.9560270477219,589.583972952278
2020-05-20,537.0,548.0,534.6,536.75,,518.9239424579024,588.7010575420976
2020-05-21,539.4,546.8,536.15,542.35,,520.4381113295244,588.1818886704757
2020-05-22,541.4,546.3,495.0,509.55,,512.5993144776727,590.8806855223273
2020-05-26,515.0,518.0,496.5,498.75,,503.1942911127504,594.3757088872495
2020-05-27,501.6,521.1,496.0,517.45,,499.38933513835485,594.6556648616452
2020-05-28,520.0,537.75,518.15,532.3,,498.0535215827996,594.1314784172004
2020-05-29,528.0,541.65,524.2,538.85,,498.38454576384703,589.9354542361531
2020-06-01,544.0,557.4,544.0,547.8,574.821,503.7267499570441,579.4582500429559
2020-06-02,554.5,573.0,552.75,570.05,572.5939999999999,503.56186500135664,579.7831349986434
2020-06-03,578.0,626.0,577.0,611.3,570.202,495.493113194691,593.681886805309
2020-06-04,615.0,634.7,607.0,612.4,568.6659999999999,489.8113413884224,604.0386586115775
2020-06-05,618.0,632.0,615.05,626.0,567.345,483.2387250666257,615.7662749333741
2020-06-08,634.9,639.5,611.2,614.85,565.152,479.84382407248296,624.4511759275169
2020-06-09,618.0,626.75,607.2,611.65,565.737,478.3087601738355,632.3012398261644
2020-06-10,612.0,618.0,593.55,598.4,565.431,478.97603589467434,637.1639641053258
2020-06-11,595.45,608.7,590.0,591.05,564.753,479.92358095082454,640.4914190491754
2020-06-12,552.5,594.5,552.5,590.45,563.543,482.1006894258396,643.4943105741604
2020-06-15,585.0,599.0,583.35,592.55,562.276,484.49636194071815,646.4086380592818
2020-06-16,602.45,609.5,577.0,585.75,561.684,488.7630607025022,647.8269392974977
2020-06-17,580.0,584.9,575.05,579.5,560.901,492.0573224786505,648.7176775213496
2020-06-18,578.0,590.45,577.2,587.9,560.498,495.90971143553526,649.9802885644647
2020-06-19,592.7,622.7,587.1,616.95,561.0319999999999,498.6592154972548,654.6907845027451
2020-06-22,622.75,668.75,620.4,657.9,562.469,504.75040740159056,663.4345925984094
2020-06-23,664.95,687.0,663.0,679.95,564.4780000000001,513.4613958606595,672.8436041393405
2020-06-24,684.75,695.5,661.0,664.45,565.863,523.1275314174037,677.8774685825962
2020-06-25,650.0,668.0,646.9,654.1,568.835,532.726253346087,680.458746653913
2020-06-26,657.85,663.5,648.2,652.15,571.785,543.0337569253652,681.4812430746347
2020-06-29,645.0,647.9,629.65,636.55,573.874,553.7778790768123,679.6121209231878
2020-06-30,640.0,647.95,627.4,630.25,575.869,560.5353785269583,678.8746214730418
2020-07-01,634.65,653.75,626.35,649.65,578.06,561.1289468419643,682.1160531580358
2020-07-02,654.0,658.5,641.0,654.2,580.626,561.6915198909747,685.7334801090252
2020-07-03,661.35,677.05,654.2,674.85,583.475,560.042090996977,692.267909003023
2020-07-06,678.9,704.9,677.0,698.8,586.2320000000001,556.9983233169918,703.7066766830084
2020-07-07,705.0,726.0,698.2,703.85,589.1519999999999,555.2445440553078,714.6804559446922
2020-07-08,710.0,721.0,691.05,695.45,592.007,557.6892805847426,721.9407194152573
2020-07-09,702.0,704.85,693.2,698.15,594.952,562.4676968436288,727.8723031563711
2020-07-10,693.55,710.0,690.1,703.15,597.465,568.4440811891445,733.1659188108554
2020-07-13,706.0,708.45,693.1,698.2,599.446,575.9359076068491,736.2390923931508
2020-07-14,692.0,695.45,685.0,691.35,601.904,587.0228808622525,735.7121191377477
2020-07-15,695.0,704.9,690.75,692.2,604.688,602.3298467457281,731.6751532542718
2020-07-16,696.0,723.3,685.7,719.9,607.773,616.4105565574421,730.7944434425581
2020-07-17,722.0,760.0,720.05,755.95,611.403,618.7507501099395,742.3542498900605
2020-07-20,756.3,768.8,731.35,751.0,615.184,616.906692614775,753.508307385225
2020-07-21,785.0,798.45,765.7,777.1,619.756,610.4561727983574,769.6738272016424
2020-07-22,778.0,781.85,750.0,754.2,623.9780000000001,611.0025119688822,778.1024880311178
2020-07-23,753.0,766.0,741.1,744.05,627.893,614.9862397374849,783.113760262515
2020-07-24,740.0,751.0,735.0,740.8,631.936,620.4892708849252,786.4757291150747
2020-07-27,745.0,763.45,735.0,750.65,636.16,629.965912863532,788.409087136468
2020-07-28,754.95,758.1,748.35,752.4,640.63,643.1818659309338,787.4081340690661
2020-07-29,754.95,759.9,737.1,745.75,644.7919999999999,653.8343067246474,786.3656932753527
2020-07-30,746.1,749.5,729.0,735.9,648.775,665.370375073345,782.9996249266551
2020-07-31,734.0,738.4,725.05,726.85,652.465,672.7499811403952,780.8200188596049
2020-08-03,726.85,743.15,720.9,730.85,656.891,675.9701979649702,780.8048020350299
2020-08-04,734.45,760.9,732.25,757.0,662.0559999999999,678.4766194696955,783.6133805303047
2020-08-05,762.9,769.9,751.0,758.85,666.8840000000001,683.056936376714,785.3730636232858
2020-08-06,762.0,764.45,753.0,758.55,671.409,687.9441329053005,786.5258670946995
2020-08-07,757.5,765.0,753.0,757.95,675.791,692.6069616974531,787.3430383025469
2020-08-10,758.55,769.0,755.1,761.6,680.067,699.1851271492671,787.1048728507328
2020-08-11,765.75,790.9,761.0,780.35,684.273,707.8996482901537,787.2903517098464
