Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-10-03,735.0,740.0,701.7,707.55,,,
2017-10-04,710.15,710.75,699.0,703.65,,,
2017-10-05,704.55,704.55,686.1,694.55,,,
2017-10-06,693.9,702.0,689.0,696.75,,,
2017-10-09,694.1,702.5,694.1,698.65,,,
2017-10-10,698.35,701.2,695.55,700.0,,,
2017-10-11,700.0,703.0,686.0,689.9,,,
2017-10-12,691.1,694.0,685.0,687.7,,,
2017-10-13,688.95,695.05,680.0,689.7,,,
2017-10-16,686.0,689.45,669.0,670.1,,,
2017-10-17,670.5,674.0,669.0,673.05,,,
2017-10-18,671.0,672.85,664.15,668.4,,,
2017-10-19,666.1,678.25,666.1,675.1,,,
2017-10-23,670.0,673.8,665.0,665.8,,,
2017-10-24,663.8,671.45,663.0,665.85,,,
2017-10-25,667.0,673.45,658.1,669.9,,,
2017-10-26,669.9,669.9,660.5,666.85,,,
2017-10-27,663.2,666.05,659.0,662.2,,,
2017-10-30,665.0,665.0,649.9,655.0,,,
2017-10-31,655.8,669.0,655.8,662.1,,647.5231235159014,712.7568764840986
2017-11-01,664.0,664.85,642.25,647.05,,643.9837919422123,710.2462080577877
2017-11-02,647.05,653.6,641.2,642.75,,640.0255337211679,708.114466278832
2017-11-03,643.05,653.5,641.1,642.25,,636.0277149457401,706.88228505426
2017-11-06,642.65,659.9,642.65,656.75,,635.5570432225744,703.3529567774257
2017-11-07,659.0,659.0,639.55,642.35,,633.6107051878265,699.6692948121737
2017-11-08,649.0,649.0,629.0,631.6,,630.5722081023927,695.8677918976074
2017-11-09,633.0,670.4,633.0,657.95,,631.437692475963,691.8073075240371
2017-11-10,655.1,679.2,655.1,676.55,,632.5420249577087,689.5879750422912
2017-11-13,665.0,680.8,663.0,665.0,,634.5758101443905,685.0841898556093
2017-11-14,655.2,667.75,654.0,660.0,,634.5358576399389,684.1141423600612
2017-11-15,650.1,660.05,644.4,649.35,,633.8525850219543,682.4274149780457
2017-11-16,648.6,659.2,642.8,649.9,,633.1648747130954,681.2651252869044
2017-11-17,653.0,663.7,645.1,659.55,,633.8616424945745,679.0133575054255
2017-11-20,657.3,665.0,656.5,661.45,,633.9420807926202,678.4979192073798
2017-11-21,660.0,696.4,660.0,687.45,,631.2769333090811,683.3230666909188
2017-11-22,689.0,698.95,681.15,693.15,,628.3185143905775,688.6064856094224
2017-11-23,689.0,689.0,664.0,666.3,,628.3222452273126,688.5477547726875
2017-11-24,668.0,670.45,655.0,655.7,,628.0280487754916,688.1919512245082
2017-11-27,655.55,662.7,651.85,653.7,,627.929155245732,688.1608447542679
2017-11-28,653.0,666.95,652.0,653.45,,627.4934052522977,687.7315947477022
2017-11-29,654.05,658.4,650.8,656.2,,628.3511348236775,687.7888651763224
2017-11-30,665.95,665.95,653.85,654.9,,629.792182750027,687.562817249973
2017-12-01,658.0,658.0,652.25,655.9,,631.481492904125,687.2385070958748
2017-12-04,660.0,665.8,653.05,661.75,,631.7403674037018,687.479632596298
2017-12-05,660.0,662.15,653.55,659.1,,633.7810322924088,687.1139677075912
2017-12-06,654.05,660.0,654.05,656.1,,638.5734575272503,684.7715424727497
2017-12-07,655.1,670.0,651.0,668.4,,638.9780393212656,685.4119606787343
2017-12-08,664.05,689.9,664.05,685.7,,637.932542688676,687.3724573113241
2017-12-11,680.0,682.75,671.05,674.75,,637.8471967797786,688.4328032202216
2017-12-12,671.05,682.0,671.0,676.05,668.078,638.0576278685184,689.8273721314816
2017-12-13,671.05,682.0,657.0,675.35,667.4340000000001,639.836258019358,690.6487419806422
2017-12-14,675.1,683.0,673.3,679.9,666.959,641.609312148497,691.8756878515031
2017-12-15,680.5,691.0,678.0,689.0,666.8480000000001,641.4577461876421,694.9722538123577
2017-12-18,681.45,694.0,665.0,692.15,666.7560000000001,641.1667513171936,698.3332486828064
2017-12-19,688.1,699.9,688.1,697.3,666.7289999999999,640.0793598067811,700.405640193219
2017-12-20,692.15,703.75,692.15,697.15,666.672,639.5945490316235,701.2904509683765
2017-12-21,693.3,704.4,693.3,701.8,666.91,638.4280548245736,706.0069451754264
2017-12-22,694.0,703.9,694.0,702.85,667.2130000000001,639.1005688818288,710.0494311181712
2017-12-26,702.75,707.8,697.2,701.7,667.453,640.9563863909816,712.9936136090184
2017-12-27,700.0,702.0,695.1,700.45,668.06,643.6375630242978,715.0124369757023
2017-12-28,697.0,703.0,690.55,698.9,668.577,646.4959041300941,716.424095869906
2017-12-29,695.45,705.4,693.0,695.35,669.1160000000001,650.3559281405717,716.6090718594282
2018-01-01,694.0,703.0,694.0,699.5,669.604,654.4983357792332,716.8266642207668
2018-01-02,699.5,700.15,680.1,685.1,669.99,657.7585019305856,715.9014980694145
2018-01-03,685.05,695.0,680.25,690.5,670.4830000000001,662.4053041847709,714.394695815229
