Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,22.2,22.4,22.1,22.1,,,
1995-01-03,22.2,22.25,22.0,22.0,,,
1995-01-04,22.05,22.05,21.65,21.75,,,
1995-01-05,21.7,21.7,21.4,21.45,,,
1995-01-06,21.25,21.5,20.9,21.1,,,
1995-01-09,20.3,20.9,20.3,20.5,,,
1995-01-10,20.45,20.55,19.2,19.4,,,
1995-01-11,18.9,20.5,18.9,20.15,,,
1995-01-12,20.1,20.1,19.25,19.5,,,
1995-01-13,19.45,20.0,19.45,19.75,,,
1995-01-16,20.1,20.2,19.3,19.4,,,
1995-01-17,19.3,19.4,19.15,19.25,,,
1995-01-18,19.2,19.5,19.2,19.5,,,
1995-01-19,19.4,19.75,19.4,19.5,,,
1995-01-20,19.55,19.65,18.5,18.5,,,
1995-01-23,18.5,18.5,17.3,17.5,,,
1995-01-24,17.3,18.0,16.5,17.6,,,
1995-01-25,17.45,17.8,17.3,17.55,,,
1995-01-27,17.65,18.65,17.6,18.4,,,
1995-01-30,17.25,18.4,17.25,18.3,,16.73810443646414,22.58189556353586
1995-01-31,18.15,18.7,18.15,18.45,,16.747650380081634,22.207349619918364
1995-02-01,18.5,18.7,17.9,18.15,,16.76955298521107,21.80044701478893
1995-02-02,17.75,18.0,17.4,18.0,,16.80667734840677,21.38832265159323
1995-02-03,17.9,18.2,17.5,17.8,,16.84209205018142,20.987907949818577
1995-02-06,17.95,17.95,17.5,17.65,,16.8707501854091,20.6142498145909
1995-02-07,17.5,17.65,17.2,17.3,,16.79827821770357,20.366721782296437
1995-02-08,17.7,17.7,17.3,17.4,,16.667279265271166,20.29772073472883
1995-02-09,17.4,17.5,17.3,17.4,,16.64890541475268,20.04109458524732
1995-02-10,17.5,17.5,17.05,17.2,,16.55184311629818,19.90815688370182
1995-02-13,17.1,17.3,16.9,17.2,,16.52620354110789,19.67879645889211
1995-02-14,17.2,17.4,17.0,17.15,,16.484011952238657,19.49598804776134
1995-02-15,17.2,17.25,16.85,17.05,,16.441652995531612,19.318347004468386
1995-02-16,17.0,17.0,16.6,16.7,,16.425866304967002,19.054133695032995
1995-02-17,16.6,16.65,16.4,16.5,,16.448163990021225,18.731836009978768
1995-02-20,16.9,17.0,16.6,16.6,,16.35579436725223,18.634205632747765
1995-02-21,16.5,16.65,16.15,16.2,,16.152090522932482,18.707909477067517
1995-02-22,16.5,16.5,16.0,16.25,,15.98376106436657,18.741238935633433
1995-02-23,16.8,17.55,16.8,17.5,,15.982511820663946,18.73748817933605
1995-02-24,17.5,18.8,17.5,17.95,,16.018060326262844,18.656939673737153
1995-02-28,17.5,18.25,17.1,18.2,,16.027741502483263,18.637258497516736
1995-03-01,18.25,19.2,18.2,19.05,,15.928376390851955,18.796623609148046
1995-03-02,19.5,19.7,18.9,19.2,,15.794701132181887,19.035298867818113
1995-03-03,19.0,20.0,19.0,19.95,,15.546238519289375,19.478761480710624
1995-03-06,20.0,20.1,19.55,19.9,,15.380896607164756,19.854103392835242
1995-03-07,20.5,20.5,19.4,19.65,,15.303009751956996,20.131990248043
1995-03-08,19.5,20.0,19.3,19.65,,15.28134420981667,20.388655790183332
1995-03-09,20.0,20.1,19.6,19.95,,15.250562452201763,20.674437547798235
1995-03-10,19.9,20.05,19.75,19.8,,15.265021657487619,20.899978342512387
1995-03-13,19.0,19.15,18.35,18.55,,15.356963546321142,20.943036453678857
1995-03-14,18.5,19.5,18.5,18.95,18.69,15.460171673788105,21.014828326211894
1995-03-15,18.8,19.9,17.9,18.05,18.608999999999998,15.550568930514341,21.014431069485664
1995-03-16,18.0,18.2,17.1,18.05,18.53,15.65958024811817,21.00541975188183
1995-03-20,17.5,18.05,17.3,17.6,18.447,15.791408659568914,20.963591340431087
1995-03-21,17.5,17.7,16.9,17.05,18.359,15.892316385342468,20.917683614657534
1995-03-22,18.0,18.0,17.1,17.2,18.281,15.999927321953521,20.870072678046476
1995-03-23,17.6,17.7,17.2,17.25,18.215999999999998,16.215502270201277,20.759497729798724
1995-03-24,17.2,17.4,17.0,17.35,18.175,16.45260576948572,20.63239423051428
1995-03-27,17.4,17.6,17.2,17.35,18.119,16.42834388188294,20.64165611811706
1995-03-28,18.0,18.0,17.45,17.55,18.08,16.37758887534721,20.65241112465279
1995-03-29,17.6,17.9,17.5,17.85,18.041999999999998,16.343562357350827,20.651437642649178
1995-03-30,17.8,18.15,17.65,17.65,18.007,16.258222895088146,20.596777104911858
1995-03-31,17.9,17.9,17.5,17.7,17.976,16.19197496634437,20.513025033655627
1995-04-03,17.6,17.8,17.5,17.7,17.94,16.19868979123185,20.281310208768147
1995-04-04,17.85,18.4,17.75,18.15,17.913,16.266687317445285,20.038312682554714
1995-04-05,18.1,19.0,18.0,18.9,17.921,16.32729344218854,19.902706557811463
1995-04-06,18.9,19.2,18.85,19.0,17.951,16.39126096494783,19.77373903505217
1995-04-07,19.2,19.2,18.8,18.9,17.976999999999997,16.52828168595544,19.53171831404456
1995-04-10,18.8,18.9,18.5,18.9,18.003999999999998,16.663477751745525,19.306522248254474
1995-04-11,18.7,19.0,18.7,18.9,18.014,16.640815671483914,19.36418432851608
