Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-12,65.0,65.0,65.0,65.0,,,
1995-01-16,70.0,70.0,69.0,69.0,,,
1995-01-17,71.0,71.0,69.5,69.5,,,
1995-01-18,71.0,71.0,70.0,70.0,,,
1995-01-19,70.0,72.0,70.0,71.65,,,
1995-01-20,72.0,72.0,70.0,70.0,,,
1995-01-24,65.0,65.0,65.0,65.0,,,
1995-01-27,68.5,68.5,68.0,68.0,,,
1995-01-30,66.0,66.0,65.0,66.0,,,
1995-01-31,68.0,68.0,68.0,68.0,,,
1995-02-01,70.0,70.0,70.0,70.0,,,
1995-02-02,68.0,68.0,67.0,67.0,,,
1995-02-03,69.0,69.0,69.0,69.0,,,
1995-02-07,71.0,71.1,70.0,70.0,,,
1995-02-08,75.0,75.0,74.0,74.0,,,
1995-02-09,73.0,73.0,70.0,70.0,,,
1995-02-10,70.0,70.0,70.0,70.0,,,
1995-02-14,65.0,65.0,65.0,65.0,,,
1995-02-15,67.75,67.75,66.0,66.75,,,
1995-02-16,65.0,65.0,65.0,65.0,,63.499518276883016,73.39048172311699
1995-02-17,64.0,64.0,62.0,62.0,,62.762426600482144,73.82757339951786
1995-02-20,62.5,62.5,60.0,62.0,,61.753758308367345,74.13624169163266
1995-02-22,63.0,63.0,62.0,62.0,,60.886367202754116,74.2536327972459
1995-02-23,63.0,63.0,63.0,63.0,,60.341857655931875,74.09814234406812
1995-02-24,69.0,71.0,63.0,71.0,,60.39184542868523,73.98315457131477
1995-02-28,67.0,67.0,64.0,64.05,,60.091811386769834,73.68818861323017
1995-03-01,65.0,66.0,65.0,66.0,,60.1857732531867,73.69422674681329
1995-03-02,67.5,67.5,66.5,66.5,,60.12703997762249,73.6029600223775
1995-03-03,66.05,70.0,66.05,69.5,,60.21538510822388,73.86461489177611
1995-03-06,70.0,74.0,70.0,74.0,,59.843291950532745,74.83670804946726
1995-03-07,72.5,73.0,72.5,73.0,,59.65669727516246,75.32330272483753
1995-03-08,72.0,72.0,72.0,72.0,,59.65736103543039,75.82263896456959
1995-03-09,67.5,72.0,67.5,72.0,,59.60020919570661,76.17979080429339
1995-03-10,74.65,79.95,74.5,79.95,,58.520336220441486,78.25466377955853
1995-03-13,70.0,72.5,70.0,72.5,,58.60342258705667,78.02157741294333
1995-03-14,65.0,78.25,65.0,77.5,,58.15919854254983,79.21580145745017
1995-03-15,79.0,80.0,73.0,75.0,,58.04675670701562,79.82824329298438
1995-03-16,73.0,73.5,70.0,72.0,,58.479955120806125,80.09504487919386
1995-03-20,70.0,72.0,69.0,71.9,,58.74661318090811,80.34338681909186
1995-03-21,70.0,72.0,69.5,70.1,,59.214757044779134,80.38524295522086
1995-03-22,70.5,71.0,70.5,71.0,,60.31574241907273,80.18425758092727
1995-03-24,72.0,72.0,71.0,71.0,,61.55525747822968,79.84474252177033
1995-03-27,73.0,73.0,71.0,71.0,,62.97333229629315,79.32666770370686
