Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1996-09-18,2.9,3.2,2.9,3.2,,,
1996-09-19,3.1,3.1,3.1,3.1,,,
1996-09-20,2.95,2.95,2.95,2.95,,,
1996-09-23,2.9,2.95,2.9,2.95,,,
1996-09-24,2.8,2.9,2.8,2.9,,,
1996-09-26,2.9,2.9,2.9,2.9,,,
1996-10-01,2.85,2.85,2.7,2.7,,,
1996-10-04,2.65,2.65,2.65,2.65,,,
1996-10-07,2.65,2.75,2.6,2.6,,,
1996-10-08,2.6,2.6,2.45,2.55,,,
1996-10-09,2.6,2.7,2.6,2.7,,,
1996-10-10,2.7,2.7,2.6,2.65,,,
1996-10-11,2.7,2.85,2.7,2.85,,,
1996-10-14,2.7,2.85,2.7,2.85,,,
1996-10-15,2.7,2.85,2.7,2.8,,,
1996-10-16,2.85,2.85,2.8,2.8,,,
1996-10-17,2.8,3.0,2.8,2.85,,,
1996-10-18,2.8,2.8,2.75,2.75,,,
1996-10-22,2.8,2.8,2.8,2.8,,,
1996-10-23,2.8,2.9,2.8,2.9,,2.5005405386747546,3.144459461325246
1996-10-24,2.75,2.8,2.75,2.8,,2.5340247732687033,3.070975226731296
1996-10-25,2.8,2.8,2.7,2.7,,2.5501776286912383,3.014822371308762
1996-10-28,2.8,2.85,2.8,2.8,,2.556151338039034,2.993848661960966
1996-10-29,2.8,2.85,2.8,2.85,,2.5637809034316326,2.9762190965683675
1996-10-31,2.8,2.8,2.8,2.8,,2.567382613166383,2.9626173868336165
1996-11-01,2.85,2.85,2.8,2.8,,2.5719350616073497,2.9480649383926507
1996-11-04,2.85,2.85,2.75,2.8,,2.578339599102654,2.9516604008973455
1996-11-05,2.8,3.0,2.75,2.8,,2.5933940331300462,2.9516059668699537
1996-11-06,2.7,2.7,2.5,2.5,,2.56417241883316,2.9708275811668394
1996-11-07,2.45,2.5,2.45,2.5,,2.549544546062118,2.9804554539378816
1996-11-08,2.5,2.5,2.45,2.45,,2.496056716027234,3.008943283972766
1996-11-10,2.5,2.5,2.5,2.5,,2.4679858449370085,3.0220141550629918
1996-11-11,2.5,2.5,2.45,2.5,,2.4346465248716744,3.0203534751283256
1996-11-13,2.55,2.55,2.5,2.5,,2.4063381381935005,3.0136618618064994
1996-11-14,2.55,2.55,2.5,2.55,,2.3888953303897305,3.006104669610269
1996-11-15,2.55,2.6,2.55,2.6,,2.3799203141332397,2.9950796858667603
1996-11-18,2.6,2.6,2.55,2.55,,2.369054869262298,2.9759451307377027
1996-11-19,2.5,2.6,2.5,2.55,,2.3566362532450964,2.9683637467549038
1996-11-20,2.55,2.55,2.55,2.55,,2.347379862916524,2.9526201370834757
1996-11-21,2.5,2.5,2.5,2.5,,2.344564045343746,2.9154359546562536
1996-11-22,2.5,2.5,2.5,2.5,,2.3357151991246194,2.89428480087538
1996-11-25,2.5,2.5,2.45,2.45,,2.316925786214952,2.888074213785048
1996-11-26,2.5,2.5,2.5,2.5,,2.3143603595999003,2.8606396404000995
1996-11-27,2.5,2.55,2.5,2.5,,2.324193058211164,2.8158069417888356
1996-11-28,2.55,2.55,2.5,2.5,,2.3328099438484413,2.777190056151559
1996-11-29,2.55,2.55,2.45,2.45,,2.343172549816712,2.731827450183288
1996-12-02,2.55,2.55,2.45,2.5,,2.372149532232533,2.672850467767467
1996-12-03,2.45,2.45,2.45,2.45,,2.426193107434749,2.5838068925652506
1996-12-04,2.5,2.55,2.5,2.55,,2.426227229911266,2.5887727700887346
1996-12-09,2.5,2.5,2.5,2.5,2.679,2.426227229911266,2.5887727700887346
1996-12-10,2.45,2.5,2.45,2.5,2.665,2.433222810404999,2.5867771895950016
1996-12-11,2.5,2.5,2.45,2.45,2.6519999999999997,2.4262272299112655,2.588772770088734
1996-12-12,2.45,2.45,2.4,2.4,2.641,2.4080486758611586,2.5969513241388413
1996-12-13,2.4,2.4,2.3,2.4,2.63,2.3924937345227666,2.6025062654772335
1996-12-16,2.3,2.35,2.3,2.35,2.619,2.3666477631241505,2.608352236875849
1996-12-17,2.35,2.35,2.25,2.3,2.6069999999999998,2.336872801982394,2.6081271980176064
1996-12-18,2.3,2.3,2.3,2.3,2.5989999999999998,2.3092125930149834,2.6107874069850165
1996-12-19,2.3,2.35,2.3,2.35,2.593,2.2978228179494575,2.602177182050543
1996-12-20,2.35,2.35,2.3,2.35,2.588,2.289212593014984,2.590787406985017
1996-12-23,2.4,2.4,2.3,2.3,2.583,2.2697370581627876,2.5902629418372127
1996-12-24,2.4,2.45,2.3,2.35,2.5759999999999996,2.261990941393519,2.5830090586064816
1996-12-26,2.3,2.45,2.3,2.45,2.572,2.261990941393519,2.5830090586064816
1996-12-31,2.4,2.45,2.4,2.45,2.5639999999999996,2.2630554908658143,2.5769445091341856
1997-01-01,2.5,2.7,2.45,2.7,2.5610000000000004,2.2315852297518313,2.628414770248169
1997-01-02,2.7,2.7,2.55,2.55,2.556,2.2291724188331554,2.635827581166845
1997-01-03,2.6,2.6,2.5,2.5,2.55,2.229547995103987,2.640452004896013
1997-01-06,2.55,2.55,2.45,2.45,2.542,2.2291724188331554,2.635827581166845
1997-01-07,2.5,2.55,2.45,2.55,2.5380000000000003,2.2275501312969617,2.6474498687030383
1997-01-08,2.55,2.7,2.55,2.7,2.536,2.209024979020411,2.6809750209795897
1997-01-09,2.75,2.8,2.7,2.7,2.532,2.193627106467243,2.7163728935327573
1997-01-10,2.75,2.75,2.65,2.65,2.529,2.1874401978899063,2.7375598021100935
1997-01-13,2.6,2.7,2.6,2.6,2.5269999999999997,2.1882759842458697,2.75172401575413
1997-01-14,2.65,2.7,2.6,2.6,2.523,2.1945640453437445,2.7654359546562555
1997-01-15,2.75,2.75,2.65,2.75,2.5210000000000004,2.190605538456105,2.804394461543895
1997-01-16,2.7,2.75,2.7,2.7,2.5189999999999997,2.2036362763245307,2.8263637236754695
1997-01-17,2.7,2.75,2.65,2.75,2.518,2.2265168391764747,2.8484831608235255
1997-01-20,2.65,2.65,2.6,2.65,2.515,2.2613837090422426,2.8486162909577577
1997-01-21,2.65,2.7,2.6,2.7,2.513,2.2887747808177767,2.8562252191822237
1997-01-22,2.6,2.6,2.6,2.6,2.515,2.3212217837492606,2.8487782162507393
1997-01-24,2.55,2.6,2.55,2.55,2.516,2.369291877076162,2.8257081229238383
1997-01-27,2.55,2.55,2.5,2.5,2.517,2.4026454388429723,2.8073545611570276
1997-01-28,2.6,2.6,2.5,2.5,2.517,2.4120921943055595,2.802907805694441
1997-01-29,2.6,2.6,2.6,2.6,2.519,2.4340667468228587,2.7959332531771417
1997-01-30,2.6,2.6,2.55,2.55,2.52,2.428982714975182,2.7860172850248177
1997-01-31,2.5,2.5,2.45,2.5,2.519,2.421754406960436,2.788245593039564
1997-02-03,2.5,2.5,2.4,2.4,2.515,2.3999999999999986,2.8000000000000016
1997-02-04,2.4,2.45,2.4,2.45,2.513,2.3999999999999986,2.8000000000000016
1997-02-05,2.25,2.55,2.25,2.55,2.513,2.3999999999999986,2.8000000000000016
1997-02-06,2.55,2.55,2.5,2.55,2.513,2.3970921943055594,2.787907805694441
1997-02-07,2.5,2.55,2.5,2.5,2.513,2.3898044397310385,2.7751955602689624
1997-02-10,2.5,2.5,2.45,2.45,2.512,2.3738863840995448,2.771113615900455
1997-02-11,2.4,2.5,2.4,2.45,2.512,2.35954799510399,2.770452004896011
1997-02-12,2.5,2.5,2.4,2.4,2.51,2.337599084880634,2.7724009151193663
1997-02-13,2.4,2.45,2.4,2.45,2.509,2.338427236593409,2.741572763406591
1997-02-14,2.5,2.5,2.4,2.45,2.508,2.337002037585145,2.717997962414855
1997-02-17,2.45,2.45,2.4,2.45,2.508,2.3506846406353312,2.674315359364669
1997-02-18,2.45,2.5,2.45,2.5,2.508,2.3566760302580825,2.6533239697419173
1997-02-19,2.45,2.45,2.45,2.45,2.508,2.3742896611521327,2.6107103388478667
1997-02-20,2.45,2.45,2.4,2.45,2.506,2.376906473245078,2.5930935267549224
1997-02-21,2.4,2.45,2.35,2.35,2.5029999999999997,2.3557920878641405,2.5942079121358597
1997-02-24,2.4,2.4,2.35,2.4,2.501,2.346882597749776,2.5931174022502237
1997-02-25,2.35,2.35,2.3,2.3,2.4979999999999998,2.316363030708074,2.603636969291926
1997-02-26,2.3,2.3,2.25,2.3,2.496,2.300267942662815,2.5897320573371845
1997-02-27,2.3,2.4,2.25,2.3,2.494,2.2828512885384353,2.582148711461565
1997-03-01,2.4,2.6,2.4,2.5,2.4970000000000003,2.2828512885384353,2.582148711461565
1997-03-03,2.5,2.7,2.5,2.7,2.505,2.257002037585144,2.6379979624148566
1997-03-04,2.85,2.85,2.65,2.75,2.514,2.2288223092422035,2.6961776907577963
1997-03-05,2.75,2.75,2.7,2.75,2.522,2.207974605735994,2.7370253942640064
1997-03-06,2.6,2.65,2.6,2.6,2.527,2.2064757680247533,2.743524231975247
1997-03-10,2.55,2.55,2.4,2.4,2.529,2.199717496720655,2.7402825032793445
1997-03-11,2.4,2.55,2.4,2.45,2.531,2.1997174967206554,2.740282503279345
1997-03-12,2.45,2.5,2.4,2.4,2.53,2.195518963509351,2.7394810364906497
1997-03-13,2.4,2.45,2.4,2.45,2.53,2.199717496720655,2.7402825032793445
1997-03-14,2.45,2.45,2.4,2.4,2.524,2.1955189635093504,2.7394810364906492
1997-03-17,2.4,2.4,2.25,2.25,2.518,2.1686274183639886,2.7463725816360123
1997-03-18,2.3,2.3,2.15,2.25,2.513,2.1440548692622956,2.750945130737705
1997-03-19,2.4,2.4,2.3,2.3,2.51,2.128213895014917,2.746786104985083
1997-03-20,2.4,2.45,2.25,2.25,2.5039999999999996,2.107179436879403,2.7478205631205967
1997-03-21,2.3,2.4,2.25,2.25,2.495,2.0877872063207263,2.7472127936792736
1997-03-25,2.4,2.4,2.25,2.25,2.4859999999999998,2.0755242863662886,2.7494757136337116
1997-03-26,2.3,2.3,2.2,2.25,2.4779999999999998,2.0602651667394785,2.749734833260522
1997-03-27,2.25,2.35,2.25,2.35,2.4730000000000003,2.065255089230869,2.7497449107691305
1997-03-31,2.3,2.3,2.2,2.2,2.465,2.0508497551019707,2.754150244898029
1997-04-01,2.2,2.3,2.2,2.3,2.456,2.050849755101971,2.7541502448980295
1997-04-02,2.3,2.35,2.2,2.25,2.447,2.0351835166707906,2.7448164833292097
1997-04-03,2.3,2.3,2.2,2.2,2.4360000000000004,2.0323867426764672,2.6976132573235323
1997-04-04,2.2,2.25,2.2,2.25,2.428,2.0579025924110197,2.62209740758898
1997-04-07,2.25,2.3,2.2,2.25,2.419,2.1070020243013423,2.5229979756986576
1997-04-09,2.2,2.25,2.2,2.25,2.4120000000000004,2.1369909413935164,2.4580090586064833
1997-04-10,2.25,2.3,2.25,2.3,2.407,2.139374664339779,2.445625335660221
1997-04-11,2.15,2.25,2.15,2.25,2.402,2.147651156748311,2.4173488432516894
1997-04-12,2.25,2.3,2.25,2.3,2.398,2.1540623959027636,2.400937604097236
1997-04-15,2.25,2.3,2.25,2.3,2.392,2.1759675308036592,2.364032469196341
