Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,54.0,54.0,54.0,54.0,,,
1995-01-05,53.0,53.8,53.0,53.8,,,
1995-01-06,54.5,54.5,54.5,54.5,,,
1995-01-09,53.5,53.5,53.5,53.5,,,
1995-01-10,51.5,51.5,50.5,50.5,,,
1995-01-11,50.5,50.5,50.5,50.5,,,
1995-01-13,51.0,51.0,51.0,51.0,,,
1995-01-18,52.0,52.0,52.0,52.0,,,
1995-01-31,51.5,51.6,51.5,51.6,,,
1995-02-02,52.0,53.5,52.0,53.5,,,
1995-02-03,53.0,53.0,53.0,53.0,,,
1995-02-06,52.5,52.5,52.5,52.5,,,
1995-02-09,51.0,51.0,50.0,50.0,,,
1995-02-10,51.0,51.0,51.0,51.0,,,
1995-02-14,51.5,51.5,51.5,51.5,,,
1995-02-15,53.0,53.0,53.0,53.0,,,
1995-02-16,51.5,51.5,51.0,51.0,,,
1995-02-20,49.0,49.0,49.0,49.0,,,
1995-02-21,45.25,45.5,45.25,45.5,,,
1995-02-23,50.0,50.0,50.0,50.0,,47.37220609317102,55.76779390682899
1995-02-24,50.5,51.9,50.5,51.9,,47.420887970732856,55.509112029267136
1995-02-28,50.0,50.0,50.0,50.0,,47.33712721062968,55.212872789370316
1995-03-01,48.0,48.0,48.0,48.0,,47.060202278293964,54.83979772170604
1995-03-09,51.25,51.25,51.2,51.2,,47.13107604943366,54.53892395056634
1995-03-14,51.4,51.5,51.0,51.5,,47.17312715735035,54.59687284264966
1995-03-15,52.0,52.0,51.0,51.0,,47.20231239605856,54.61768760394145
1995-03-21,49.5,49.5,49.5,49.5,,47.07466686806104,54.595333131938965
1995-03-22,51.0,51.0,49.5,49.5,,46.94651896860311,54.473481031396894
1995-03-24,51.0,51.0,51.0,51.0,,46.93687999545552,54.42312000454448
1995-03-27,50.1,50.1,49.5,49.5,,46.94991874254848,54.010081257451525
1995-03-28,50.0,51.0,50.0,51.0,,47.04243076160919,53.717569238390816
1995-03-29,51.0,51.0,50.5,50.5,,47.09344931577138,53.46655068422862
1995-03-30,51.0,51.0,50.5,50.5,,47.119853552073806,53.49014644792619
1995-04-03,50.1,50.1,50.1,50.1,,47.090806179217786,53.429193820782224
1995-04-04,51.0,51.1,50.9,50.9,,47.09910135651289,53.36089864348712
1995-04-05,52.0,52.0,52.0,52.0,,47.207423587808755,53.152576412191245
1995-04-07,52.3,52.3,52.3,52.3,,47.1428954512172,53.347104548782795
1995-04-10,51.6,51.6,51.6,51.6,,47.27466046002089,53.47533953997911
1995-04-11,51.6,51.6,51.5,51.5,,48.55454821099992,52.795451789000076
1995-04-12,51.75,51.75,51.5,51.5,,48.62397083745308,52.87602916254692
1995-04-17,52.0,52.0,52.0,52.0,,48.617145689568275,52.89285431043173
1995-04-18,51.5,51.5,51.5,51.5,,48.69843274857011,52.961567251429884
1995-04-19,51.7,51.8,51.7,51.8,,49.31601087228576,52.72398912771425
1995-04-20,52.25,52.25,50.75,50.75,,49.29163550238876,52.70336449761125
1995-04-21,50.0,50.0,49.0,49.5,,49.08454225380909,52.71045774619091
1995-04-24,50.0,50.1,49.5,49.5,,48.906233069906925,52.738766930093085
1995-04-25,49.4,49.75,49.4,49.7,,48.943396898971436,52.721603101028556
1995-04-26,51.0,51.0,51.0,51.0,,49.125048996761116,52.68995100323888
1995-04-27,50.5,50.5,50.5,50.5,,49.09150645039219,52.67349354960781
1995-04-28,50.1,50.5,50.1,50.3,51.059,49.22840033226777,52.61659966773223
1995-05-02,50.0,50.5,50.0,50.0,50.979,49.129702792846196,52.61529720715381
1995-05-03,49.5,49.5,48.7,48.95,50.882,48.85568378843959,52.73431621156041
1995-05-04,50.0,50.0,50.0,50.0,50.792,48.80199272573018,52.73800727426981
1995-05-05,51.5,51.5,50.5,51.0,50.742,48.870480034883464,52.75951996511653
1995-05-08,51.5,52.0,51.0,52.0,50.772,48.85442903479202,52.885570965207975
1995-05-09,52.0,52.0,50.5,50.5,50.772,48.84593814739934,52.744061852600666
1995-05-12,51.5,51.5,49.5,49.8,50.74799999999999,48.80864791644693,52.531352083553074
1995-05-15,50.0,51.0,49.0,49.0,50.687999999999995,48.59101915971719,52.48898084028282
1995-05-17,50.0,50.5,50.0,50.5,50.666,48.594131916647754,52.38586808335225
1995-05-18,51.1,51.5,51.1,51.5,50.626,48.594131916647754,52.38586808335225
1995-05-19,52.0,52.5,52.0,52.1,50.608000000000004,48.58191486419392,52.408085135806076
1995-05-22,48.0,50.0,48.0,50.0,50.558,48.555822461583425,52.28417753841658
1995-05-23,49.0,50.0,49.0,50.0,50.558,48.57578702607271,52.084212973927286
1995-05-24,49.6,49.9,49.6,49.6,50.53,48.50094849444273,52.044051505557256
1995-05-25,50.1,50.8,49.5,50.8,50.51599999999999,48.59005826089136,52.084941739108636
1995-05-26,50.0,50.0,50.0,50.0,50.455999999999996,48.65158304055827,52.07341695944172
