Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-05-20,27.1,27.1,24.0,25.1,,,
2010-05-21,24.6,25.25,24.2,24.7,,,
2010-05-24,25.0,25.4,24.6,24.8,,,
2010-05-25,24.5,24.65,24.0,24.05,,,
2010-05-26,24.25,24.6,24.2,24.35,,,
2010-05-27,24.35,24.45,23.9,24.05,,,
2010-05-28,24.35,24.35,24.1,24.2,,,
2010-05-31,24.25,24.9,23.9,24.7,,,
2010-06-01,24.8,24.8,24.1,24.2,,,
2010-06-02,24.4,24.4,23.95,24.0,,,
2010-06-03,24.35,24.35,24.0,24.05,,,
2010-06-04,24.05,24.5,24.05,24.25,,,
2010-06-07,24.15,24.3,23.8,24.05,,,
2010-06-08,24.0,24.45,24.0,24.1,,,
2010-06-09,24.3,24.75,24.1,24.15,,,
2010-06-10,24.15,24.3,24.15,24.2,,,
2010-06-11,24.25,24.35,24.0,24.2,,,
2010-06-14,24.2,24.3,24.05,24.1,,,
2010-06-15,24.1,24.25,24.05,24.1,,,
2010-06-16,24.15,24.3,24.1,24.1,,23.663380704796285,24.881619295203716
2010-06-17,24.05,24.35,24.05,24.15,,23.75539770465907,24.694602295340932
2010-06-18,24.25,24.3,24.05,24.1,,23.77963712757461,24.61036287242539
2010-06-21,24.35,24.35,24.05,24.1,,23.856338138193504,24.463661861806496
2010-06-22,24.1,24.4,24.05,24.05,,23.856338138193507,24.4636618618065
2010-06-23,24.05,24.15,23.05,23.2,,23.58799973147161,24.61700026852839
2010-06-24,23.5,27.1,23.25,23.4,,23.467024919778257,24.672975080221743
2010-06-25,23.45,23.75,23.05,23.2,,23.306668306281605,24.733331693718394
2010-06-28,23.45,24.15,23.2,23.9,,23.34141604022321,24.618583959776792
2010-06-29,24.1,24.2,23.35,23.55,,23.290172876439428,24.604827123560575
2010-06-30,23.5,24.1,23.2,23.95,,23.28813343500333,24.60186656499667
2010-07-01,23.95,24.5,23.8,24.4,,23.275879749482254,24.649120250517743
2010-07-02,24.75,25.05,24.3,24.7,,23.232390504556594,24.737609495443404
2010-07-05,25.4,25.4,24.4,24.6,,23.211267396937366,24.813732603062633
