Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-06-24,301.0,361.2,295.0,361.2,,,
2021-06-25,387.9,413.9,355.45,364.7,,,
2021-06-28,357.0,361.7,337.3,347.5,,,
2021-06-29,345.0,352.0,340.85,349.1,,,
2021-06-30,350.75,359.0,341.3,342.3,,,
2021-07-01,342.0,350.0,333.25,344.95,,,
2021-07-02,343.0,385.0,341.3,377.45,,,
2021-07-05,381.4,387.9,366.5,383.05,,,
2021-07-06,382.65,395.7,376.0,388.0,,,
2021-07-07,384.25,420.8,378.5,405.35,,,
2021-07-08,404.75,412.4,396.1,402.45,,,
2021-07-09,400.0,426.8,398.05,422.25,,,
2021-07-12,424.9,427.0,402.0,409.1,,,
2021-07-13,411.0,415.5,400.4,402.05,,,
2021-07-14,404.95,406.95,399.0,401.8,,,
2021-07-15,404.7,409.3,392.2,394.7,,,
2021-07-16,400.0,409.0,399.2,401.5,,,
2021-07-19,399.5,404.95,388.0,393.8,,,
2021-07-20,401.7,456.9,392.0,439.85,,,
2021-07-22,428.0,452.0,411.1,440.5,,329.27374400621807,447.886255993782
2021-07-23,441.0,452.9,418.75,423.25,,331.91684118422006,451.44815881577995
2021-07-26,424.0,424.0,402.6,405.55,,335.06002344938497,452.3899765506151
2021-07-27,408.0,415.45,393.85,396.6,,341.6997244770859,450.6602755229141
2021-07-28,400.45,424.3,395.5,418.75,,349.08936509930186,450.2356349006982
2021-07-29,420.75,438.95,416.1,435.4,,359.12287671708924,449.51212328291075
2021-07-30,432.85,443.95,426.7,439.25,,370.7722103623364,447.29278963766353
2021-08-02,442.65,454.25,435.5,439.25,,374.6273287319412,449.6176712680589
2021-08-03,443.0,446.8,432.2,436.05,,378.45567085774996,451.0893291422501
2021-08-04,439.75,439.75,421.0,421.95,,382.31261812079083,450.6273818792091
2021-08-05,424.9,425.0,408.0,409.5,,382.75493376452744,450.60006623547247
2021-08-06,410.2,422.5,408.0,411.45,,383.7654592477031,450.48954075229676
2021-08-09,427.7,486.7,427.25,477.8,,376.8933871250416,462.91661287495845
2021-08-10,481.25,559.4,474.0,489.35,,371.2590146538813,476.5759853461187
2021-08-11,497.8,522.9,478.35,498.9,,367.46426648315196,490.05573351684814
2021-08-12,503.7,508.75,486.85,491.25,,367.3384281078612,499.1265718921387
2021-08-13,494.15,517.4,494.15,501.8,,368.59823108570185,508.5767689142981
2021-08-16,503.5,542.0,493.05,516.25,,368.56156276901976,520.0884372309802
2021-08-17,515.4,523.8,494.0,496.35,,374.20768220326926,524.6973177967308
2021-08-18,498.95,504.75,464.1,473.75,,375.2886735351011,527.0063264648987
2021-08-20,467.6,493.0,463.0,466.35,,376.4642379370059,528.415762062994
2021-08-23,472.15,480.9,438.15,445.2,,378.71170318886607,528.363296811134
2021-08-24,448.65,456.5,440.2,450.15,,384.3841887040185,527.1508112959816
2021-08-25,457.0,491.15,455.25,472.4,,393.55501778989833,525.5599822101017
2021-08-26,475.0,484.0,466.15,471.5,,398.89820620076233,525.4917937992377
2021-08-27,471.0,478.9,467.2,474.2,,401.9270710756846,526.3429289243155
2021-08-30,483.0,521.7,483.0,512.65,,403.16553104048216,532.4444689595178
2021-08-31,510.0,518.8,496.4,500.1,,406.1389511870824,535.5560488129177
2021-09-01,500.1,513.1,496.0,498.45,,410.31461504450124,537.6203849554986
2021-09-02,498.5,511.0,493.0,494.55,,418.30374888698066,536.8912511130194
2021-09-03,496.0,538.8,491.0,525.7,433.306,429.700171528189,537.1148284718109
2021-09-06,532.4,561.9,527.3,548.75,437.05699999999996,440.3241848711532,540.2208151288467
2021-09-07,550.45,560.9,540.6,548.9,440.741,437.85885769868383,549.7961423013162
2021-09-08,551.9,551.9,526.1,544.85,444.68799999999993,436.2377187464451,556.9672812535548
2021-09-09,545.5,571.0,545.2,550.5,448.716,434.17223137791353,564.1927686220865
2021-09-13,553.0,589.3,546.0,583.45,453.539,428.835478805746,578.749521194254
2021-09-14,587.45,596.8,567.2,572.0,458.08,426.39966370205127,588.2053362979486
2021-09-15,575.4,589.3,567.2,582.45,462.18,423.02736021860574,598.1976397813943
2021-09-16,584.15,610.0,582.55,585.35,466.226,421.6768036141308,608.4481963858692
2021-09-17,589.0,592.25,560.25,570.4,469.874,425.51316131434896,614.2768386856512
2021-09-20,564.0,580.0,556.1,566.1,473.089,431.88220981935456,617.8827901806455
2021-09-21,569.8,572.7,547.15,562.8,476.296,444.3364386588315,617.1885613411686
2021-09-22,565.6,584.0,561.05,574.8,479.34700000000004,457.3325549088857,616.6574450911144
2021-09-23,580.45,587.75,572.1,574.85,482.662,466.89196349739126,617.3430365026088
2021-09-24,576.8,578.75,555.05,558.0,485.781,478.7419264581547,614.1430735418453
2021-09-27,563.9,566.8,548.0,560.5,488.955,492.03917796926294,609.4758220307369
2021-09-28,563.0,564.4,552.7,556.25,492.186,497.00486311936356,608.8701368806364
2021-09-29,553.0,573.8,551.0,563.25,495.421,505.88421378198046,606.3057862180195
2021-09-30,565.4,566.8,554.9,555.85,498.662,516.6934206463407,601.2365793536594
2021-10-01,551.0,571.85,549.2,562.55,501.11600000000004,532.9136288407825,591.8163711592175
2021-10-04,564.1,581.8,564.05,575.2,503.81,540.4831226614677,589.1968773385323
2021-10-05,575.6,589.85,555.0,585.25,507.05,541.917685419475,591.4123145805252
2021-10-06,588.0,591.5,573.0,581.05,510.56,544.2168961009606,592.3281038990392
2021-10-07,585.0,689.0,584.0,652.95,515.687,530.6693554224886,616.6856445775114
2021-10-08,657.6,660.0,627.05,630.95,519.931,529.1301154601881,626.269884539812
2021-10-11,632.8,665.95,628.4,651.8,524.2589999999999,522.3054507959544,639.9295492040458
2021-10-12,651.0,660.0,635.0,651.0,528.4939999999999,518.706515306629,651.428484693371
2021-10-13,670.0,749.0,670.0,741.4,534.5369999999999,496.67382937240745,689.3561706275925
2021-10-14,747.7,813.0,718.35,755.15,540.919,481.0889628620831,721.9210371379169
