Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-02-09,24.0,24.4,24.0,24.4,,,
1995-02-10,24.4,24.5,23.95,24.0,,,
1995-02-13,24.0,24.0,23.65,23.65,,,
1995-02-14,23.5,24.0,23.5,23.9,,,
1995-02-15,23.6,23.75,23.5,23.75,,,
1995-02-16,23.2,23.5,23.2,23.5,,,
1995-02-17,23.8,23.8,23.5,23.5,,,
1995-02-20,23.4,23.4,23.0,23.3,,,
1995-02-21,23.0,23.0,23.0,23.0,,,
1995-02-22,22.5,23.0,22.5,23.0,,,
1995-02-23,23.2,23.2,23.2,23.2,,,
1995-02-24,24.3,24.3,23.7,23.8,,,
1995-02-28,24.0,24.0,23.75,23.75,,,
1995-03-01,24.2,25.0,24.0,24.5,,,
1995-03-02,25.0,25.0,24.5,24.5,,,
1995-03-03,25.0,25.0,25.0,25.0,,,
1995-03-06,25.1,25.1,24.25,24.5,,,
1995-03-07,24.5,24.9,24.5,24.9,,,
1995-03-08,24.8,24.8,24.25,24.25,,,
1995-03-09,24.25,24.25,23.95,23.95,,22.740852219226163,25.094147780773838
1995-03-10,24.0,24.35,24.0,24.1,,22.74424586917251,25.06075413082749
1995-03-14,23.1,25.0,23.1,25.0,,22.69448359980567,25.21051640019433
1995-03-15,24.2,24.2,23.5,23.55,,22.683639997759578,25.21136000224042
1995-03-16,23.55,23.55,23.25,23.25,,22.61313898389146,25.21686101610854
1995-03-20,23.5,23.5,23.5,23.5,,22.589217651715447,25.215782348284552
1995-03-21,22.5,23.5,22.5,23.3,,22.56336296298768,25.221637037012325
1995-03-22,23.0,23.4,22.5,23.35,,22.544890028079,25.225109971920997
1995-03-23,23.1,23.2,23.05,23.05,,22.505030188921697,25.2399698110783
1995-03-24,23.25,23.5,23.25,23.35,,22.561130278453867,25.218869721546135
1995-03-27,23.5,23.5,23.2,23.2,,22.59656324724939,25.20343675275061
1995-03-28,23.25,23.5,23.25,23.4,,22.626255477129504,25.193744522870496
1995-03-29,23.5,23.5,23.25,23.25,,22.565695654544484,25.199304345455516
1995-03-30,23.25,23.25,23.25,23.25,,22.511443381186126,25.20355661881387
1995-03-31,23.25,23.25,23.0,23.2,,22.45153608902912,25.13346391097088
1995-04-03,23.0,23.2,23.0,23.0,,22.375359133599172,25.05964086640083
1995-04-04,23.2,23.5,23.2,23.5,,22.441940919711502,24.8430590802885
1995-04-05,23.5,23.75,23.25,23.75,,22.47228086818534,24.73771913181466
1995-04-06,23.5,24.0,23.5,23.6,,22.584902870742557,24.49509712925744
1995-04-07,23.75,24.0,23.75,24.0,,22.605559826121812,24.449440173878187
1995-04-10,23.5,24.0,23.4,23.6,,22.608772766547858,24.411227233452145
1995-04-11,24.0,24.2,23.8,23.8,,22.625699010396094,24.364300989603908
1995-04-12,23.8,24.2,23.75,24.2,,22.841211076912202,24.0687889230878
1995-04-17,23.55,23.85,23.55,23.7,,22.840216429507187,24.08478357049281
1995-04-18,23.5,23.6,23.5,23.6,,22.863217175472926,24.096782824527075
1995-04-19,23.5,23.5,23.35,23.35,,22.853098761111298,24.091901238888703
1995-04-20,23.5,23.5,23.1,23.1,,22.825174172399755,24.09982582760024
1995-04-21,23.2,23.55,23.2,23.55,,22.83633136959152,24.108668630408488
1995-04-24,23.6,23.6,23.25,23.4,,22.88423819167839,24.095761808321615
1995-04-25,23.0,23.85,23.0,23.75,,22.89732682362237,24.122673176377624
1995-04-26,23.75,24.1,23.75,23.8,23.695999999999998,22.93250297813161,24.14749702186839
1995-04-27,23.6,23.7,23.6,23.65,23.680999999999997,22.94684680759225,24.158153192407752
1995-04-28,23.25,23.5,23.25,23.4,23.668999999999997,22.96652672653623,24.153473273463774
1995-05-02,22.5,23.35,22.5,23.25,23.660999999999998,22.96652672653623,24.153473273463774
1995-05-03,23.0,23.3,22.5,23.3,23.649,22.98271773891096,24.147282261089035
1995-05-04,23.5,23.8,23.3,23.75,23.649,23.07988008175407,24.12511991824593
1995-05-05,23.5,25.0,23.5,24.5,23.669,22.996776213478157,24.308223786521836
1995-05-08,24.4,25.25,24.2,25.05,23.7,22.811220735499717,24.62377926450028
1995-05-09,24.8,25.0,24.8,24.8,23.73,22.752817764274923,24.802182235725077
1995-05-10,25.0,25.7,25.0,25.3,23.776,22.613775800720624,25.071224199279378
1995-05-12,25.4,25.4,24.9,24.9,23.814,22.59790986725255,25.217090132747447
1995-05-15,25.5,25.5,24.75,24.9,23.848,22.581472541147257,25.34352745885274
1995-05-16,25.0,25.0,24.5,24.7,23.866,22.5707301379175,25.4042698620825
1995-05-17,25.25,25.3,25.0,25.0,23.891,22.57335551042076,25.531644489579243
1995-05-18,25.5,25.7,25.45,25.7,23.915,22.523559010277687,25.79144098972231
1995-05-19,26.2,26.4,25.8,26.2,23.949,22.476469589533885,26.123530410466117
1995-05-22,25.5,25.5,24.5,25.1,23.951,22.63513829377335,26.16486170622665
1995-05-23,26.0,26.0,25.6,26.0,23.980999999999998,22.668209101343027,26.376790898656974
1995-05-24,26.15,26.5,26.05,26.1,24.005,22.754794170481368,26.56020582951863
1995-05-25,25.8,26.0,25.7,26.0,24.04,22.82756528254386,26.71243471745614
1995-05-26,25.9,26.2,25.9,26.0,24.081000000000003,22.91976370919487,26.840236290805127
1995-05-29,25.75,26.3,25.75,26.3,24.125,23.044098297308732,26.980901702691266
1995-05-30,26.2,26.2,26.0,26.0,24.145,23.28203175107363,27.002968248926365
1995-05-31,26.75,26.75,26.15,26.3,24.2,23.59456661870848,26.995433381291516
1995-06-01,27.0,27.0,26.5,27.0,24.275,23.8920851143054,27.067914885694602
1995-06-02,27.0,27.5,27.0,27.05,24.346,24.12984845295057,27.16015154704943
1995-06-05,26.55,27.1,26.55,27.1,24.422000000000004,24.22767633433862,27.322323665661376
1995-06-06,27.5,27.5,27.0,27.0,24.495,24.27267270668956,27.472327293310446
1995-06-07,27.1,27.1,27.0,27.0,24.574,24.39065400110108,27.574345998898917
1995-06-08,27.05,27.6,27.0,27.3,24.653000000000002,24.42140492683133,27.74359507316867
1995-06-09,26.5,27.15,26.5,27.15,24.732,24.566665364794297,27.823334635205704
1995-06-12,27.0,27.2,27.0,27.1,24.805999999999997,24.749398914617867,27.860601085382132
1995-06-13,26.5,28.0,26.5,27.2,24.885,25.022725665468336,27.837274334531664
1995-06-14,27.2,27.2,27.0,27.0,24.96,25.27452776760466,27.785472232395342
1995-06-15,25.0,27.0,25.0,26.85,25.033,25.387993522537858,27.78700647746214
1995-06-16,26.8,27.0,26.8,27.0,25.113000000000003,25.42904704986631,27.8259529501337
1995-06-19,27.2,27.2,27.2,27.2,25.187,25.748803962223704,27.716196037776292
1995-06-20,27.2,27.2,27.1,27.1,25.254,25.854550517529464,27.72044948247054
1995-06-21,27.2,27.4,27.2,27.3,25.327999999999996,25.946930005058242,27.748069994941766
1995-06-22,27.3,27.3,26.7,26.7,25.381999999999998,26.07056598660655,27.69443401339345
1995-06-26,26.7,26.8,26.7,26.7,25.444000000000003,26.21242441614583,27.62257558385417
1995-06-27,26.9,27.1,26.85,27.05,25.509,26.31108107734956,27.59891892265043
1995-06-28,27.0,27.2,27.0,27.2,25.569000000000003,26.545846226533534,27.48415377346646
1995-06-29,27.15,27.2,27.1,27.2,25.639,26.72659649861352,27.393403501386484
1995-06-30,27.2,27.2,27.2,27.2,25.711000000000002,26.73220529436088,27.40779470563912
1995-07-03,27.0,27.2,27.0,27.2,25.787999999999997,26.734947660549402,27.420052339450606
1995-07-05,27.0,27.2,27.0,27.2,25.87,26.735672270883462,27.429327729116537
1995-07-10,27.0,27.25,26.9,27.2,25.943,26.74415806272704,27.440841937272964
1995-07-11,27.1,27.2,27.1,27.2,26.019000000000002,26.75385601026424,27.451143989735765
1995-07-12,27.1,27.3,27.1,27.2,26.088,26.758034475822377,27.436965524177616
1995-07-13,27.2,27.2,27.1,27.2,26.156,26.75817825513423,27.441821744865774
1995-07-14,27.2,27.6,27.2,27.6,26.235,26.71653689852928,27.53346310147072
1995-07-17,27.7,28.2,27.7,28.0,26.327,26.599221542334977,27.73077845766503
1995-07-18,28.6,28.6,28.0,28.35,26.429000000000002,26.46385457493483,28.001145425065165
1995-07-19,28.4,28.6,28.3,28.4,26.531,26.403532013512756,28.21646798648725
1995-07-20,28.3,28.6,28.3,28.5,26.625999999999998,26.347746541658196,28.422253458341807
1995-07-21,28.6,29.5,28.6,29.0,26.715999999999998,26.216554844053093,28.73344515594691
1995-07-24,28.9,29.15,28.9,29.0,26.795,26.153778191621726,28.986221808378282
1995-07-25,28.65,29.0,28.5,28.75,26.874000000000002,26.138724050842985,29.14627594915702
1995-07-26,28.3,29.0,28.3,28.6,26.94,26.244401843393046,29.230598156606955
1995-07-27,28.5,28.5,28.0,28.5,27.011999999999997,26.38146185534772,29.273538144652274
1995-07-28,28.0,28.5,28.0,28.0,27.074,26.47481204269234,29.27518795730766
1995-07-31,27.3,28.0,27.3,28.0,27.14,26.55075739154036,29.27924260845964
1995-08-01,27.7,28.5,27.5,28.35,27.207000000000004,26.638540717105283,29.30645928289471
1995-08-03,27.6,28.2,27.6,28.05,27.254,26.731460485917772,29.298539514082236
1995-08-11,29.5,29.5,29.2,29.25,27.315,26.78164821181393,29.45335178818607
1995-08-14,29.4,29.5,29.4,29.4,27.401,26.848150420249528,29.606849579750477
1995-08-16,29.35,29.5,29.35,29.5,27.471,26.940518319813393,29.74448168018661
1995-08-17,29.35,29.35,29.0,29.3,27.535,27.092014070429695,29.8029859295703
1995-08-18,28.7,28.7,28.4,28.4,27.583,27.284787312657063,29.730212687342938
1995-08-21,28.5,28.5,27.0,27.0,27.602999999999998,27.2274088304585,29.76759116954149
1995-08-22,27.8,27.8,27.3,27.4,27.625,27.184921585348622,29.79007841465138
1995-08-23,27.2,27.2,27.1,27.2,27.649,27.03720887663876,29.857791123361235
1995-08-24,27.2,27.5,27.2,27.2,27.666999999999998,26.873216700069758,29.90678329993025
1995-08-25,27.2,27.3,27.0,27.0,27.666999999999998,26.680873146426677,29.959126853573324
1995-08-28,27.0,27.05,26.9,27.05,27.667,26.51621663057052,29.978783369429472
1995-08-30,26.6,26.6,26.5,26.5,27.655,26.2636732619458,29.98132673805419
1995-08-31,26.5,26.5,26.0,26.0,27.635,25.936126804960928,30.008873195039065
1995-09-01,25.6,26.3,25.6,25.6,27.607,25.55665873633814,30.073341263661856
1995-09-05,26.0,26.5,26.0,26.4,27.589000000000002,25.393951024227096,30.016048975772907
1995-09-11,26.6,26.7,26.5,26.5,27.576000000000004,25.26588185757742,29.94411814242258
1995-09-12,26.8,27.0,26.6,26.6,27.566,25.16210481079604,29.907895189203966
1995-09-13,26.5,26.9,26.5,26.9,27.56,25.101499809145544,29.858500190854457
1995-09-14,27.2,27.2,27.0,27.0,27.56,25.061492377276245,29.763507622723758
1995-09-15,26.6,26.75,26.6,26.75,27.558000000000003,24.998821760290657,29.696178239709337
1995-09-18,26.7,26.8,26.5,26.5,27.548000000000002,25.013208080668065,29.40679191933193
1995-09-19,26.6,26.6,26.5,26.6,27.535999999999998,25.117565622101484,29.022434377898517
1995-09-20,26.5,26.85,26.5,26.5,27.524,25.32546987617372,28.514530123826276
1995-09-21,26.5,26.5,26.5,26.5,27.508000000000003,25.63779529901714,27.922204700982864
1995-09-22,26.5,27.0,26.5,27.0,27.514,25.848789102178625,27.571210897821377
1995-09-25,27.0,27.5,27.0,27.1,27.522,25.84557792940247,27.584422070597522
1995-09-26,27.5,27.5,27.3,27.4,27.529,25.845577929402477,27.58442207059753
1995-09-27,27.3,27.5,27.3,27.5,27.535,25.81613026380297,27.64386973619703
1995-09-28,27.2,27.3,27.0,27.0,27.531,25.82357434922443,27.616425650775568
1995-09-29,27.3,27.4,27.2,27.3,27.532999999999998,25.809285482224112,27.66071451777588
1995-10-10,27.5,27.5,27.3,27.3,27.535,25.797444599953312,27.697555400046692
1995-10-11,27.3,27.1,27.1,27.1,27.533,25.82247175572217,27.732528244277837
1995-10-12,27.1,27.3,27.1,27.1,27.531,25.9414479901765,27.7235520098235
1995-10-13,27.1,27.25,27.1,27.25,27.531999999999996,26.22058619950655,27.60941380049345
1995-10-16,27.2,27.2,27.0,27.0,27.528,26.293766352867223,27.596233647132777
1995-10-17,27.0,27.0,26.7,26.7,27.518,26.32680291392961,27.583197086070395
1995-10-18,26.7,26.9,26.6,26.6,27.497999999999998,26.32680291392961,27.583197086070395
1995-10-19,26.6,27.25,26.7,27.2,27.482,26.333066557224164,27.606933442775833
1995-10-20,26.8,27.4,26.8,27.3,27.461,26.33118528296582,27.638814717034187
1995-10-23,27.3,27.3,27.0,27.2,27.436999999999998,26.356771663118156,27.658228336881844
1995-10-25,26.9,26.9,26.85,26.85,27.404,26.41413348861081,27.63586651138919
1995-10-26,27.0,27.1,26.9,27.05,27.365,26.470324481680557,27.62467551831945
1995-10-27,27.05,27.0,26.7,26.9,27.322999999999997,26.545081534943943,27.589918465056062
1995-10-30,26.9,27.5,26.75,27.5,27.298,26.633791736466627,27.601208263533373
1995-10-31,27.5,27.6,26.9,27.4,27.274,26.6413304619122,27.633669538087798
1995-11-01,27.4,27.7,27.1,27.7,27.258000000000003,26.61188275196343,27.72311724803657
1995-11-10,27.5,27.4,27.1,27.25,27.243000000000002,26.613624382142277,27.70637561785773
1995-11-13,27.25,27.4,27.1,27.4,27.230999999999998,26.620013526978738,27.689986473021264
1995-11-14,27.4,27.3,27.0,27.2,27.208,26.63475675889571,27.69524324110429
1995-11-15,27.2,27.1,26.6,27.0,27.186999999999998,26.618864176356144,27.681135823643853
1995-11-16,27.0,27.2,26.5,26.9,27.14,26.592559672835115,27.66744032716489
1995-11-17,26.9,27.0,26.4,26.5,27.082000000000004,26.493023021333162,27.70697697866684
1995-11-20,26.5,25.8,25.7,25.7,27.006000000000004,26.157978754483853,27.90202124551615
1995-11-21,25.7,25.5,24.0,24.0,26.9,25.263795407173564,28.471204592826435
1995-11-22,24.0,22.5,22.2,22.2,26.776,23.99841670969358,29.256583290306416
1995-11-23,22.2,22.8,22.0,22.8,26.692000000000004,23.296415448239717,29.568584551760278
1995-11-24,22.8,23.2,22.4,23.0,26.604,22.76349848395742,29.741501516042575
1995-11-27,23.1,23.6,23.1,23.6,26.531999999999996,22.421620509708433,29.72337949029157
1995-11-28,23.5,23.9,23.5,23.5,26.458000000000002,22.107195899317297,29.657804100682704
1995-11-29,23.5,23.1,23.1,23.1,26.38,21.760804964641732,29.594195035358265
1995-11-30,23.2,23.5,23.2,23.45,26.307999999999996,21.51075461353733,29.50424538646267
1995-12-01,23.45,23.5,22.8,23.0,26.237999999999996,21.227733113572523,29.382266886427477
1995-12-08,23.4,23.5,22.0,22.0,26.157999999999998,20.80143587331918,29.31856412668082
1995-12-11,22.35,22.8,22.35,22.8,26.101999999999997,20.61492436622506,29.035075633774937
1995-12-12,23.2,23.2,22.4,22.5,26.023999999999997,20.431011537355392,28.72898846264461
1995-12-13,23.0,23.0,22.8,22.8,25.95,20.3879691372401,28.282030862759903
1995-12-14,23.0,23.0,22.9,23.0,25.878,20.38415319397658,27.860846806023424
1995-12-15,22.4,22.55,22.4,22.55,25.791,20.417813286071134,27.342186713928864
1995-12-18,22.55,22.55,22.5,22.55,25.701999999999998,20.515244212905053,26.77975578709495
1995-12-19,22.55,22.5,21.5,21.6,25.598999999999997,20.5454512716056,26.209548728394402
1995-12-20,22.0,22.0,22.0,22.0,25.508999999999997,20.7755896674269,25.4894103325731
1995-12-21,22.0,22.0,21.7,22.0,25.416999999999998,21.111810717300905,24.7031892826991
1995-12-22,22.0,23.65,22.0,23.4,25.355,21.536241980910475,24.048758019089526
1995-12-26,23.9,23.9,22.5,23.8,25.301,21.564099409061036,24.00090059093897
1995-12-27,23.8,23.7,23.5,23.6,25.233,21.614303093628568,24.09069690637143
1995-12-28,23.5,23.8,23.5,23.7,25.165,21.603190592591684,24.191809407408318
1995-12-29,23.25,23.5,23.25,23.4,25.085,21.604297806885626,24.230702193114375
1996-01-01,23.4,23.3,23.25,23.25,25.0,21.616091493667874,24.183908506332124
1996-01-02,23.25,23.25,22.5,22.5,24.91,21.58675438901035,24.113245610989654
1996-01-09,21.0,21.3,20.9,20.9,24.782000000000004,21.212842337439838,24.26715766256016
1996-01-10,20.9,22.0,20.8,22.0,24.676000000000002,21.144595918284516,24.190404081715485
1996-01-11,21.6,21.6,21.6,21.6,24.566,21.011550176674653,24.183449823325347
1996-01-12,21.5,22.0,21.5,21.9,24.462000000000003,20.998011136181084,24.186988863818918
1996-01-15,21.6,21.6,21.5,21.5,24.347,20.864125180702157,24.190874819297836
1996-01-16,21.6,22.0,21.2,21.8,24.243000000000002,20.797530663217763,24.187469336782236
1996-01-17,21.8,21.75,20.0,21.5,24.139,20.68319347213331,24.171806527866686
1996-01-18,21.5,21.5,21.1,21.35,24.034000000000002,20.559119706964353,24.130880293035645
1996-01-19,21.1,21.25,20.9,20.9,23.908,20.367388560421443,24.157611439578556
1996-01-22,20.9,21.0,20.5,21.0,23.782000000000004,20.21413323903564,24.155866760964358
1996-01-23,21.0,21.0,20.1,20.9,23.656,20.111682840648754,24.188317159351243
1996-01-24,20.9,20.85,20.4,20.6,23.531,19.927058315992436,24.23294168400756
1996-01-25,20.6,20.8,20.3,20.7,23.404,19.775145681428913,24.25485431857108
1996-01-29,20.7,20.9,20.3,20.9,23.284000000000002,19.697044772098746,24.082955227901255
1996-01-30,20.9,21.2,20.75,21.15,23.157000000000004,19.737006313585066,23.777993686414934
1996-01-31,21.15,21.1,20.5,21.0,23.029,19.778894551218762,23.476105448781233
1996-02-02,21.3,22.5,22.0,22.2,22.919,19.95300172340117,23.151998276598828
1996-02-12,25.0,25.4,24.5,25.0,22.874000000000002,19.555235857963655,23.709764142036345
1996-02-13,25.0,25.5,24.5,25.4,22.834,19.15083228166179,24.329167718338216
1996-02-14,25.2,26.5,25.2,26.35,22.817000000000004,18.63094135692175,25.234058643078246
1996-02-15,26.0,27.0,26.0,26.45,22.805999999999997,18.382729432088652,26.03727056791135
1996-02-16,26.45,27.8,26.5,27.5,22.817999999999998,17.989259325703195,26.98074067429681
1996-02-19,27.1,27.6,27.0,27.5,22.837999999999997,17.78248482796328,27.777515172036722
1996-02-20,27.5,28.5,27.5,28.0,22.883999999999997,17.593465845647376,28.576534154352625
1996-02-22,28.0,28.1,27.6,28.0,22.963999999999995,17.556022494783633,29.263977505216374
1996-02-23,28.0,28.2,28.0,28.0,23.08,17.575563063782152,29.864436936217853
1996-02-26,28.0,28.2,28.0,28.0,23.183999999999997,17.71030854820269,30.379691451797314
1996-02-27,28.0,28.05,28.0,28.0,23.283999999999995,17.94113333941626,30.81386666058374
1996-02-28,28.0,28.1,27.95,28.05,23.373,18.317663284016028,31.15233671598397
1996-02-29,28.05,28.1,28.0,28.0,23.463,18.76251714326687,31.407482856733132
1996-03-01,28.0,28.1,28.0,28.0,23.561000000000003,19.31261539437394,31.567384605626057
1996-03-11,27.0,27.0,26.2,26.75,23.627000000000002,20.039935767011976,31.45506423298803
1996-03-12,26.75,26.5,26.2,26.3,23.693,20.836467752992313,31.21853224700768
1996-03-13,26.3,26.7,26.4,26.6,23.785,21.714803208184165,30.910196791815835
1996-03-14,26.6,27.0,26.5,26.5,23.859,22.676910805124002,30.483089194876
1996-03-15,26.5,26.5,26.2,26.5,23.939,23.963287704490668,29.746712295509333
1996-03-18,26.5,26.4,26.3,26.3,24.008999999999997,25.13958337853479,28.9804166214652
1996-03-19,26.3,26.6,26.0,26.25,24.073999999999998,25.414785306708396,28.830214693291595
1996-03-21,26.25,26.1,26.0,26.1,24.145,25.574273780169836,28.74072621983016
1996-03-22,26.1,26.3,26.2,26.2,24.218000000000004,25.54934224046559,28.750657759534405
1996-03-25,26.2,26.1,25.9,26.1,24.308000000000003,25.492450257493836,28.772549742506172
1996-03-26,26.1,26.4,25.9,26.4,24.396000000000004,25.415708005922898,28.73929199407711
1996-03-27,26.5,26.6,26.5,26.5,24.486000000000004,25.35907023080483,28.69592976919518
1996-03-28,26.5,26.7,26.5,26.7,24.552,25.35335671698789,28.571643283012108
1996-03-29,26.7,26.8,26.55,26.8,24.612000000000002,25.36850795994659,28.436492040053402
1996-04-01,26.8,26.8,26.8,26.8,24.676,25.397991341958196,28.287008658041806
1996-04-02,26.5,27.5,26.5,27.1,24.744,25.452147375514365,28.142852624485627
1996-04-03,27.1,27.2,26.8,27.1,24.818,25.521122936024845,27.98387706397515
1996-04-04,27.0,27.1,26.8,27.0,24.893,25.62150201913184,27.77849798086816
1996-04-08,26.5,27.1,26.5,27.0,24.983,25.746789352540574,27.553210647459423
1996-04-09,27.0,27.2,26.6,27.0,25.105,25.93114394594016,27.268856054059842
1996-04-10,27.0,26.8,26.6,26.6,25.197,25.92737239055804,27.25762760944196
1996-04-11,26.6,26.5,26.0,26.2,25.289,25.911696384801278,27.26330361519872
1996-04-12,25.8,26.0,25.6,25.9,25.368999999999996,25.81018853182148,27.294811468178516
1996-04-15,25.7,25.9,25.7,25.85,25.456,25.71383950925267,27.32616049074733
1996-04-16,25.85,26.2,25.8,26.2,25.544,25.68620756437822,27.323792435621787
1996-04-17,26.0,26.5,26.0,26.5,25.644000000000002,25.701883836874018,27.328116163125976
1996-04-18,26.5,27.8,26.5,27.5,25.767000000000003,25.664163145095856,27.49083685490414
1996-04-19,27.5,28.1,27.3,27.85,25.906,25.618652970920728,27.711347029079278
1996-04-22,27.85,28.4,27.1,27.6,26.037999999999997,25.633756683513976,27.836243316486016
1996-04-23,27.6,27.35,27.0,27.2,26.164,25.712673875306447,27.86732612469355
1996-04-24,27.5,28.5,27.4,27.9,26.31,25.696960707221912,28.033039292778092
1996-04-25,27.9,28.0,27.5,27.8,26.451999999999998,25.70422419839951,28.15577580160049
1996-04-26,27.8,27.4,27.0,27.0,26.574,25.723740943038546,28.166259056961454
1996-04-29,27.0,27.4,27.0,27.1,26.692999999999998,25.738870238370755,28.181129761629247
1996-04-30,27.1,28.3,27.3,28.05,26.834,25.711223000880093,28.3337769991199
1996-05-01,28.05,29.8,28.3,29.0,26.97,25.535271391858654,28.699728608141346
1996-05-02,29.0,29.5,29.1,29.4,27.057999999999996,25.349815746068973,29.115184253931037
1996-05-03,29.4,30.0,29.5,29.9,27.148000000000003,25.15430291850729,29.60069708149272
1996-05-06,29.9,29.3,28.6,28.7,27.195,25.17112601550032,29.753873984499677
1996-05-07,28.7,28.9,27.7,28.5,27.236000000000004,25.211927065498905,29.863072934501098
1996-05-08,28.5,29.0,27.5,28.5,27.256000000000004,25.312954899407206,29.952045100592795
1996-05-09,28.5,28.25,27.5,27.8,27.262000000000004,25.492761987957792,29.932238012042205
1996-05-10,27.8,27.15,26.3,27.15,27.245,25.704785162432643,29.845214837567354
1996-05-13,27.15,28.2,27.45,28.1,27.247000000000003,26.023470691443478,29.75152930855652
1996-05-14,28.1,28.2,27.5,27.7,27.241000000000003,26.271696702903174,29.653303297096823
1996-05-15,27.7,28.75,28.0,28.4,27.249000000000002,26.504819804507864,29.61018019549213
1996-05-16,28.4,29.0,28.2,28.2,27.253,26.561323981379086,29.623676018620916
1996-05-17,28.0,28.1,27.6,27.95,27.250999999999998,26.569007450563138,29.62599254943687
1996-05-20,27.95,27.5,27.0,27.0,27.230999999999998,26.475654001101137,29.659345998898868
1996-05-21,27.0,27.2,26.2,26.4,27.198999999999998,26.30872595710602,29.746274042893987
1996-05-22,26.4,27.4,26.4,27.4,27.212,26.261515704898724,29.743484295101272
1996-05-23,27.4,27.2,27.0,27.05,27.226999999999997,26.174057878040067,29.755942121959926
1996-05-24,27.05,26.85,26.65,26.65,27.228,26.1106047361033,29.784395263896702
1996-05-27,26.65,26.5,26.1,26.25,27.223000000000003,25.950006393872396,29.859993606127606
1996-05-28,26.25,26.2,25.3,26.2,27.217000000000002,25.71641969820363,29.90858030179637
1996-05-29,26.2,27.2,26.0,27.2,27.235,25.687419502432704,29.757580497567304
1996-05-30,27.2,27.2,27.0,27.0,27.25,25.705556475052056,29.499443524947942
1996-05-31,27.0,27.5,27.0,27.5,27.278,25.924067926948492,29.040932073051504
1996-06-03,27.5,28.0,27.4,27.5,27.303999999999995,25.972826715573895,28.87217328442611
1996-06-04,27.5,28.15,27.7,27.9,27.34,26.013608377985065,28.77139162201494
1996-06-05,28.0,28.0,27.8,27.9,27.37,26.061134320577505,28.663865679422496
1996-06-06,28.1,28.5,27.5,28.5,27.41,26.011678943730526,28.783321056269468
1996-06-07,27.3,27.5,27.2,27.5,27.426000000000002,26.033505767008307,28.79649423299169
1996-06-10,27.45,27.5,27.0,27.25,27.435,26.02793002374273,28.71706997625726
