Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,39.0,39.0,39.0,39.0,,,
1995-01-03,39.0,39.0,39.0,39.0,,,
1995-01-04,38.0,38.0,38.0,38.0,,,
1995-01-06,35.0,35.0,33.1,33.45,,,
1995-01-09,33.0,35.0,33.0,34.5,,,
1995-01-10,34.9,35.0,34.2,34.2,,,
1995-01-11,34.5,34.9,34.5,34.7,,,
1995-01-12,35.0,36.0,34.5,35.1,,,
1995-01-13,36.0,36.0,35.0,35.0,,,
1995-01-16,35.0,36.0,35.0,36.0,,,
1995-01-17,36.0,36.0,35.75,36.0,,,
1995-01-18,36.0,36.0,36.0,36.0,,,
1995-01-19,36.0,36.25,36.0,36.0,,,
1995-01-20,36.0,36.0,36.0,36.0,,,
1995-01-23,34.0,34.1,34.0,34.05,,,
1995-01-24,36.0,36.0,36.0,36.0,,,
1995-01-25,35.0,35.0,34.5,34.5,,,
1995-01-27,35.0,35.0,34.5,34.5,,,
1995-01-30,34.0,34.5,34.0,34.05,,,
1995-01-31,33.0,33.0,33.0,33.0,,32.12471031155418,38.78028968844582
1995-02-01,33.7,34.0,33.5,33.9,,32.254984964041455,38.140015035958555
1995-02-02,33.8,34.0,33.8,34.0,,32.569868493868874,37.325131506131136
1995-02-03,34.0,34.5,34.0,34.5,,32.873892477020114,36.67110752297989
1995-02-07,34.0,34.0,34.0,34.0,,32.96725687331227,36.63274312668772
1995-02-08,36.0,36.0,33.8,33.8,,32.882085126445524,36.64791487355448
1995-02-09,34.3,34.3,34.3,34.3,,32.89288014571033,36.64711985428966
1995-02-10,34.5,35.0,34.5,34.65,,32.88985449789397,36.645145502106026
1995-02-13,33.5,33.5,33.5,33.5,,32.73466804830037,36.64033195169963
1995-02-15,32.75,32.75,32.75,32.75,,32.44662033462072,36.70337966537929
1995-02-17,32.5,32.5,30.0,30.0,,31.423684514123337,37.12631548587666
1995-02-21,28.3,30.0,28.3,29.15,,30.39142151426923,37.47357848573077
1995-02-22,29.0,29.5,28.7,29.5,,29.69204143305363,37.52295856694637
1995-02-23,29.5,30.0,29.5,29.5,,29.13124464136068,37.43375535863932
1995-02-24,31.0,32.0,31.0,31.9,,29.089560946461578,37.06543905353842
1995-02-28,31.0,31.0,30.0,30.1,,28.707861838085257,37.05213816191475
1995-03-01,32.0,32.0,31.5,31.5,,28.712265175701397,36.597734824298605
1995-03-03,32.7,32.7,32.7,32.7,,28.71859361152994,36.411406388470056
1995-03-06,33.3,34.0,33.3,34.0,,28.740332424512555,36.33966757548745
1995-03-07,31.5,32.0,31.0,31.5,,28.65527888242974,36.16972111757026
1995-03-10,33.5,33.5,33.5,33.5,,28.657236155128558,36.21776384487144
1995-03-14,32.0,33.0,32.0,32.8,,28.660265950965794,36.10473404903421
1995-03-15,33.5,33.5,32.7,32.85,,28.673107916507693,35.97689208349232
1995-03-16,30.0,32.6,30.0,32.6,,28.72025417024625,35.739745829753744
1995-03-20,32.65,34.0,32.65,34.0,,28.72025417024625,35.739745829753744
1995-03-21,33.0,33.0,32.3,32.4,,28.72709421841157,35.592905781588435
1995-03-23,32.4,32.4,32.1,32.1,,28.768151996848477,35.33184800315152
1995-03-24,32.0,32.0,32.0,32.0,,28.872180035823703,34.96281996417629
1995-03-27,32.0,32.0,32.0,32.0,,28.888773540085303,34.796226459914685
1995-03-28,32.05,32.05,31.2,31.75,,28.869762458440324,34.715237541559674
1995-03-29,32.5,33.5,32.05,32.3,33.652,29.10312841263855,34.71187158736145
1995-03-30,33.0,33.5,33.0,33.5,33.542,29.556260804863264,34.693739195136736
1995-03-31,31.6,33.0,31.6,33.0,33.422,30.024038664651762,34.57596133534823
1995-04-03,31.5,31.5,30.8,31.5,33.292,30.49681707049532,34.30318292950468
1995-04-04,31.0,32.5,31.0,32.5,33.272999999999996,30.541140695106087,34.31885930489391
1995-04-05,33.0,33.0,32.5,32.5,33.233,31.012058792445288,34.08794120755471
1995-04-06,31.7,32.9,31.7,32.7,33.202999999999996,31.153038489833943,34.06696151016605
1995-04-07,31.5,32.1,31.5,32.0,33.149,31.09371321942175,34.056286780578255
1995-04-10,32.0,32.1,31.5,32.1,33.089,31.147254515552245,33.81274548444776
1995-04-11,32.1,32.1,32.0,32.0,33.029,31.232249145809675,33.77775085419033
1995-04-12,32.25,32.25,32.1,32.25,32.954,31.255608881861573,33.62939111813843
1995-04-17,32.2,32.2,32.0,32.0,32.874,31.212420391871063,33.59257960812893
1995-04-18,31.9,31.9,31.5,31.55,32.785,31.108947149991803,33.5660528500082
1995-04-19,29.8,29.8,29.8,29.8,32.661,30.533808796364927,33.86119120363509
1995-04-21,30.9,31.5,30.9,31.5,32.571,30.616306331561596,33.528693668438414
1995-04-24,30.9,31.0,30.5,30.8,32.506,30.439480869064145,33.54551913093585
1995-04-25,30.6,30.6,30.6,30.6,32.398,30.245981623131037,33.589018376868964
1995-04-26,31.0,31.0,30.0,30.0,32.308,29.94013482508061,33.6948651749194
1995-04-27,30.2,30.2,29.0,29.0,32.198,29.410516684995066,33.924483315004935
1995-04-28,29.0,29.2,29.0,29.2,32.101,29.02884593526358,34.05115406473643
1995-05-02,29.5,29.5,27.55,27.55,31.992000000000004,28.25317306822599,34.351826931774006
1995-05-03,28.0,28.0,27.5,27.5,31.864,27.69390274595503,34.31109725404497
1995-05-04,28.0,28.0,27.0,27.0,31.724,27.083038714117766,34.321961285882225
1995-05-05,27.5,27.8,27.5,27.8,31.59,26.697018492733058,34.337981507266946
1995-05-08,27.65,27.75,27.3,27.5,31.46,26.340364308832406,34.1946356911676
1995-05-09,27.5,27.85,27.3,27.85,31.340999999999998,26.113789123645294,33.9562108763547
1995-05-10,27.8,29.0,27.8,28.1,31.217000000000002,26.004182913330855,33.60581708666914
1995-05-12,28.25,28.25,28.25,28.25,31.089000000000002,25.90361779230521,33.33138220769479
1995-05-15,28.15,28.5,28.15,28.5,30.989,25.884758286307477,32.99024171369253
1995-05-16,28.5,28.5,28.45,28.45,30.903,25.896637021325805,32.6233629786742
1995-05-17,28.25,28.25,28.25,28.25,30.868,25.981620385229924,32.13837961477008
1995-05-18,28.55,28.55,28.5,28.5,30.855,26.129316877127447,31.640683122872556
1995-05-19,29.4,31.2,29.4,30.5,30.875,26.256441198774986,31.408558801225013
1995-05-22,30.0,30.0,29.5,30.0,30.885,26.249132954713243,31.43586704528676
1995-05-23,30.0,30.0,29.7,29.9,30.845,26.428568372444108,31.09643162755589
1995-05-24,30.2,30.2,30.0,30.1,30.845,26.503829492412105,30.9511705075879
1995-05-25,29.8,29.8,29.8,29.8,30.811000000000003,26.579900966926832,30.795099033073168
1995-05-26,29.8,29.9,29.8,29.9,30.755,26.58757505472959,30.777424945270404
1995-05-29,29.8,29.8,29.8,29.8,30.671,26.572230739014934,30.872769260985073
1995-05-30,30.0,30.6,30.0,30.0,30.641,26.546083974069752,30.978916025930246
1995-05-31,30.4,30.5,30.25,30.25,30.576,26.66320392575898,31.13179607424102
1995-06-01,31.2,31.2,30.4,30.4,30.528000000000002,26.813675669834602,31.2713243301654
1995-06-02,30.6,30.8,30.6,30.6,30.482999999999997,27.10976293762399,31.335237062376017
1995-06-05,30.5,30.6,30.3,30.5,30.441,27.282771102047214,31.432228897952783
1995-06-06,30.6,30.6,30.2,30.2,30.365,27.581789192610756,31.403210807389236
1995-06-07,30.1,30.1,30.0,30.0,30.316999999999997,27.842609590150232,31.35739040984977
1995-06-08,29.5,30.45,29.5,30.25,30.28,28.078074851123922,31.336925148876077
1995-06-09,29.5,29.5,29.5,29.5,30.23,28.286618372558184,31.253381627441815
1995-06-12,29.5,29.5,28.0,28.0,30.15,28.15824561645963,31.331754383540364
1995-06-13,28.5,29.5,28.5,29.15,30.098000000000003,28.285307635947035,31.274692364052967
1995-06-14,28.0,28.0,28.0,28.0,30.012000000000004,28.215837055047977,31.319162944952026
1995-06-15,28.1,28.1,27.2,27.2,29.886000000000003,27.847925286373876,31.55707471362612
1995-06-16,27.2,28.1,27.2,27.35,29.773000000000003,27.4554520760901,31.634547923909896
1995-06-19,27.0,27.0,27.0,27.0,29.683000000000003,27.030370286025544,31.759629713974455
1995-06-20,27.4,27.4,27.2,27.2,29.577,26.71532547836604,31.804674521633963
1995-06-21,28.0,28.0,28.0,28.0,29.487000000000002,26.58310739358196,31.72689260641804
1995-06-22,28.0,28.0,27.5,27.5,29.383000000000003,26.385193039032707,31.6948069609673
1995-06-23,27.6,27.6,27.55,27.55,29.294,26.22036147069042,31.624638529309586
1995-06-26,26.5,26.5,26.5,26.5,29.182,25.883428067412957,31.631571932587043
1995-06-27,26.5,26.6,26.5,26.6,29.073999999999998,25.622107508005158,31.55289249199484
1995-06-28,27.0,27.0,27.0,27.0,28.968999999999998,25.487134681170804,31.362865318829197
1995-06-29,26.9,27.0,26.9,26.95,28.868,25.398974940856775,31.10602505914322
1995-06-30,26.6,26.6,26.6,26.6,28.769000000000002,25.33424301203289,30.770756987967108
1995-07-03,26.4,27.0,26.4,26.7,28.706999999999997,25.34041335346463,30.38458664653537
1995-07-10,27.3,27.3,27.2,27.2,28.621,25.43033228624961,29.99466771375039
1995-07-11,27.3,27.3,27.3,27.3,28.551,25.561126235566633,29.593873764433376
1995-07-13,27.4,27.5,27.4,27.5,28.488999999999997,25.863995725359647,29.016004274640363
1995-07-17,27.0,27.3,27.0,27.3,28.435,26.087591473238817,28.572408526761187
1995-07-18,28.5,29.0,28.5,29.0,28.435,25.956734666154347,28.80326533384566
1995-07-19,29.0,29.4,29.0,29.35,28.438000000000002,25.912591172997214,28.86740882700278
1995-07-20,29.5,29.5,29.0,29.0,28.467,25.815321894229843,29.064678105770152
1995-07-21,29.0,29.5,29.0,29.5,28.506999999999998,25.693506541849445,29.416493458150555
1995-07-24,29.6,29.7,29.55,29.6,28.558999999999997,25.59785090693579,29.73714909306421
1995-07-25,29.5,29.9,29.5,29.9,28.601,25.543051887166715,30.081948112833285
1995-07-26,30.0,30.0,29.9,29.9,28.649,25.516023299028163,30.378976700971833
1995-07-27,29.9,29.9,29.5,29.5,28.682000000000002,25.493619448826077,30.551380551173917
1995-07-28,28.2,28.2,28.2,28.2,28.683999999999997,25.539715886517328,30.575284113482667
1995-07-31,28.0,28.0,28.0,28.0,28.678999999999995,25.57329320674139,30.586706793258614
1995-08-01,28.5,28.5,28.0,28.1,28.671,25.766016312767093,30.553983687232915
1995-08-03,28.2,28.2,28.2,28.2,28.666000000000004,25.961357744990178,30.51864225500982
1995-08-11,27.5,27.8,27.5,27.8,28.657000000000004,26.065835074844262,30.49416492515574
1995-08-14,28.0,28.0,27.0,27.0,28.627000000000002,26.074553824073174,30.490446175926838
1995-08-21,27.5,27.5,27.1,27.1,28.559,26.16955337076106,30.445446629238933
1995-08-22,26.8,27.0,26.8,26.8,28.495,26.189970476307145,30.435029523692855
1995-08-24,26.0,26.0,26.0,26.0,28.416999999999998,25.938361533506328,30.566638466493682
1995-08-25,25.9,25.9,25.5,25.7,28.329,25.621241280733752,30.72375871926624
1995-08-30,25.9,25.9,25.9,25.9,28.250999999999998,25.35864307539495,30.82635692460505
1995-08-31,25.8,26.0,25.8,26.0,28.173000000000002,25.155956310989648,30.89904368901036
1995-09-01,25.75,25.75,25.75,25.75,28.092000000000002,24.86042454176784,30.869575458232163
1995-09-05,26.0,26.0,26.0,26.0,28.012000000000004,24.668087168234806,30.726912831765198
1995-09-11,26.3,26.3,26.0,26.0,27.927000000000003,24.492654840688505,30.6023451593115
1995-09-12,26.2,26.3,25.25,26.05,27.84,24.395685349031734,30.354314650968266
1995-09-13,26.0,26.0,25.4,25.55,27.739,24.28068305158186,30.06431694841813
1995-09-14,26.2,26.4,26.0,26.2,27.653000000000002,24.369973043420273,29.605026956579728
1995-09-15,26.4,26.8,26.2,26.6,27.581,24.59032499271263,29.054675007287372
1995-09-18,26.0,26.8,26.0,26.5,27.511,24.828455531989405,28.5165444680106
1995-09-19,26.5,27.0,26.1,26.95,27.445,24.904405490282215,28.315594509717776
1995-09-20,27.5,27.7,27.5,27.7,27.409000000000002,24.93624333182621,28.25375666817379
1995-09-22,29.2,29.2,28.8,29.15,27.432000000000002,24.740318282055,28.554681717945
1995-09-25,29.9,30.0,29.5,29.9,27.447,24.42455605285605,29.040443947143945
1995-09-26,29.5,30.0,29.5,30.0,27.487,24.143713723093004,29.541286276906998
1995-09-27,29.6,30.0,29.6,29.6,27.535,24.004694679387967,29.94030532061204
1995-09-28,29.0,29.0,28.5,28.7,27.561999999999998,23.98561833324218,30.119381666757818
1995-09-29,28.75,28.75,28.4,28.4,27.59,24.010376060317704,30.254623939682304
1995-10-10,29.5,29.5,28.5,28.55,27.616999999999997,24.12436441429871,30.395635585701292
1995-10-11,28.55,29.0,28.4,28.8,27.632999999999996,24.297629313026682,30.532370686973316
1995-10-12,28.8,28.8,28.5,28.5,27.653,24.47718747570667,30.612812524293325
1995-10-13,28.1,28.3,28.0,28.0,27.662,24.659967160543783,30.630032839456216
1995-10-16,28.0,28.5,28.4,28.4,27.7,24.91384848488849,30.641151515111517
1995-10-17,28.8,28.8,28.6,28.65,27.741000000000003,25.149260205936322,30.670739794063685
1995-10-18,28.6,28.6,28.6,28.6,27.773000000000003,25.41650293651666,30.663497063483344
1995-10-19,28.4,28.4,28.1,28.2,27.798000000000002,25.69683413989275,30.598165860107244
1995-10-20,28.4,28.5,28.3,28.5,27.836,26.16899559340942,30.421004406590576
1995-10-23,28.0,29.0,28.0,28.7,27.876000000000005,26.531976806565176,30.30802319343482
1995-10-24,28.6,28.6,28.55,28.55,27.903000000000002,26.8349971650918,30.200002834908204
1995-10-25,29.9,30.0,29.9,29.95,27.956000000000003,27.179823990738893,30.200176009261117
1995-10-26,29.95,28.8,28.0,28.8,27.982000000000003,27.51373557825135,30.051264421748648
1995-10-27,28.35,28.4,28.35,28.4,28.003999999999998,27.63906437328285,29.99593562671714
1995-10-30,28.3,28.3,28.0,28.15,27.987,27.56387608601513,29.971123913984858
1995-10-31,28.0,28.15,28.0,28.15,27.963,27.57241847157615,29.78758152842385
1995-11-01,28.2,28.2,28.0,28.0,27.943,27.62336114717345,29.536638852826552
1995-11-10,27.2,27.2,27.2,27.2,27.897,27.441952332829132,29.478047667170863
1995-11-13,26.0,27.7,26.0,27.7,27.859,27.34446331782848,29.475536682171526
1995-11-14,27.0,27.5,27.0,27.2,27.805,27.154834299089845,29.545165700910143
1995-11-15,27.2,27.5,27.2,27.5,27.756999999999998,27.04830025616378,29.54669974383621
1995-11-16,27.2,27.4,27.2,27.4,27.715,26.940530896375257,29.514469103624748
1995-11-17,27.3,27.3,27.2,27.2,27.695,26.804143795262878,29.520856204737125
1995-11-20,27.35,27.35,27.35,27.35,27.682000000000002,26.724971436888787,29.53502856311122
1995-11-21,27.0,27.5,27.0,27.4,27.667999999999996,26.64458331741892,29.51541668258107
1995-11-22,27.2,27.3,27.2,27.3,27.65,26.563044566869316,29.461955433130683
1995-11-23,27.2,27.2,27.0,27.0,27.634,26.443496447637596,29.4215035523624
1995-11-24,27.0,27.3,27.0,27.3,27.64,26.378273987139362,29.396726012860636
1995-11-27,27.55,27.6,27.5,27.5,27.648000000000003,26.347577713082618,29.32742228691738
1995-11-28,27.5,27.5,27.2,27.45,27.661000000000005,26.333326995247514,29.216673004752483
1995-11-29,27.2,27.2,26.5,26.6,27.673000000000002,26.193382328398997,29.161617671601
1995-11-30,27.0,27.5,27.0,27.5,27.709,26.525999462942977,28.584000537057015
1995-12-01,27.2,27.5,27.0,27.0,27.730999999999998,26.591350666517037,28.338649333482955
1995-12-08,28.5,28.5,28.5,28.5,27.781,26.57298741427567,28.36701258572433
1995-12-11,28.6,28.9,28.5,28.9,27.844,26.44360695036902,28.571393049630988
1995-12-12,28.6,28.8,28.5,28.8,27.9,26.360080288190645,28.719919711809354
1995-12-13,28.8,29.0,28.75,28.9,27.958,26.27026568623544,28.899734313764554
1995-12-14,29.0,29.5,29.0,29.5,28.026999999999997,26.146396379211605,29.253603620788393
1995-12-15,29.55,29.55,29.55,29.55,28.107000000000003,26.032334038925075,29.552665961074926
1995-12-19,29.55,29.3,28.8,28.8,28.159000000000002,26.080566319366152,29.664433680633852
1995-12-20,28.8,29.4,29.1,29.4,28.215,26.06092550216626,29.874074497833742
1995-12-21,29.7,29.75,29.05,29.75,28.28,26.04098434448253,30.129015655517463
1995-12-22,30.0,30.0,30.0,30.0,28.340999999999998,26.056444817638283,30.39355518236172
1995-12-26,30.0,30.2,30.0,30.2,28.391,26.07029918619467,30.66470081380533
1995-12-27,30.5,30.5,30.25,30.25,28.412999999999997,26.114038485503606,30.905961514496397
1995-12-28,30.5,30.5,30.3,30.5,28.425,26.188404587876143,31.151595412123854
1995-12-29,30.3,30.5,30.3,30.5,28.435,26.365632508502376,31.324367491497622
1996-01-01,30.0,30.0,30.0,30.0,28.442999999999998,26.561562052633224,31.398437947366777
1996-01-02,30.1,30.7,30.1,30.65,28.482000000000003,26.714610250786766,31.560389749213233
1996-01-09,29.5,29.7,29.5,29.5,28.504,26.947770563518095,31.532229436481902
1996-01-10,28.5,29.8,28.5,29.8,28.529,27.46473176073827,31.335268239261726
1996-01-11,29.6,30.4,29.6,30.4,28.561000000000003,27.782256922323857,31.307743077676154
1996-01-12,30.2,30.6,30.2,30.6,28.603,28.367952120458217,31.082047879541786
1996-01-15,30.2,30.6,30.2,30.4,28.651000000000003,28.56159666745163,31.078403332548376
1996-01-16,30.5,31.0,30.5,31.0,28.703000000000003,28.639657530788657,31.210342469211344
1996-01-17,30.65,30.65,30.65,30.65,28.743,28.809075623514396,31.225924376485608
1996-01-18,30.0,30.3,30.0,30.1,28.773000000000003,28.989539571152864,31.165460428847144
1996-01-19,30.15,30.3,30.0,30.0,28.809,29.047948461492364,31.15705153850764
1996-01-22,30.0,30.4,30.0,30.4,28.846999999999998,29.115999462943016,31.174000537056983
1996-01-23,30.1,30.65,30.1,30.55,28.883999999999997,29.407703374349403,31.057296625650594
1996-01-24,30.55,30.5,30.1,30.5,28.923,29.55489469950308,31.020105300496922
1996-01-25,30.0,30.3,30.0,30.2,28.927999999999997,29.62053033347868,30.999469666521325
1996-01-29,30.2,30.5,30.0,30.5,28.962,29.65668940509654,31.013310594903462
1996-01-30,30.5,30.75,30.5,30.5,29.004,29.670991434826234,31.02900856517377
1996-01-31,30.5,31.0,30.5,31.0,29.061,29.651311380004476,31.123688619995523
1996-02-02,32.0,33.6,32.0,33.05,29.158999999999995,29.113835071130055,31.91616492886994
1996-02-12,34.5,36.5,35.5,36.2,29.322999999999997,27.89736961397165,33.70263038602835
1996-02-13,35.4,35.5,35.0,35.0,29.479,27.623478056165514,34.476521943834484
1996-02-14,37.0,37.0,35.3,37.0,29.665,27.038980744253443,35.696019255746556
1996-02-15,36.8,37.0,36.5,36.95,29.86,26.843212653607495,36.6367873463925
1996-02-16,37.5,37.5,36.3,37.0,30.05,26.76471526927616,37.43528473072384
1996-02-19,36.2,37.2,36.2,37.2,30.246,26.708866190984338,38.17113380901566
1996-02-20,36.8,37.0,35.5,37.0,30.442000000000004,26.75337208182756,38.76662791817245
1996-02-22,36.5,37.25,36.5,36.7,30.629,26.930297531934293,39.21970246806571
1996-02-23,36.7,38.0,36.6,37.6,30.833000000000002,27.025105594010256,39.78489440598973
1996-02-26,38.5,39.0,37.5,37.5,31.037,27.25584746527673,40.239152534723274
1996-02-27,37.5,37.5,36.5,36.5,31.226999999999997,27.70318542575085,40.431814574249145
1996-02-28,36.3,36.3,34.0,35.0,31.381,28.23956103146278,40.39543896853721
1996-02-29,35.0,34.7,34.0,34.4,31.519000000000002,28.725829483782668,40.30917051621733
1996-03-01,34.4,34.5,34.0,34.5,31.66,29.231810378889616,40.19818962111039
1996-03-11,34.9,35.1,34.0,35.0,31.828000000000003,29.828341498928268,40.05165850107174
1996-03-12,35.0,36.5,35.0,36.5,32.008,30.618883203868954,39.89111679613105
1996-03-13,36.5,37.0,36.3,37.0,32.208,31.465404669126976,39.69459533087302
1996-03-14,37.0,37.0,36.75,37.0,32.378,32.51726671030537,39.29273328969463
1996-03-15,37.0,36.8,36.2,36.55,32.531,33.69753997702389,38.66746002297611
1996-03-18,36.5,36.5,35.0,35.0,32.655,34.191081871549684,38.36891812845032
1996-03-19,35.0,34.5,33.05,33.2,32.74100000000001,33.62707539487357,38.63292460512643
1996-03-21,32.4,33.3,32.35,33.1,32.813,33.22597319718247,38.84402680281754
1996-03-22,33.1,32.75,32.75,32.75,32.876999999999995,32.69579414979853,38.94920585020148
1996-03-25,32.5,32.5,32.5,32.5,32.951,32.190570351757394,39.00942964824261
1996-03-26,32.0,32.0,32.0,32.0,33.003,31.651778521334467,39.04822147866553
1996-03-27,32.0,33.0,32.0,32.0,33.048,31.21258903526159,38.9674109647384
1996-03-28,33.5,33.5,33.5,33.5,33.118,31.084911365598916,38.745088634401085
1996-03-29,33.5,35.0,34.2,35.0,33.214,31.09236776329692,38.567632236703076
1996-04-01,33.1,33.8,33.1,33.8,33.285,31.114961739662668,38.16503826033733
1996-04-02,33.8,35.4,34.5,34.8,33.371,31.244244517632538,37.76575548236745
1996-04-03,34.8,34.5,34.5,34.5,33.451,31.28209649271876,37.52790350728123
1996-04-04,34.0,34.0,34.0,34.0,33.531,31.240196635419824,37.46980336458017
1996-04-08,33.5,34.5,33.5,34.5,33.608,31.2445715002841,37.4754284997159
1996-04-09,34.5,34.3,34.05,34.3,33.704,31.235179738225998,37.464820261774
1996-04-10,34.3,34.1,34.0,34.1,33.79,31.2037438877635,37.406256112236484
1996-04-11,34.1,33.8,33.5,33.7,33.856,31.232765357274424,37.097234642725574
1996-04-12,34.4,34.4,32.8,32.8,33.9,31.288067995656903,36.621932004343094
1996-04-15,32.8,32.8,32.65,32.7,33.946,31.438375859483006,36.04162414051698
1996-04-16,32.7,32.5,31.2,31.35,33.952999999999996,31.3462116713275,35.61378832867251
1996-04-17,31.35,31.5,31.0,31.0,33.96,31.001172970236876,35.55882702976312
1996-04-18,33.05,33.05,32.9,33.0,34.018,30.987941833851664,35.55205816614833
1996-04-19,33.0,33.5,33.0,33.5,34.087999999999994,31.007203930541117,35.57279606945888
1996-04-22,31.7,32.5,31.7,32.5,34.13,30.979566145425398,35.5754338545746
1996-04-23,31.6,32.0,31.6,31.75,34.154,30.865441869359778,35.61455813064021
