Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2015-08-11,147.5,159.25,147.5,155.3,,,
2015-08-12,153.7,157.0,152.5,154.75,,,
2015-08-13,155.7,163.5,154.1,158.15,,,
2015-08-14,159.75,160.7,156.55,160.0,,,
2015-08-17,159.7,175.0,156.15,173.55,,,
2015-08-18,174.0,186.45,170.6,183.55,,,
2015-08-19,181.8,183.1,175.8,177.15,,,
2015-08-20,175.95,177.45,168.1,169.4,,,
2015-08-21,165.0,174.4,162.5,172.1,,,
2015-08-24,165.45,167.9,153.0,155.95,,,
2015-08-25,162.5,162.5,147.8,155.1,,,
2015-08-26,156.5,163.5,153.75,159.3,,,
2015-08-27,162.0,163.7,159.2,161.2,,,
2015-08-28,163.5,168.5,161.3,163.55,,,
2015-08-31,163.5,166.5,159.85,163.95,,,
2015-09-01,163.0,166.0,157.8,160.2,,,
2015-09-02,162.0,164.0,159.0,160.4,,,
2015-09-03,162.5,170.8,161.65,167.85,,,
2015-09-04,167.45,168.2,160.0,162.9,,,
2015-09-07,164.0,165.0,159.5,160.45,,147.9692542645368,179.51074573546322
2015-09-08,162.45,169.0,158.8,167.1,,149.0123321824626,179.64766781753738
2015-09-09,169.0,173.3,167.5,170.0,,150.27258896255128,179.91241103744872
2015-09-10,167.45,167.45,164.05,164.9,,150.97278908750306,179.88721091249695
2015-09-11,165.6,168.3,163.8,164.75,,151.43150873249706,179.90349126750297
2015-09-14,164.05,167.95,163.9,164.6,,151.47302329888305,178.96697670111695
2015-09-15,165.05,167.7,160.5,162.0,,153.39358206180242,174.89141793819755
2015-09-16,163.95,164.95,160.8,161.3,,154.46316763555848,172.23683236444145
2015-09-18,162.95,165.1,161.3,162.3,,154.57054312230093,171.41945687769908
2015-09-21,161.45,163.8,160.5,161.0,,155.15579936112618,169.7242006388738
2015-09-22,162.65,162.95,158.9,160.0,,155.91398448373397,169.371015516266
2015-09-23,159.0,163.1,157.55,161.4,,157.1952567416481,168.7197432583519
2015-09-24,162.35,162.5,160.0,160.75,,157.4272375234692,168.63276247653081
2015-09-28,161.5,162.45,160.1,160.55,,157.342741873105,168.652258126895
2015-09-29,159.0,161.1,158.7,160.05,,157.02490748695035,168.62009251304963
2015-09-30,160.3,162.2,160.0,160.95,,156.84258847227903,168.50241152772094
2015-10-01,161.5,166.9,160.8,164.6,,157.12368410398582,168.6613158960142
2015-10-05,165.3,167.05,162.5,163.5,,157.39525545282646,168.69974454717357
2015-10-06,164.4,165.05,162.5,162.8,,157.6145814028106,167.97541859718945
2015-10-07,162.8,163.25,161.4,162.45,,157.59009302010506,167.95490697989496
2015-10-08,162.5,165.5,161.1,164.05,,157.86045512071698,168.044544879283
2015-10-09,164.5,174.6,163.95,172.2,,156.88000985153295,169.53499014846707
2015-10-12,174.9,178.0,168.75,169.7,,156.93173873806484,169.45326126193515
2015-10-13,170.5,177.4,169.05,173.75,,155.81040315482812,171.45959684517186
2015-10-14,174.7,179.65,171.8,178.45,,154.0635822402187,174.5764177597813
2015-10-15,179.0,183.95,178.95,180.0,,152.66254313181796,177.517456868182
2015-10-16,180.25,183.15,169.2,182.05,,151.6441063540833,180.5408936459167
2015-10-19,182.95,189.5,181.4,187.0,,150.37767105349226,184.37732894650773
2015-10-20,189.0,191.55,175.7,179.3,,150.60790937807562,185.84709062192442
2015-10-21,187.75,192.5,182.55,187.65,,150.28840650622092,188.83159349377908
2015-10-23,188.5,190.15,185.25,187.8,166.635,150.60153568447993,191.29846431552005
2015-10-26,187.5,190.0,185.6,186.5,167.25900000000001,151.2494857150353,193.16051428496468
2015-10-27,185.0,186.75,181.05,182.9,167.822,152.56581034649292,194.05918965350708
2015-10-28,181.75,184.95,180.1,183.8,168.335,154.13785482954404,194.81214517045595
2015-10-29,184.45,193.0,182.3,186.05,168.85600000000002,156.0042214566418,195.5457785433582
2015-10-30,187.35,187.75,180.5,182.0,169.025,158.16985094067212,195.4851490593279
2015-11-02,182.5,183.9,177.0,179.95,168.953,159.81287118303484,195.37712881696515
2015-11-03,180.25,182.5,178.5,179.2,168.99400000000003,161.87767480498312,194.88232519501688
2015-11-04,180.25,182.5,175.8,177.3,169.15200000000002,164.2976796197932,193.91232038020684
2015-11-05,176.75,180.0,175.0,175.7,169.22400000000002,167.06112882562314,192.47387117437682
2015-11-06,177.35,178.2,173.0,177.0,169.645,169.96078402849224,190.8692159715078
2015-11-09,175.0,182.9,169.0,181.1,170.165,171.14671013507882,190.57328986492115
2015-11-10,180.95,183.95,179.0,179.45,170.56799999999998,173.12887705221405,189.56612294778594
2015-11-11,182.0,184.45,180.55,182.4,170.99199999999996,174.37463921061027,189.18536078938973
2015-11-13,181.5,184.9,179.1,182.0,171.361,174.71993171107727,189.19506828892276
2015-11-16,182.4,182.5,180.3,181.9,171.72,174.87347536312768,189.23152463687234
2015-11-17,183.0,183.5,181.0,182.05,172.157,174.87347536312768,189.23152463687234
2015-11-18,181.3,184.8,180.0,180.7,172.56300000000002,174.9292329664607,188.54576703353933
2015-11-19,182.5,184.9,182.0,183.55,172.877,175.19698897567054,188.70301102432944
2015-11-20,184.9,188.95,183.1,186.75,173.354,175.30157983354727,188.5084201664528
2015-11-23,185.0,188.0,181.5,182.85,173.80200000000002,175.63925799405808,187.6757420059419
2015-11-24,183.0,184.5,180.55,182.4,174.108,175.8648750455531,187.04012495444692
2015-11-26,184.3,184.3,180.1,181.05,174.32899999999998,175.81216021177892,186.90783978822105
2015-11-27,181.5,182.5,180.0,180.25,174.636,175.73714708021305,186.6278529197869
2015-11-30,182.0,182.0,176.9,178.0,174.90099999999998,175.6698037940664,185.8901962059336
2015-12-01,179.4,181.8,178.0,178.7,175.183,175.45777716514,185.77222283486003
2015-12-02,179.0,181.5,179.0,180.55,175.55399999999997,175.49709291377536,185.7929070862246
2015-12-03,180.55,199.0,180.55,182.4,175.97600000000003,175.64728732867172,185.9627126713283
2015-12-04,182.35,186.95,181.3,182.75,176.385,176.12780835623056,186.0271916437694
2015-12-07,181.8,186.0,181.8,185.1,176.86699999999996,176.9771752389976,186.11782476100237
2015-12-08,182.5,188.0,177.5,182.15,177.31,177.76377819413625,185.84622180586376
2015-12-09,179.5,181.25,176.0,177.55,177.63299999999998,177.16591248456635,186.08908751543365
2015-12-10,180.0,182.7,176.5,181.9,178.05599999999998,177.40718984988084,186.09281015011922
2015-12-11,181.9,183.25,178.5,179.1,178.42700000000002,177.0978135646887,186.07218643531132
2015-12-14,179.95,182.0,177.4,179.3,178.81199999999998,176.85423535942516,186.04576464057482
2015-12-15,180.9,181.5,179.5,180.1,179.195,176.73096122289098,185.98903877710904
2015-12-16,180.05,189.7,180.0,188.1,179.665,176.13925962767283,187.18574037232716
2015-12-17,189.95,191.0,185.55,190.05,180.196,175.4815811139649,188.7784188860351
2015-12-18,189.5,194.0,187.8,192.95,180.799,174.38454601312242,190.81545398687757
2015-12-21,192.5,196.0,191.55,194.4,181.438,173.36140065369065,192.60359934630938
2015-12-22,195.25,195.5,193.5,194.85,182.054,172.5963232788953,194.5686767211047
2015-12-23,193.5,201.0,193.5,195.05,182.511,172.1153218833603,196.31467811663964
2015-12-24,195.95,200.1,195.7,197.45,183.06599999999997,171.68063544635876,198.3893645536413
2015-12-28,197.5,200.0,196.25,198.2,183.555,171.5583904165942,200.30660958340582
2015-12-29,198.5,206.4,198.2,202.7,184.04,171.47880896742,202.85619103258003
2015-12-30,203.45,206.0,202.95,204.6,184.532,171.493212727805,205.431787272195
2015-12-31,206.0,209.85,204.0,208.3,185.05699999999996,171.15460231134938,208.5453976886506
2016-01-01,208.95,213.7,207.55,208.85,185.49399999999997,171.01142559776167,211.33357440223836
2016-01-04,213.0,213.0,202.5,207.3,186.054,171.42507763015539,213.37492236984463
2016-01-05,209.0,218.0,207.5,211.0,186.52100000000002,171.45762274079124,215.93237725920875
2016-01-06,212.5,215.0,207.6,209.6,186.95699999999997,172.44526419909982,217.68973580090017
2016-01-07,207.5,208.0,202.5,204.7,187.321,175.00217646011617,217.84782353988385
2016-01-08,205.9,212.1,202.5,203.0,187.72299999999998,177.01206872870972,217.94793127129026
2016-01-11,202.45,206.5,199.0,203.9,188.125,180.0112235624716,217.4287764375284
2016-01-12,203.8,206.0,200.0,201.9,188.44199999999998,183.498434808543,216.20156519145698
2016-01-13,204.95,204.95,192.5,202.5,188.85199999999998,187.49958797957763,214.44041202042231
2016-01-14,198.0,204.5,192.0,197.05,189.19400000000002,189.2120536315721,213.62294636842788
2016-01-15,199.85,200.95,189.5,191.65,189.44299999999998,189.58839357720692,213.4066064227931
2016-01-18,191.75,195.7,180.4,184.8,189.593,187.50903034234872,214.67096965765123
2016-01-19,182.8,191.45,182.8,187.4,189.827,186.11260680849497,215.367393191505
2016-01-20,185.5,186.05,177.9,179.9,189.885,182.79549062107344,217.18950937892657
2016-01-21,182.85,193.5,180.05,184.4,189.951,181.00505914110792,217.9149408588921
2016-01-22,192.5,206.0,186.0,197.45,190.31100000000004,181.0050591411079,217.91494085889207
2016-01-25,201.8,202.0,196.0,198.45,190.632,181.0208141549002,217.92418584509986
2016-01-27,198.5,199.5,191.05,193.25,190.857,180.41282275613966,217.58717724386034
2016-01-28,192.4,202.15,191.9,201.5,191.24899999999997,180.4033166654866,217.28668333451338
2016-01-29,203.5,204.9,199.5,201.1,191.63,180.54621226885436,216.42378773114567
2016-02-01,201.05,203.0,197.4,199.8,192.01199999999997,180.75000886012245,215.3149911398775
2016-02-02,198.7,205.75,198.45,201.0,192.361,180.9234761569167,214.5115238430833
2016-02-03,198.9,199.75,192.4,193.5,192.49599999999998,181.17667144832507,212.50832855167494
2016-02-04,196.5,198.8,186.95,189.7,192.63299999999998,181.09196669354702,210.60303330645303
2016-02-05,190.45,202.0,187.0,200.0,192.985,181.30777589993792,209.9172241000621
2016-02-08,200.0,201.25,195.85,196.5,193.294,181.40021406911103,209.17478593088896
2016-02-09,192.05,194.5,189.5,192.1,193.53100000000003,181.3590524062776,208.03594759372237
2016-02-10,189.25,193.0,185.1,187.3,193.717,180.69083764992695,207.2441623500731
2016-02-11,187.5,190.45,182.75,187.9,193.90099999999998,180.33597520231746,206.13902479768257
2016-02-12,187.5,189.0,183.7,187.9,194.04800000000003,179.7990260684923,205.7609739315077
2016-02-15,189.45,193.5,189.45,191.0,194.22,179.7513679843433,205.74363201565671
2016-02-16,191.7,192.5,186.9,187.8,194.321,180.2223076937683,205.57269230623172
2016-02-17,189.2,191.5,184.5,190.5,194.429,180.58627299302518,205.51872700697484
2016-02-18,189.5,192.5,189.5,190.75,194.601,182.69247011493704,204.49752988506296
2016-02-19,189.95,192.3,189.95,191.4,194.878,183.8670981715879,204.02290182841207
2016-02-22,191.5,199.95,191.0,198.35,195.207,183.8384328407173,204.14156715928272
2016-02-23,198.3,198.3,189.5,190.8,195.44099999999997,183.58787320791907,203.6271267920809
2016-02-24,189.5,191.0,184.8,185.1,195.55700000000002,182.48066184289948,203.9193381571005
2016-02-25,186.9,192.75,185.9,191.2,195.77900000000002,182.6786809438941,202.6913190561059
2016-02-26,194.5,202.5,193.1,201.55,196.048,182.6198173074675,202.7951826925325
2016-02-29,202.0,204.0,190.55,197.75,196.202,182.7825820320657,202.42741796793433
2016-03-01,198.0,202.5,195.5,201.0,196.363,182.7825820320657,202.42741796793433
2016-03-02,205.0,207.0,195.75,196.3,196.401,182.78994838629478,202.70005161370523
2016-03-03,199.45,203.0,191.45,196.05,196.425,183.11130990984086,203.01369009015914
2016-03-04,197.4,197.4,191.65,193.2,196.38800000000003,183.31978622600124,202.12521377399875
2016-03-08,193.95,198.9,193.9,196.4,196.36700000000002,183.3231413904851,202.1118586095149
2016-03-09,196.5,199.4,195.0,197.45,196.35199999999998,183.36276150346674,202.60723849653323
2016-03-10,199.4,201.2,197.05,198.4,196.26600000000002,184.0184676155924,203.06153238440757
2016-03-11,201.45,202.5,199.15,199.95,196.173,184.59868001008232,203.6863199899177
2016-03-14,200.95,202.0,198.25,200.9,196.025,185.26805637762817,204.31694362237187
2016-03-15,198.5,200.2,197.0,198.5,195.81799999999998,185.68126204566505,204.65373795433499
2016-03-16,199.0,199.35,195.6,196.95,195.611,186.7735059245137,204.4764940754863
2016-03-17,198.95,199.0,194.4,195.7,195.305,187.3681992663448,204.4018007336552
2016-03-18,194.6,206.0,191.2,202.4,195.16100000000003,187.83663281176229,205.09836718823772
2016-03-21,201.85,204.3,197.15,199.1,195.049,188.49065211810543,205.21434788189455
2016-03-22,199.1,201.85,193.5,194.4,194.877,188.25557019479436,205.05442980520564
2016-03-23,195.0,196.95,189.2,191.15,194.622,188.32312403844975,205.02187596155028
2016-03-28,192.5,193.95,188.0,189.4,194.372,189.64472683236323,204.13027316763674
2016-03-29,192.0,192.0,185.5,188.4,194.09,188.95448862340533,204.54051137659468
2016-03-30,190.0,193.5,188.5,192.7,194.003,188.65647761088533,203.95352238911468
2016-03-31,193.9,195.0,189.75,192.6,194.02200000000002,188.25833917769464,203.83666082230533
2016-04-01,192.35,195.25,189.0,189.7,194.12,187.5676056462181,203.39739435378186
2016-04-04,191.5,192.4,183.25,184.45,194.06099999999998,185.5813396294264,204.19866037057363
2016-04-05,185.0,187.4,174.5,175.2,193.967,181.06422659498656,206.63077340501343
2016-04-06,176.45,181.3,176.45,180.8,193.895,179.17244003832525,207.2825599616748
2016-04-07,181.7,184.95,181.25,183.6,193.618,177.98563007648963,207.18936992351038
2016-04-08,183.3,187.5,182.2,183.75,193.324,176.97924104309993,206.82575895690007
2016-04-11,183.8,185.55,179.0,179.9,193.05700000000002,175.46809792798112,206.48690207201892
2016-04-12,181.7,182.6,179.1,179.5,192.61700000000002,174.241181073236,205.66881892676398
2016-04-13,181.0,183.45,177.45,178.35,192.162,173.18445967766212,204.47054032233785
2016-04-18,179.5,193.9,179.05,190.3,191.972,173.42559779984805,203.409402200152
2016-04-20,191.3,193.55,184.35,187.95,191.711,173.52369692157234,202.41130307842766
2016-04-21,190.0,190.3,183.65,184.2,191.525,173.334339792454,201.45066020754598
2016-04-22,184.45,189.25,184.1,186.4,191.459,174.43812998233574,198.74687001766426
2016-04-25,188.0,189.75,184.55,185.1,191.16099999999997,175.25293753372972,196.53206246627025
2016-04-26,187.7,190.0,186.0,189.2,191.015,175.63343293825636,195.63156706174362
2016-04-27,193.5,196.3,190.25,194.3,191.05899999999997,175.33611127504855,196.24388872495143
2016-04-28,194.95,199.0,193.55,195.5,191.22299999999998,174.8701263047789,197.31987369522105
2016-04-29,196.7,197.25,191.6,194.4,191.35300000000004,174.60428554461598,198.18571445538404
2016-05-02,195.0,197.0,192.15,193.9,191.47299999999998,174.5178884742192,198.39211152578076
2016-05-03,194.95,196.35,190.5,191.85,191.49,174.55720467217873,198.27779532782125
2016-05-04,191.85,192.25,186.5,187.25,191.479,174.52720720065136,198.06279279934867
2016-05-05,187.7,190.0,183.75,184.4,191.357,174.52303571849313,198.06196428150685
2016-05-06,185.0,189.4,184.25,185.95,191.261,176.27421336048673,197.38578663951324
2016-05-09,187.95,188.5,184.25,185.8,191.149,176.8952125826397,197.26478741736028
2016-05-10,187.0,187.0,180.8,181.85,190.81900000000002,176.65293495773943,197.33206504226058
2016-05-11,180.3,187.4,180.0,183.8,190.679,176.6587123634623,197.3312876365377
2016-05-12,184.4,191.2,183.5,190.1,190.77900000000002,177.64722721855978,197.3627727814402
2016-05-13,188.1,196.65,188.1,192.45,190.80399999999997,178.8214835269126,197.48351647308735
2016-05-16,193.95,196.2,191.8,195.5,190.683,180.34351282237301,197.67648717762697
2016-05-17,196.0,198.0,194.0,196.45,190.657,180.04318487420213,198.59181512579786
2016-05-18,196.0,199.0,194.3,198.5,190.607,179.73565570349723,199.95434429650277
2016-05-19,198.8,198.8,190.75,193.05,190.54199999999997,180.44736334070237,200.12763665929762
2016-05-20,194.4,194.75,190.5,191.4,190.449,180.8605129199561,200.21448708004388
2016-05-23,193.1,194.25,188.3,188.85,190.36199999999997,181.35104391777162,200.09895608222837
2016-05-24,191.4,191.4,184.0,185.55,190.145,180.9051125510036,200.17988744899637
2016-05-25,188.0,189.0,183.55,185.6,189.90800000000002,180.39910563982897,199.81589436017106
2016-05-26,186.25,188.7,184.55,185.8,189.65599999999998,180.08065448723653,199.16434551276348
2016-05-27,187.2,198.5,185.6,192.8,189.513,180.14354849072754,198.94145150927244
2016-05-30,194.0,197.5,193.0,196.3,189.42100000000002,179.97252281247745,199.35247718752254
2016-05-31,196.5,197.5,194.35,194.9,189.34900000000002,179.88699071208015,199.74300928791985
2016-06-01,195.5,196.9,192.6,193.4,189.278,180.14813944801364,200.09686055198637
2016-06-02,192.5,194.95,191.8,193.35,189.231,180.87755041553808,200.2624495844619
2016-06-03,194.7,194.75,190.5,193.85,189.06,181.42256844405128,200.50743155594873
2016-06-06,193.5,197.5,192.0,192.5,188.928,182.05525753966833,200.5447424603317
2016-06-07,193.95,195.0,191.0,191.45,188.86899999999997,183.67448530807476,199.88551469192524
2016-06-08,192.0,193.45,189.9,191.6,188.878,184.98255480570361,199.35744519429642
2016-06-09,193.45,193.45,188.0,189.3,188.87600000000003,184.88537222633838,199.37462777366162
2016-06-10,188.1,192.6,188.1,191.55,188.93900000000002,184.83756125096497,199.33243874903505
2016-06-13,191.75,192.5,190.05,191.8,188.921,184.83295267493563,198.96704732506439
2016-06-14,192.95,202.35,191.5,198.0,189.02899999999997,184.67043960755012,199.28456039244992
2016-06-15,199.25,201.4,196.5,199.8,189.23100000000002,184.47273500330257,199.6122649966974
2016-06-16,199.2,199.2,192.2,195.95,189.46099999999998,184.42776078843235,199.94723921156765
