Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,410.0,420.0,410.0,415.2,,,
1995-01-03,405.0,415.0,405.0,414.0,,,
1995-01-04,405.0,410.0,405.0,410.0,,,
1995-01-05,408.0,408.0,395.0,395.0,,,
1995-01-06,410.0,410.0,406.5,406.75,,,
1995-01-09,402.0,404.5,390.0,390.0,,,
1995-01-10,405.0,405.0,385.0,385.5,,,
1995-01-11,390.0,390.0,382.5,382.5,,,
1995-01-12,385.0,390.0,383.5,388.0,,,
1995-01-13,380.0,385.0,370.0,385.0,,,
1995-01-16,400.0,400.0,388.75,399.5,,,
1995-01-17,395.0,410.0,385.0,403.15,,,
1995-01-18,400.0,406.0,400.0,400.0,,,
1995-01-19,400.0,404.75,390.0,402.0,,,
1995-01-20,392.5,396.25,382.0,382.0,,,
1995-01-23,386.0,390.0,382.0,385.0,,,
1995-01-24,380.0,388.0,370.0,388.0,,,
1995-01-25,383.0,393.5,383.0,389.25,,,
1995-01-27,389.0,397.0,389.0,396.7,,,
1995-01-30,390.0,395.0,386.0,395.0,,374.8056876768363,416.44931232316367
1995-01-31,395.0,399.0,393.5,396.5,,376.00083917998387,413.3841608200161
1995-02-01,400.0,402.0,397.5,397.7,,377.4456479084708,410.3093520915292
1995-02-02,405.0,405.0,395.0,401.0,,378.4238346583507,408.4311653416493
1995-02-03,400.0,415.0,400.0,415.0,,376.5850764273077,412.26992357269233
1995-02-06,410.0,410.0,400.0,403.0,,376.8702561907206,411.6097438092794
1995-02-07,400.0,414.0,400.0,403.0,,377.2180001429559,412.5619998570441
1995-02-08,405.0,408.0,403.0,408.0,,377.99857182428974,414.03142817571023
1995-02-09,407.0,410.0,407.0,408.35,,379.66845016880535,414.94654983119466
1995-02-10,408.0,415.0,405.0,412.4,,380.2358143707888,416.8191856292113
1995-02-13,402.5,407.0,400.0,405.8,,382.1709100437683,416.9640899562317
1995-02-14,402.5,406.0,400.0,403.0,,382.2784836114068,417.20651638859323
1995-02-15,397.0,400.0,396.0,396.0,,381.92195330132796,416.848046698672
1995-02-16,399.95,399.95,397.5,397.5,,381.7797073371483,416.7402926628517
1995-02-17,380.0,382.5,376.5,382.5,,379.334702127046,417.23529787295394
1995-02-20,375.0,380.0,375.0,375.75,,377.7294381606542,418.21556183934575
1995-02-21,370.0,371.0,360.0,360.0,,370.8123825897966,422.63261741020335
1995-02-22,360.0,365.0,360.0,365.0,,366.2193960665773,424.9256039334227
1995-02-23,375.0,380.0,373.0,376.0,,364.38148701192347,425.43851298807647
