Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-07-21,122.1,123.0,121.05,121.55,,,
2010-07-22,120.3,122.0,120.25,120.9,,,
2010-07-23,121.8,121.95,120.25,120.65,,,
2010-07-26,120.1,121.0,117.1,117.6,,,
2010-07-27,117.6,119.5,112.0,118.65,,,
2010-07-28,118.0,120.5,117.2,118.25,,,
2010-07-29,112.5,121.7,112.5,116.6,,,
2010-07-30,116.5,118.0,114.6,116.05,,,
2010-08-02,117.3,118.5,116.6,117.3,,,
2010-08-03,118.3,119.95,117.9,118.3,,,
2010-08-04,118.5,119.0,116.1,116.5,,,
2010-08-05,117.0,117.0,113.8,114.05,,,
2010-08-06,114.1,114.9,111.75,112.1,,,
2010-08-09,112.0,113.85,112.0,112.85,,,
2010-08-10,112.9,114.3,111.55,112.3,,,
2010-08-11,113.75,115.5,112.0,113.9,,,
2010-08-12,113.0,114.45,112.25,112.55,,,
2010-08-13,113.4,116.0,112.6,114.15,,,
2010-08-16,115.95,115.95,110.75,111.25,,,
2010-08-17,111.9,112.4,109.7,110.1,,109.01418811033622,122.54581188966378
2010-08-18,110.15,111.2,108.1,108.85,,108.27623775802057,122.01376224197939
2010-08-19,110.0,114.35,108.5,113.05,,108.38990577569513,121.1150942243049
2010-08-20,112.0,113.4,111.05,111.5,,108.42080128644632,120.16919871355368
2010-08-23,114.0,118.25,112.0,116.7,,108.46936080751583,120.03063919248417
2010-08-24,118.45,119.8,116.05,116.45,,108.6347297977302,119.64527020226983
2010-08-25,116.0,118.7,115.4,117.0,,108.74295764800176,119.41204235199827
2010-08-26,118.2,119.35,116.6,118.15,,108.624710200798,119.68528979920202
2010-08-27,119.0,119.85,117.1,117.75,,108.53749824061498,119.94250175938504
2010-08-30,118.8,119.7,116.7,117.6,,108.51713867093505,119.99286132906494
2010-08-31,117.0,121.0,116.1,120.5,,108.23001833743574,120.49998166256428
2010-09-01,121.65,123.65,120.2,123.0,,107.48367237112157,121.89632762887845
2010-09-02,124.2,124.55,122.0,122.4,,107.13093729219291,123.08406270780709
2010-09-03,122.5,124.0,121.85,122.15,,107.17794337380442,124.04205662619555
2010-09-06,123.25,124.65,122.8,123.15,,107.16130128033957,125.08869871966043
2010-09-07,124.0,128.5,122.1,127.7,,106.74720272799638,127.04279727200364
2010-09-08,128.0,129.8,125.1,127.25,,106.52677452126026,128.59822547873972
2010-09-09,127.7,129.5,126.7,127.8,,106.65820050200932,129.99179949799068
2010-09-13,128.5,128.8,125.3,125.95,,106.94758371111045,130.88241628888954
2010-09-14,126.15,128.2,123.5,123.9,,107.95451323621633,131.14048676378366
2010-09-15,124.85,126.5,123.0,123.25,,109.40349425701262,131.00650574298737
2010-09-16,124.0,125.0,121.5,122.15,,111.46454805361331,130.27545194638668
2010-09-17,122.8,125.35,121.6,122.65,,112.67329191698289,130.0267080830171
2010-09-20,122.5,124.95,122.0,124.55,,114.57130862424084,129.43369137575917
2010-09-21,124.55,125.65,121.05,122.5,,115.29240413599483,129.29259586400522
2010-09-22,123.0,123.5,119.8,120.8,,116.02271689339345,128.99728310660655
2010-09-23,121.6,124.25,119.9,123.55,,116.88188566516749,128.79311433483252
2010-09-24,123.45,127.5,122.85,125.1,,117.58029333130584,128.78970666869412
2010-09-27,126.35,126.9,123.15,123.6,,118.49051958253195,128.46448041746805
2010-09-28,124.6,125.75,122.05,122.85,,119.569855486538,127.91014451346196
2010-09-29,123.3,124.75,121.2,121.5,118.979,119.76186212539326,127.81813787460672
2010-09-30,122.3,122.7,119.15,120.2,118.95199999999998,119.32273028828871,127.9772697117113
2010-10-01,121.3,124.0,121.3,123.5,119.00399999999999,119.41684004618847,127.99315995381153
2010-10-04,124.4,125.45,123.2,124.65,119.084,119.58718564108568,128.07281435891434
2010-10-05,125.0,127.9,123.2,127.0,119.272,119.56563362386353,128.47936637613648
2010-10-06,128.0,129.9,127.1,129.3,119.485,119.32200509058461,128.88299490941537
2010-10-07,130.1,138.75,129.65,133.4,119.788,118.19968599827682,130.6203140017232
2010-10-08,134.75,135.95,131.1,132.6,120.108,117.57699721327275,131.72300278672725
2010-10-11,134.5,135.9,133.3,134.25,120.47200000000001,116.79768324570853,133.33231675429144
2010-10-12,134.5,135.75,130.0,131.0,120.74600000000001,116.76276086308789,134.0772391369121
2010-10-13,131.9,134.4,131.35,133.75,121.055,116.59598372751677,135.29401627248325
2010-10-14,134.25,137.0,131.05,133.05,121.38599999999998,116.80759055650005,136.1724094435
2010-10-15,134.85,134.85,128.4,129.85,121.70200000000001,117.23356669686298,136.466433303137
2010-10-18,130.1,131.0,126.35,129.6,122.052,117.47515544618386,136.72984455381612
2010-10-19,131.5,132.85,128.15,129.75,122.39,118.02315027042964,136.90684972957035
2010-10-20,129.25,130.75,128.5,129.35,122.73100000000001,118.96081335548612,136.82418664451387
2010-10-21,129.8,131.1,128.7,130.4,123.061,119.48086714144334,136.98913285855662
2010-10-22,132.0,132.0,128.05,128.55,123.38099999999999,119.77840143147843,137.03659856852158
2010-10-25,129.95,130.5,128.25,128.45,123.667,120.32243006317994,136.97756993682006
2010-10-26,129.2,129.6,126.7,127.35,123.98899999999999,120.97506662253289,136.7749333774671
2010-10-27,128.2,129.5,125.55,127.25,124.332,122.00944581241522,136.31555418758475
