Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-02-08,16.4,16.4,16.4,16.4,,,
1995-02-09,16.55,16.75,16.5,16.75,,,
1995-02-10,16.5,17.5,16.5,17.25,,,
1995-02-13,16.5,17.25,16.5,17.0,,,
1995-02-14,17.05,17.05,16.25,16.25,,,
1995-02-15,16.25,17.0,16.25,17.0,,,
1995-02-16,16.25,16.5,16.25,16.25,,,
1995-02-17,15.0,16.0,15.0,15.8,,,
1995-02-20,15.75,15.75,15.7,15.75,,,
1995-02-21,15.5,16.25,15.5,16.25,,,
1995-02-22,16.1,16.25,15.5,15.75,,,
1995-02-23,15.5,16.0,15.5,16.0,,,
1995-02-24,17.0,17.0,16.5,17.0,,,
1995-02-28,16.25,17.0,16.25,17.0,,,
1995-03-01,17.0,17.25,16.25,16.8,,,
1995-03-02,16.75,17.0,16.25,16.25,,,
1995-03-03,16.0,16.9,16.0,16.75,,,
1995-03-06,15.5,15.7,15.5,15.7,,,
1995-03-07,16.25,17.0,15.5,15.75,,,
1995-03-08,16.0,16.5,16.0,16.3,,15.37968013271379,17.420319867286207
1995-03-09,16.0,16.0,15.05,15.05,,15.146939950243372,17.518060049756635
1995-03-10,16.5,16.5,15.5,15.9,,15.106517182656475,17.473482817343523
1995-03-13,16.0,16.0,15.5,15.75,,15.099510963983203,17.330489036016797
1995-03-14,16.0,16.0,15.5,15.75,,15.083080580531268,17.221919419468733
1995-03-15,16.0,16.0,13.6,16.0,,15.069535270622099,17.2104647293779
1995-03-16,15.75,15.75,15.0,15.5,,15.038970350279653,17.09102964972035
1995-03-20,15.5,15.5,15.25,15.35,,14.95012543775106,17.089874562248944
1995-03-21,15.0,15.0,13.5,14.2,,14.596555879367083,17.28344412063292
1995-03-22,15.25,15.5,15.25,15.35,,14.552944000684992,17.28705599931501
1995-03-23,15.0,16.0,15.0,15.4,,14.500823987967662,17.25417601203234
1995-03-24,15.0,15.5,14.55,14.95,,14.400077233196052,17.274922766803947
1995-03-27,15.5,15.5,15.0,15.2,,14.334815013948303,17.260184986051698
1995-03-28,15.5,15.5,14.9,14.9,,14.293148646505704,17.091851353494295
1995-03-29,15.25,15.5,15.05,15.5,,14.359567276503984,16.87543272349602
1995-03-30,15.0,15.5,15.0,15.4,,14.417304395131904,16.677695604868095
1995-03-31,15.25,15.5,15.25,15.4,,14.423140003220572,16.586859996779427
1995-04-03,15.4,15.5,15.4,15.5,,14.532742947410219,16.352257052589785
1995-04-04,15.5,15.7,15.25,15.7,,14.532742947410219,16.352257052589785
1995-04-05,15.5,16.25,15.5,16.0,,14.520908828973598,16.389091171026408
1995-04-06,15.7,15.75,15.5,15.6,,14.570603929717981,16.269396070282014
1995-04-07,15.0,15.5,15.0,15.5,,14.61071371672007,16.274286283279928
1995-04-10,15.5,16.0,15.5,16.0,,14.603028816982263,16.291971183017736
1995-04-11,15.5,15.6,15.4,15.5,,14.602059741827652,16.267940258172345
1995-04-12,15.4,16.0,15.4,16.0,,14.587588743868846,16.307411256131154
1995-04-17,15.5,15.5,15.0,15.2,,14.582065505165213,16.23293449483479
1995-04-18,15.0,15.75,15.0,15.55,,14.583084361204714,16.236915638795285
1995-04-19,15.3,15.5,15.1,15.4,,14.586045938488121,16.238954061511876
