Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,138.7,140.0,138.7,139.7,,,
1995-01-03,139.7,139.7,138.0,138.0,,,
1995-01-04,139.3,140.0,139.0,139.85,,,
1995-01-05,139.0,139.0,137.0,138.5,,,
1995-01-06,135.0,136.0,135.0,136.0,,,
1995-01-09,134.0,134.0,131.5,132.3,,,
1995-01-10,130.0,130.0,125.0,125.75,,,
1995-01-11,130.0,130.0,125.0,127.0,,,
1995-01-12,127.5,130.0,127.5,129.5,,,
1995-01-13,127.5,133.0,127.5,131.0,,,
1995-01-16,131.5,137.5,131.5,137.5,,,
1995-01-17,140.0,142.5,138.0,139.7,,,
1995-01-18,140.0,141.0,140.0,140.5,,,
1995-01-19,142.4,143.1,139.0,139.0,,,
1995-01-20,140.0,140.0,138.6,139.4,,,
1995-01-23,136.0,136.0,129.1,129.7,,,
1995-01-24,130.0,130.0,127.5,129.5,,,
1995-01-25,130.0,132.5,130.0,132.5,,,
1995-01-27,134.5,134.5,133.0,134.5,,,
1995-01-30,136.0,139.0,134.0,138.85,,125.26388558813338,144.61111441186662
1995-01-31,139.5,141.0,139.0,140.0,,125.24691425070894,144.65808574929108
1995-02-01,140.0,141.0,135.0,138.4,,125.23886461055089,144.70613538944917
1995-02-02,142.5,142.5,137.5,139.7,,125.2469700935242,144.68302990647575
1995-02-03,137.5,139.9,137.5,138.6,,125.24421224946681,144.69578775053313
1995-02-06,140.0,140.0,135.0,137.15,,125.26255329197713,144.79244670802282
1995-02-07,137.5,137.5,134.1,134.1,,125.42549162630421,144.8095083736958
1995-02-08,135.5,142.0,135.5,140.7,,126.93921830048659,144.79078169951342
1995-02-09,139.0,139.0,136.0,137.9,,128.48876936727362,144.33123063272637
1995-02-10,132.0,138.0,132.0,135.65,,129.47753234959245,143.95746765040755
1995-02-13,136.0,136.0,133.0,133.25,,129.90085484121022,143.75914515878975
1995-02-14,133.0,133.5,132.6,133.1,,129.49355499749453,143.72644500250544
1995-02-15,132.55,134.8,132.55,134.8,,129.3599567039919,143.37004329600805
1995-02-16,132.5,132.5,130.0,131.0,,128.77799384287755,143.00200615712242
1995-02-17,131.0,131.0,127.5,127.5,,127.44279038576042,143.18720961423958
1995-02-20,127.1,127.1,125.8,125.9,,125.96810953652405,143.31189046347598
1995-02-21,125.0,125.8,123.5,124.0,,124.68258126368976,144.0274187363102
1995-02-22,125.0,125.0,123.7,124.0,,123.55152232726581,144.60847767273415
1995-02-23,125.25,131.9,125.1,128.5,,123.0767646171695,144.68323538283047
1995-02-24,132.5,135.0,131.9,132.0,,122.92415224195754,144.58584775804243
1995-02-28,132.5,133.0,132.0,132.25,,122.84858632069512,144.0014136793049
1995-03-01,133.0,135.0,132.6,134.9,,123.02388848142472,143.31611151857533
1995-03-02,135.0,135.0,130.5,132.45,,123.02762556547435,142.71737443452565
1995-03-03,133.5,134.0,132.0,132.5,,123.20704743881745,141.81795256118252
1995-03-06,134.5,134.5,132.0,132.45,,123.3510445948838,141.05895540511622
1995-03-07,133.0,133.0,130.0,131.2,,123.35855269638436,140.45644730361562
1995-03-08,131.0,133.8,131.0,133.0,,123.34891097443051,140.35608902556953
1995-03-09,134.2,134.5,130.0,132.4,,124.00989324511187,138.86510675488813
1995-03-10,132.5,134.0,131.8,133.1,,124.36256843679614,138.0324315632039
1995-03-13,130.0,131.0,127.0,127.5,,124.10257267624371,137.47742732375633
1995-03-14,128.5,128.9,126.0,126.45,133.664,123.59972148088343,137.30027851911655
1995-03-15,131.0,135.0,128.0,128.1,133.43200000000002,123.39210984070331,137.00789015929666
1995-03-16,127.5,128.5,126.65,126.95,133.211,123.21449932544122,136.40050067455877
1995-03-20,122.0,125.0,122.0,124.55,132.905,122.51724720965474,136.45275279034522
1995-03-21,122.5,124.0,116.0,118.25,132.5,120.4555208603649,137.58947913963505
1995-03-22,120.0,123.5,118.1,123.5,132.25,120.08771129011052,137.7172887098895
1995-03-23,121.5,125.0,121.5,123.5,132.07399999999998,120.00154341700834,137.75345658299165
1995-03-24,124.5,124.5,119.5,122.45,132.00799999999998,119.720004637145,137.87999536285503
1995-03-27,124.5,125.5,122.0,123.05,131.929,119.08953216565664,137.96546783434337
1995-03-28,124.0,126.0,122.5,126.0,131.859,118.87321727692861,137.58178272307143
1995-03-29,124.0,125.5,124.0,125.5,131.749,118.66055056668606,137.11944943331397
1995-03-30,126.0,126.0,124.0,125.0,131.499,118.70223834082908,136.08776165917087
1995-03-31,125.0,125.0,123.2,123.5,131.175,118.43073788977885,135.46426211022114
1995-04-03,125.0,125.0,122.5,123.85,130.84199999999998,118.31274742107917,134.71725257892086
1995-04-04,125.0,125.0,122.5,123.2,130.526,118.22471715870206,133.88028284129797
1995-04-05,130.0,130.0,125.0,127.35,130.285,118.3837498845032,133.33625011549677
1995-04-06,128.5,132.45,127.5,129.5,130.281,118.76963952303946,132.6003604769605
1995-04-07,127.6,129.5,126.0,126.95,130.23,119.21947548595433,131.60552451404567
1995-04-10,127.5,127.5,124.7,125.3,130.086,119.995156346487,130.049843653513
1995-04-11,124.0,125.2,124.0,125.0,129.89600000000002,120.00707164721993,129.78792835278006
1995-04-12,126.0,126.5,125.1,126.4,129.64700000000002,120.00786328581358,129.78213671418644
1995-04-17,124.5,124.9,124.0,124.4,129.335,120.05929546933268,129.36070453066733
1995-04-18,122.0,124.0,122.0,123.3,129.03300000000002,119.96120759633376,129.0937924036662
1995-04-19,123.2,124.0,122.9,123.5,128.709,119.88571040929439,129.06428959070558
1995-04-20,120.0,123.0,120.0,121.5,128.36700000000002,120.80922912469254,128.46577087530747
1995-04-21,121.0,121.5,120.5,120.9,128.042,120.35383643001484,128.66116356998518
1995-04-24,118.0,120.5,118.0,118.5,127.73,119.32049952560253,129.19450047439742
1995-04-25,118.0,118.0,112.0,117.25,127.26100000000001,118.18893327761393,129.80606672238605
1995-04-26,118.0,118.0,116.7,117.1,126.845,117.12780978588447,130.27219021411548
1995-04-27,117.5,117.5,115.0,115.1,126.434,115.64501366600241,130.66498633399763
1995-04-28,115.0,115.0,111.4,112.75,126.024,113.78117082989607,131.25382917010396
1995-05-02,112.5,112.6,107.1,108.5,125.53199999999998,111.03761354996477,132.34738645003526
1995-05-03,107.5,110.0,105.0,108.5,125.00599999999999,108.81357524182548,133.07142475817457
1995-05-04,111.0,112.0,110.5,112.0,124.62599999999999,107.67370633613213,133.02629366386785
1995-05-05,112.0,115.0,111.5,113.7,124.35,106.93906473993411,132.8109352600659
1995-05-08,117.0,117.0,112.5,112.95,124.09100000000001,106.3687450444058,131.9412549555942
1995-05-09,113.0,114.0,110.5,112.4,123.859,106.1556055816086,130.4443944183914
1995-05-10,115.0,116.1,113.0,113.5,123.649,106.02230719677686,129.2326928032231
1995-05-12,113.6,114.0,104.0,113.0,123.339,105.82308418344503,128.201915816555
1995-05-15,113.5,113.5,106.6,111.5,122.929,105.55555236810982,127.1194476318902
