Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2004-08-25,149.85,149.85,122.4,123.5,,,
2004-08-26,124.0,124.6,121.9,122.4,,,
2004-08-27,122.8,122.8,119.8,120.3,,,
2004-08-30,121.25,123.75,120.6,123.35,,,
2004-08-31,123.3,123.75,122.0,123.5,,,
2004-09-01,123.75,124.4,122.95,123.5,,,
2004-09-02,123.75,125.6,123.25,124.2,,,
2004-09-03,125.75,137.5,123.8,124.7,,,
2004-09-06,130.0,130.0,124.1,124.35,,,
2004-09-07,129.4,129.4,124.4,124.45,,,
2004-09-08,124.5,125.1,123.9,124.2,,,
2004-09-09,124.6,124.75,122.3,122.5,,,
2004-09-10,123.75,123.75,122.0,123.6,,,
2004-09-13,123.9,126.95,123.9,125.45,,,
2004-09-14,125.6,127.35,125.4,126.95,,,
2004-09-15,127.25,127.5,125.15,125.75,,,
2004-09-16,125.9,126.9,125.3,126.05,,,
2004-09-17,126.5,128.75,126.3,128.05,,,
2004-09-20,129.05,129.6,127.5,127.85,,,
2004-09-21,128.1,131.05,127.75,130.7,,120.10790040120908,129.42709959879093
2004-09-22,131.05,132.0,129.6,131.5,,119.66819143102134,130.66680856897864
2004-09-23,131.0,131.1,128.4,128.8,,119.92182748660903,131.05317251339096
2004-09-24,128.6,130.0,128.25,128.6,,120.74248419015072,131.0625158098493
2004-09-27,128.45,129.05,126.9,127.6,,121.04838065580734,131.18161934419263
2004-09-28,127.0,128.4,126.55,126.95,,121.36281726910252,131.21218273089747
2004-09-29,127.4,129.1,127.0,128.9,,121.68445113269343,131.43054886730653
2004-09-30,129.45,130.1,127.6,128.4,,121.9606764509628,131.5743235490372
2004-10-01,128.6,132.05,128.3,130.95,,122.03249931571136,132.12750068428866
2004-10-04,132.1,135.1,131.8,134.55,,121.71117090068549,133.4688290993145
2004-10-05,135.0,136.1,134.45,135.1,,121.55251441962653,134.69248558037347
2004-10-06,135.1,137.85,134.4,135.2,,121.65841829921676,135.68658170078325
2004-10-07,135.4,137.5,135.4,137.1,,122.06187941817487,136.74312058182514
2004-10-08,137.25,138.9,136.9,137.25,,122.48236195369284,137.68763804630711
2004-10-09,137.5,137.95,136.8,137.55,,122.72331938634423,138.65668061365577
2004-10-11,137.5,138.95,135.6,136.15,,123.03159984648269,139.26840015351732
2004-10-12,138.75,139.4,134.7,135.55,,123.71319006223364,139.56680993776638
2004-10-14,137.9,140.5,136.0,139.5,,124.1053224609253,140.5196775390747
2004-10-15,140.2,142.6,139.65,140.75,,124.18264944433419,141.7123505556658
2004-10-18,141.75,142.75,140.65,142.15,,124.33360459520094,142.99139540479905
2004-10-19,142.5,143.6,142.0,142.9,,124.19388924569272,144.35111075430729
2004-10-20,143.1,143.75,141.1,141.65,,124.27599575099316,145.28400424900684
2004-10-21,142.15,142.4,140.25,140.7,,124.94939891925975,145.80060108074025
2004-10-25,140.6,140.9,138.85,139.65,,125.84821039470722,146.0067896052928
2004-10-26,139.45,142.6,139.45,142.15,,127.01572180033585,146.29427819966415
2004-10-27,142.8,143.5,141.9,142.5,,128.6158127715562,146.24918722844376
2004-10-28,143.1,146.85,143.1,145.75,,129.67368431116844,146.87631568883157
2004-10-29,146.0,146.0,143.15,144.5,,131.40650494782324,146.75349505217673
2004-11-01,143.75,146.8,142.8,146.3,,132.53575926119026,147.15924073880973
2004-11-02,141.25,147.45,140.6,144.95,,133.1636066812897,147.5713933187103
2004-11-03,145.1,148.0,145.1,146.9,132.317,133.63814749772075,148.27685250227927
2004-11-04,147.7,148.5,145.95,146.3,132.773,134.3496664677646,148.67533353223538
2004-11-05,146.75,147.5,145.0,145.7,133.239,134.86293154749717,149.02206845250282
2004-11-08,145.6,148.6,144.5,148.0,133.793,135.26937917849182,149.69062082150816
2004-11-09,148.4,149.75,147.1,148.55,134.297,135.72525028347718,150.33474971652282
2004-11-10,148.9,149.9,148.75,149.3,134.813,136.62701880274233,150.74798119725767
2004-11-11,149.9,150.4,148.9,149.5,135.333,137.98392278802459,150.7860772119754
2004-11-12,150.5,151.0,148.8,149.6,135.841,138.51805491152723,151.2619450884728
2004-11-16,149.75,149.75,148.0,148.85,136.32399999999998,139.00182073486354,151.5881792651365
2004-11-17,148.95,151.25,148.95,150.7,136.851,139.17249196465048,152.27250803534952
2004-11-18,151.2,154.3,150.8,153.9,137.44,138.9219916036919,153.62300839630805
2004-11-19,154.1,154.6,151.4,152.1,137.99800000000002,139.34305571114527,154.24694428885476
2004-11-22,150.95,153.25,149.4,152.8,138.60399999999998,140.0678071062224,154.7321928937776
2004-11-23,153.8,155.25,153.0,154.45,139.221,141.12043336170552,155.15956663829445
2004-11-24,154.9,155.6,153.8,154.25,139.797,141.81399414909745,155.67600585090256
2004-11-25,154.25,155.5,151.05,152.1,140.3,142.8041048336837,155.64589516631628
2004-11-29,152.0,155.95,150.7,155.5,140.895,142.93204240016655,156.49295759983346
2004-11-30,156.0,160.75,155.6,159.3,141.56,142.88279062645202,158.022209373548
2004-12-01,160.1,160.1,157.1,157.7,142.153,143.0625690957785,158.98243090422145
2004-12-02,158.1,159.6,154.9,155.3,142.702,143.90313649391942,159.17686350608062
2004-12-03,156.15,157.0,152.7,154.6,143.18,144.49961679174385,159.35038320825618
2004-12-06,155.0,156.25,151.05,151.8,143.58599999999998,145.26025937084253,159.13974062915744
2004-12-07,152.0,154.1,151.9,152.3,144.056,146.30032568224942,158.75967431775064
2004-12-08,152.25,153.3,149.5,150.1,144.486,146.66127683759694,158.6087231624031
2004-12-09,150.6,152.1,150.6,151.4,144.962,147.08470908332032,158.4702909166797
2004-12-10,152.5,154.45,151.75,153.2,145.487,147.51911138663317,158.42588861336682
2004-12-13,153.25,155.2,153.15,154.5,145.999,147.98523725572133,158.45976274427866
2004-12-14,155.25,155.6,153.8,154.15,146.514,148.48719094824432,158.41280905175566
2004-12-15,155.5,156.85,154.75,155.7,147.009,149.2376558464493,158.3473441535507
2004-12-16,156.05,158.1,154.75,157.8,147.474,149.50167844781856,158.79332155218145
2004-12-17,157.5,159.35,156.5,157.05,147.913,149.48422260036637,159.12577739963365
2004-12-20,157.5,158.55,157.05,157.8,148.365,149.6457210094071,159.5342789905929
2004-12-21,158.1,159.6,157.9,159.1,148.805,149.64803469571063,160.16196530428937
2004-12-22,159.4,159.4,153.75,155.0,149.16,149.67980395040323,160.18519604959678
2004-12-23,155.95,155.95,153.1,153.45,149.47799999999998,149.6058459989998,160.17915400100023
2004-12-24,154.1,159.0,152.7,158.5,149.925,149.86313948731137,160.56186051268864
2004-12-27,158.75,160.6,157.8,158.8,150.39,149.79241883864495,160.96258116135505
2004-12-28,159.0,164.25,158.3,163.65,150.873,149.10177275925327,162.08822724074673
2004-12-29,164.6,167.1,164.15,165.0,151.358,148.25999316473465,163.66000683526536
2004-12-30,164.75,166.0,161.45,162.05,151.756,148.1411027690255,164.45389723097452
2004-12-31,162.5,167.35,162.05,166.9,152.236,147.5320121325406,166.2929878674594
2005-01-03,166.9,169.6,166.9,169.15,152.786,147.25147233765253,168.30852766234747
2005-01-04,168.75,169.25,166.65,167.65,153.325,147.47698558224792,169.6180144177521
2005-01-05,167.5,167.5,160.0,165.6,153.844,148.57655951802832,170.06844048197166
2005-01-06,165.0,168.25,161.55,165.05,154.30200000000002,149.65095680295437,170.35904319704568
2005-01-07,166.25,168.1,164.05,167.5,154.80200000000002,150.3695919226152,171.0704080773848
2005-01-10,168.55,169.9,165.25,165.9,155.205,151.1279653922853,171.45203460771475
2005-01-11,166.25,166.9,162.6,164.2,155.59900000000002,152.1356902947101,171.4493097052899
2005-01-12,165.75,171.0,160.85,162.25,155.918,152.8987202623513,171.3412797376487
2005-01-13,163.75,167.35,159.4,161.6,156.251,153.3095555665306,171.3104444334694
