Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-08-28,130.25,142.25,125.5,138.55,,,
2006-08-29,138.75,140.95,133.9,134.8,,,
2006-08-30,134.25,135.7,130.4,132.0,,,
2006-08-31,131.25,136.0,128.75,134.6,,,
2006-09-01,134.75,137.25,133.8,135.45,,,
2006-09-04,135.5,137.25,113.2,136.0,,,
2006-09-05,136.0,139.0,134.6,138.2,,,
2006-09-06,138.7,140.6,134.5,135.3,,,
2006-09-07,136.25,136.25,132.5,134.3,,,
2006-09-08,134.7,136.2,132.9,133.7,,,
2006-09-11,135.0,136.25,133.05,134.0,,,
2006-09-12,134.0,136.7,133.5,134.45,,,
2006-09-13,135.25,137.25,135.25,136.2,,,
2006-09-14,136.3,139.4,136.3,137.45,,,
2006-09-15,137.5,138.5,134.75,135.05,,,
2006-09-18,136.0,140.5,136.0,136.6,,,
2006-09-19,137.0,155.95,136.6,146.05,,,
2006-09-20,144.95,153.45,143.3,151.25,,,
2006-09-21,144.25,156.75,144.25,152.25,,,
2006-09-22,156.25,156.25,148.3,150.3,,125.81372087821718,150.8362791217828
2006-09-25,148.8,152.9,147.5,148.4,,125.5182608052981,152.1167391947019
2006-09-26,149.95,156.5,148.5,154.4,,124.94668130911721,154.64831869088283
2006-09-27,154.9,157.95,154.05,154.85,,125.13015629758671,156.74984370241327
2006-09-28,156.2,156.2,152.0,153.25,,125.44904196935948,158.29595803064052
2006-09-29,153.75,157.5,152.5,154.6,,125.7628138785193,159.89718612148067
2006-10-03,154.75,158.95,153.75,154.85,,126.21844888561857,161.32655111438137
2006-10-04,155.4,156.0,152.5,153.4,,126.68064545974804,162.38435454025196
2006-10-05,155.3,157.0,154.75,156.0,,127.56977280430874,163.56522719569125
2006-10-06,157.25,160.0,154.5,155.3,,128.94012001432642,164.2948799856736
2006-10-09,154.5,156.2,152.5,153.5,,130.77875657503938,164.43624342496065
2006-10-10,155.0,156.2,152.6,153.95,,132.84098701906285,164.36901298093713
2006-10-11,155.0,163.45,155.0,157.5,,135.01346373908575,164.50153626091424
2006-10-12,158.6,159.3,155.25,157.4,,137.16993322246182,164.46506677753817
2006-10-13,158.8,173.2,158.8,170.5,,137.68158348037596,167.25841651962403
2006-10-16,172.05,179.5,172.05,177.6,,138.2052850634422,170.9897149365578
2006-10-17,178.5,179.25,175.05,176.1,,139.79668799518055,173.34831200481943
2006-10-18,177.5,178.75,170.0,171.0,,140.63318130536962,175.00681869463037
2006-10-19,175.0,198.0,175.0,193.2,,136.86754795072943,182.9674520492706
