Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-11-02,275.05,284.9,261.3,266.15,,,
2017-11-03,269.95,269.95,252.85,253.1,,,
2017-11-06,255.75,255.75,241.0,243.05,,,
2017-11-07,241.0,254.85,241.0,250.1,,,
2017-11-08,262.6,262.6,251.05,262.55,,,
2017-11-09,270.75,275.65,270.0,275.65,,,
2017-11-10,289.4,289.4,289.4,289.4,,,
2017-11-13,303.85,303.85,290.0,291.85,,,
2017-11-14,278.0,294.8,277.5,289.9,,,
2017-11-15,291.0,299.0,285.0,293.5,,,
2017-11-16,304.0,308.9,284.0,290.5,,,
2017-11-17,299.95,299.95,277.25,279.45,,,
2017-11-20,280.0,283.0,275.0,275.25,,,
2017-11-21,274.85,278.2,265.65,269.1,,,
2017-11-22,269.1,270.0,262.0,264.8,,,
2017-11-23,268.95,270.0,262.5,265.7,,,
2017-11-24,268.5,271.0,265.0,269.6,,,
2017-11-27,274.5,274.5,266.3,269.8,,,
2017-11-28,271.0,271.7,262.4,264.95,,,
2017-11-29,264.95,267.0,259.3,260.85,,242.34077487492272,300.18422512507726
2017-11-30,263.0,263.0,256.0,258.9,,241.53019810829676,300.2698018917032
2017-12-01,259.0,264.45,255.0,255.75,,241.97860679226764,300.0863932077323
2017-12-04,255.75,262.0,253.0,258.9,,245.2237435991218,298.4262564008782
2017-12-05,253.05,258.95,251.05,257.1,,246.61340257030295,297.73659742969704
2017-12-06,257.1,257.1,215.7,252.55,,244.95568902558736,298.3943109744127
2017-12-07,254.95,254.95,242.05,251.8,,242.41528228027727,298.54971771972265
2017-12-08,259.9,261.0,252.15,259.2,,241.9609142790932,295.9840857209067
2017-12-11,271.0,283.35,269.0,270.4,,243.10027589287586,292.6997241071241
2017-12-12,273.95,273.95,256.25,257.9,,243.4219480034271,289.17805199657295
2017-12-13,250.5,263.95,250.5,259.8,,245.52077105648496,283.7092289435151
2017-12-14,262.4,262.4,257.0,259.95,,248.3129530748958,277.86204692510415
2017-12-15,262.95,265.75,259.75,263.1,,249.65616465521836,274.8838353447817
2017-12-18,268.0,275.0,255.0,265.15,,250.61548502353008,272.9145149764699
2017-12-19,267.75,270.9,260.5,264.6,,250.8412248610561,272.23877513894394
2017-12-20,263.05,269.9,262.05,263.95,,250.84660554781527,272.14839445218473
2017-12-21,265.75,269.85,263.2,264.5,,250.8731171874299,272.0018828125701
2017-12-22,268.2,272.85,266.0,270.05,,250.82076773644383,272.09923226355625
