Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-05,7.9,7.9,7.9,7.9,,,
1995-01-06,8.0,8.0,7.95,7.95,,,
1995-01-09,7.75,7.75,7.75,7.75,,,
1995-01-10,7.75,7.75,7.75,7.75,,,
1995-01-11,7.55,7.55,7.55,7.55,,,
1995-01-17,7.6,7.6,7.6,7.6,,,
1995-01-23,7.35,7.35,7.35,7.35,,,
1995-01-24,7.4,7.5,7.4,7.4,,,
1995-01-25,7.5,7.75,7.5,7.75,,,
1995-01-30,7.45,7.5,7.45,7.5,,,
1995-01-31,7.45,7.45,7.25,7.25,,,
1995-02-01,7.5,7.5,7.5,7.5,,,
1995-02-02,7.3,7.3,7.3,7.3,,,
1995-02-03,7.65,7.65,7.6,7.6,,,
1995-02-06,7.5,7.5,7.5,7.5,,,
1995-02-07,7.5,7.55,7.5,7.5,,,
1995-02-08,7.5,7.5,7.5,7.5,,,
1995-02-10,7.5,7.5,7.5,7.5,,,
1995-02-13,7.25,7.25,7.25,7.25,,,
1995-02-14,7.3,7.6,7.3,7.4,,7.143170459503673,7.936829540496329
1995-02-15,7.5,7.5,7.3,7.3,,7.137808764491325,7.8821912355086745
1995-02-16,7.0,7.2,7.0,7.2,,7.137718059972733,7.807281940027269
1995-02-17,7.0,7.2,7.0,7.2,,7.115886357812862,7.774113642187139
1995-02-20,7.0,7.0,6.9,7.0,,7.054654424712454,7.760345575287547
1995-02-22,6.75,6.75,6.65,6.65,,6.880317461950353,7.844682538049646
1995-02-23,6.8,7.25,6.8,7.05,,6.847147563293982,7.822852436706016
1995-02-24,7.5,7.5,7.5,7.5,,6.849096140650428,7.835903859349571
1995-02-28,7.4,7.9,7.4,7.8,,6.828522866643741,7.8964771333562584
1995-03-01,7.5,7.5,7.4,7.4,,6.842480034436967,7.847519965563034
1995-03-02,7.5,7.65,7.45,7.45,,6.8427368982260335,7.842263101773965
1995-03-07,7.25,7.35,7.25,7.3,,6.846687056686581,7.84331294331342
1995-03-09,7.25,7.25,7.25,7.25,,6.838030587396958,7.826969412603043
1995-03-10,7.4,7.4,7.4,7.4,,6.842392356201839,7.832607643798162
1995-03-15,7.4,7.4,7.4,7.4,,6.846848030494544,7.808151969505453
1995-03-20,7.0,7.1,7.0,7.1,,6.823791736466571,7.791208263533429
1995-03-21,7.25,7.25,7.0,7.1,,6.804227166520871,7.770772833479128
1995-03-22,7.0,7.15,7.0,7.15,,6.793831078182059,7.746168921817942
1995-03-23,7.15,7.3,7.15,7.3,,6.795921966634242,7.724078033365758
1995-03-24,7.15,7.5,7.15,7.5,,6.796248186907722,7.748751813092277
1995-03-27,7.2,7.25,7.2,7.25,,6.792492690115025,7.737507309884973
1995-03-28,7.35,7.35,7.25,7.25,,6.790243379305836,7.7347566206941645
1995-03-29,7.4,7.45,7.4,7.45,,6.79651555049192,7.753484449508081
1995-03-30,7.45,7.5,7.45,7.5,,6.802687282937821,7.7773127170621805
1995-03-31,7.25,7.4,7.25,7.4,,6.840285641110082,7.779714358889917
1995-04-03,7.25,7.25,7.25,7.25,,6.985183516670794,7.694816483329204
1995-04-04,7.25,7.25,7.25,7.25,,7.019131923252597,7.6808680767474025
1995-04-05,7.25,7.3,7.25,7.3,,7.0162066936097105,7.663793306390291
1995-04-06,7.25,7.5,7.25,7.5,,7.070565642836386,7.579434357163614
1995-04-07,7.35,7.35,7.35,7.35,,7.070194838069371,7.5748051619306285
1995-04-10,7.3,7.3,7.25,7.3,7.393,7.069836252357954,7.560163747642047
1995-04-11,7.4,7.4,7.35,7.35,7.382000000000001,7.071960851015141,7.563039148984859
1995-04-12,7.25,7.35,7.25,7.3,7.369,7.076343641468912,7.563656358531088
1995-04-17,7.25,7.4,7.25,7.4,7.361999999999999,7.0763436414689105,7.5636563585310865
1995-04-18,7.25,7.25,7.25,7.25,7.351999999999999,7.069980331779703,7.555019668220297
1995-04-19,7.25,7.25,7.25,7.25,7.346,7.096628701839058,7.543371298160939
1995-04-20,7.1,7.1,7.05,7.05,7.335,7.082923113266733,7.552076886733267
1995-04-21,7.1,7.1,6.75,6.9,7.325999999999999,7.0131817436539645,7.596818256346035
1995-04-24,6.9,7.0,6.75,6.75,7.313,6.894334514245239,7.6606654857547625
1995-04-25,6.9,6.9,6.75,6.75,7.292999999999999,6.805198169761275,7.674801830238725
1995-04-26,6.95,6.95,6.75,6.75,7.278,6.728227601007361,7.701772398992641
1995-04-27,6.5,6.5,6.25,6.25,7.257999999999999,6.515222710218505,7.814777289781497
1995-04-28,6.25,6.5,6.25,6.4,7.236000000000001,6.3936742030813125,7.831325796918687
1995-05-02,6.25,6.25,6.2,6.25,7.215,6.259264166807439,7.840735833192561
1995-05-03,6.25,6.25,5.9,6.15,7.186,6.119425906630694,7.855574093369306
1995-05-04,6.25,6.35,6.15,6.25,7.1610000000000005,6.019335354748687,7.855664645251313
1995-05-05,6.4,6.75,6.35,6.65,7.144000000000001,5.993126472732059,7.821873527267942
1995-05-08,6.35,6.6,6.35,6.55,7.125,5.9619077255326065,7.778092274467394
1995-05-09,6.5,6.6,6.5,6.5,7.105,5.948582521949079,7.691417478050922
1995-05-10,6.75,6.8,6.75,6.75,7.095,5.954851100575159,7.625148899424842
