Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2001-09-27,6.2,7.8,5.95,6.0,,,
2001-09-28,6.2,6.8,5.5,6.55,,,
2001-10-01,6.5,6.6,6.25,6.35,,,
2001-10-03,6.55,6.55,6.0,6.05,,,
2001-10-04,6.2,6.6,5.85,6.45,,,
2001-10-05,6.45,6.6,6.4,6.45,,,
2001-10-08,6.0,6.2,5.75,6.15,,,
2001-10-09,6.1,6.25,6.1,6.2,,,
2001-10-10,6.3,6.4,6.15,6.35,,,
2001-10-11,6.35,6.95,6.35,6.85,,,
2001-10-12,6.8,7.05,6.8,6.85,,,
2001-10-15,7.0,7.15,6.8,6.95,,,
2001-10-16,7.1,7.15,6.95,7.05,,,
2001-10-17,7.2,7.2,6.9,6.9,,,
2001-10-18,6.85,7.15,6.8,7.15,,,
2001-10-19,7.2,7.2,6.95,7.0,,,
2001-10-22,7.2,8.4,7.2,8.4,,,
2001-10-23,9.95,9.95,8.6,8.75,,,
2001-10-24,8.95,8.95,8.4,8.6,,,
2001-10-25,8.6,9.0,8.5,8.8,,5.167447729659864,8.817552270340135
2001-10-29,9.05,9.4,9.0,9.05,,5.165925256058968,9.124074743941033
2001-10-30,8.65,8.95,8.4,8.5,,5.195866049750032,9.289133950249967
2001-10-31,8.35,8.7,8.2,8.25,,5.288912553412526,9.386087446587474
2001-11-01,8.5,8.85,8.35,8.75,,5.425300372267164,9.519699627732837
2001-11-02,8.9,9.25,8.65,8.85,,5.516503092994903,9.668496907005096
2001-11-05,9.25,9.4,8.6,8.8,,5.640268260453979,9.779731739546023
2001-11-06,8.85,9.05,8.65,8.75,,5.858081737306003,9.821918262693998
2001-11-07,9.0,9.7,8.8,9.25,,6.073543320748983,9.91145667925102
2001-11-08,9.2,9.9,9.15,9.85,,6.240879014685914,10.094120985314087
2001-11-09,10.0,10.4,9.65,9.8,,6.3615684714221254,10.268431528577874
2001-11-12,10.05,10.15,9.8,9.95,,6.514064364421392,10.42593563557861
2001-11-13,9.9,10.0,9.4,9.55,,6.725517615306483,10.474482384693516
2001-11-14,9.8,9.85,9.5,9.6,,6.95268347871942,10.502316521280582
2001-11-15,9.9,9.9,9.6,9.7,,7.2664230598059865,10.468576940194014
2001-11-19,9.8,10.8,9.8,10.6,,7.475055070752035,10.604944929247964
2001-11-20,10.6,11.1,10.5,10.6,,7.823990650008701,10.616009349991296
2001-11-21,10.6,10.8,10.5,10.55,,7.867696480416135,10.787303519583867
2001-11-22,10.6,12.7,10.6,12.65,,7.467089937186316,11.577910062813686
2001-11-23,13.0,13.4,12.05,12.65,,7.289408642001318,12.160591357998682
2001-11-26,13.0,14.0,12.95,13.2,,7.100633453186537,12.789366546813463
2001-11-27,13.6,13.7,12.45,12.7,,7.064911655409592,13.190088344590407
2001-11-28,12.8,13.0,11.9,12.0,,7.231502390787411,13.373497609212585
2001-11-29,12.0,12.25,11.2,12.1,,7.483635560169838,13.506364439830165
2001-12-03,12.75,13.4,12.2,12.9,,7.626194115544296,13.778805884455702
2001-12-04,12.9,14.15,12.9,13.8,,7.709142413690971,14.190857586309027
2001-12-05,14.6,15.25,14.2,14.95,,7.72192515654326,14.793074843456736
2001-12-06,16.4,16.8,15.0,15.45,,7.797173927051863,15.387826072948137
2001-12-07,15.0,15.0,14.25,14.3,,8.033949585329811,15.656050414670187
2001-12-10,14.6,14.9,14.45,14.55,,8.207777735826905,15.952222264173095
2001-12-11,14.6,14.8,13.85,14.0,9.51,8.48341291139191,16.09658708860809
2001-12-12,14.35,14.6,14.0,14.2,9.674,8.77218676354047,16.23281323645953
2001-12-13,14.1,14.35,12.05,12.9,9.801,9.206597353073604,16.133402646926395
2001-12-14,13.2,13.3,12.5,13.0,9.934000000000001,9.69163367342431,15.98836632657569
2001-12-18,13.0,13.2,12.05,12.45,10.062000000000001,10.186636145808706,15.768363854191296
2001-12-19,12.7,12.7,11.2,11.4,10.161,10.34990202665988,15.685097973340124
2001-12-20,11.0,11.4,10.45,10.8,10.248,10.396815678383302,15.658184321616698
2001-12-21,10.4,10.95,10.0,10.25,10.33,10.3196488402771,15.705351159722898
2001-12-24,9.8,9.9,9.0,9.75,10.401,9.805461635222654,15.929538364777349
2001-12-26,10.0,10.8,9.7,10.1,10.475999999999999,9.43695515271775,16.043044847282246
2001-12-27,10.1,10.3,9.6,9.8,10.535,9.025486077419313,16.114513922580688
2001-12-28,9.8,10.3,9.6,10.15,10.601,8.737840771406916,16.147159228593086
2001-12-31,10.4,11.6,10.4,11.4,10.69,8.683118084228417,16.14188191577158
2002-01-01,11.9,12.4,11.15,11.35,10.776000000000002,8.617411187448733,16.132588812551266
2002-01-02,11.5,12.0,11.3,11.75,10.873,8.558542277719177,16.076457722280825
2002-01-03,12.6,12.6,11.75,11.85,10.967,8.522290894137445,15.917709105862556
2002-01-04,11.6,12.45,11.6,12.1,11.069,8.610288926012888,15.544711073987113
2002-01-07,12.8,12.8,12.25,12.3,11.147,8.832435809318474,15.007564190681526
2002-01-08,12.8,12.8,11.85,12.0,11.212,8.926422134748533,14.68357786525147
2002-01-09,12.0,12.2,11.4,11.45,11.269,9.076041344952362,14.223958655047639
2002-01-10,12.3,12.3,11.25,11.5,11.323000000000002,9.20087028172515,13.84912971827485
2002-01-11,11.7,12.1,10.8,11.0,11.361999999999998,9.404038903738131,13.325961096261869
2002-01-14,12.0,12.0,11.6,11.75,11.426999999999998,9.47266887339521,13.142331126604793
2002-01-15,12.4,12.4,11.55,11.7,11.495999999999999,9.575711407968535,12.909288592031464
2002-01-16,12.0,12.0,11.45,11.5,11.550999999999998,9.621569286391601,12.768430713608396
2002-01-17,11.8,11.95,11.2,11.65,11.607000000000001,9.623276796693517,12.791723203306482
2002-01-18,12.0,13.85,12.0,13.35,11.698,9.498498749767595,13.171501250232403
2002-01-21,13.25,13.95,13.0,13.05,11.784,9.561474733020663,13.388525266979336
2002-01-22,13.35,13.8,13.15,13.35,11.866,9.747425072175911,13.562574927824087
2002-01-23,13.7,13.7,12.7,12.85,11.925999999999998,9.961976635092139,13.623023364907862
2002-01-24,13.0,13.0,11.5,11.55,11.960999999999999,10.300393120192,13.459606879807998
2002-01-25,11.8,12.1,11.65,11.75,11.996999999999998,10.602913337134936,13.317086662865062
2002-01-28,12.2,12.2,11.6,11.65,12.039000000000001,10.63263551352938,13.31236448647062
2002-01-29,12.1,12.1,11.4,11.4,12.075,10.63984773192445,13.31015226807555
2002-01-30,11.35,11.4,10.8,10.9,12.098999999999998,10.51558154972251,13.349418450277488
2002-01-31,11.25,11.6,11.1,11.25,12.112,10.45318981925886,13.35181018074114
2002-02-01,11.65,11.65,11.15,11.25,12.125,10.385443866964163,13.334556133035836
2002-02-04,11.35,11.35,11.0,11.0,12.134,10.287859102734437,13.30214089726556
2002-02-05,10.95,11.15,10.9,10.95,12.1,10.19287355944632,13.29212644055368
2002-02-06,11.05,11.1,10.8,11.0,12.067,10.1397268723747,13.300273127625301
2002-02-07,11.2,11.2,10.0,10.15,12.006000000000002,9.924259336934352,13.380740663065648
2002-02-08,10.5,10.75,10.45,10.55,11.963,9.854909194316818,13.40509080568318
2002-02-11,11.0,11.0,10.65,10.8,11.939,9.770471476929526,13.394528523070473
2002-02-12,11.0,11.2,9.7,10.35,11.904000000000002,9.622605248702918,13.407394751297083
2002-02-13,10.6,10.7,10.4,10.45,11.855,9.511016084185137,13.413983915814864
2002-02-14,10.8,10.8,10.3,10.5,11.789000000000001,9.409505073922785,13.400494926077213
2002-02-15,10.85,10.85,10.45,10.65,11.703,9.473102088246787,13.066897911753212
2002-02-18,10.8,10.85,10.2,10.35,11.600999999999999,9.503049278349792,12.766950721650208
2002-02-19,10.4,10.6,10.15,10.2,11.519,9.669840379070141,12.28515962092986
2002-02-20,10.45,10.95,10.15,10.45,11.437000000000001,9.872734465522562,11.842265534477438
2002-02-21,10.75,11.1,10.6,10.8,11.373,9.890710514765008,11.749289485234993
2002-02-22,10.9,11.0,10.5,10.6,11.300999999999998,9.939236276825806,11.585763723174193
2002-02-25,10.8,10.9,10.4,10.6,11.255,9.998737223775906,11.421262776224092
2002-02-26,10.8,10.8,10.5,10.6,11.207,10.036380489402017,11.30361951059798
2002-02-27,10.75,11.0,10.25,10.4,11.165999999999999,10.010135737673913,11.279864262326086
2002-02-28,10.45,10.6,9.6,9.8,11.134,9.898568096521458,11.246431903478545
2002-03-01,9.1,11.75,9.1,10.0,11.118000000000002,9.86960538481512,11.150394615184883
2002-03-04,10.4,10.4,9.9,10.0,11.113000000000001,9.824555687975645,11.095444312024357
2002-03-05,10.3,10.3,9.9,9.9,11.116000000000001,9.769019072534865,11.045980927465136
2002-03-06,10.2,10.2,9.7,9.8,11.11,9.717984731174763,10.977015268825237
2002-03-07,9.8,10.0,9.55,9.65,11.107000000000001,9.624024215843862,11.020975784156137
2002-03-08,9.8,9.8,9.35,9.4,11.092,9.463619611972137,11.066380388027865
2002-03-11,9.55,9.55,9.15,9.2,11.048,9.294051363049409,11.075948636950589
2002-03-12,9.35,9.35,8.95,9.0,11.001,9.085753907203955,11.149246092796044
2002-03-13,9.1,9.3,9.05,9.2,10.95,8.958642394106784,11.15135760589322
2002-03-14,9.4,10.2,9.15,9.6,10.905,8.916670945665242,11.103329054334761
2002-03-15,9.8,10.2,9.7,10.05,10.864,8.928484802522464,11.031515197477537
2002-03-18,10.4,11.6,10.15,11.1,10.84,8.862066611271175,11.17293338872883
2002-03-19,11.6,11.8,10.7,10.8,10.815999999999999,8.842040926058758,11.252959073941241
2002-03-20,11.0,11.0,10.4,10.45,10.796,8.842040926058761,11.252959073941241
2002-03-21,10.5,10.7,10.35,10.45,10.775,8.860924791938016,11.199075208061982
2002-03-22,10.5,11.2,10.35,10.4,10.763,8.868159367748659,11.17184063225134
2002-03-26,10.5,10.6,10.3,10.35,10.735,8.876931908054086,11.138068091945915
2002-03-27,10.5,10.6,10.35,10.45,10.71,8.884086402137404,11.115913597862596
2002-03-28,10.6,10.6,10.45,10.45,10.689,8.88259633872988,11.122403661270123
2002-04-01,10.55,10.6,10.4,10.4,10.664000000000001,8.903329368169107,11.161670631830894
2002-04-02,10.5,10.6,10.2,10.25,10.602,8.911816315349625,11.178183684650374
2002-04-03,10.3,10.3,10.0,10.05,10.541999999999998,8.914513727030752,11.180486272969247
2002-04-04,10.0,10.95,10.0,10.55,10.486,8.927702523788188,11.232297476211812
2002-04-05,10.6,10.85,10.5,10.6,10.440999999999999,8.953177955208925,11.286822044791077
2002-04-08,10.8,11.15,10.6,10.7,10.424000000000001,9.000243965455407,11.344756034544591
2002-04-09,10.75,10.9,10.5,10.5,10.399000000000001,9.10571805289887,11.349281947101128
2002-04-10,10.55,10.75,10.4,10.5,10.376000000000001,9.27565503432902,11.30934496567098
2002-04-11,10.8,12.15,10.7,11.85,10.385,9.382634244090768,11.487365755909233
2002-04-12,11.9,12.4,11.25,11.3,10.392999999999999,9.592649122969528,11.48735087703047
2002-04-15,11.4,11.7,11.1,11.2,10.392000000000001,9.738971892437215,11.501028107562787
2002-04-16,11.3,11.3,10.7,10.75,10.382,9.81463667005535,11.495363329944652
2002-04-17,11.0,11.05,10.7,10.75,10.377,9.82194400624651,11.45305599375349
2002-04-18,10.8,10.9,10.65,10.7,10.372,9.819918020330205,11.445081979669796
2002-04-19,10.8,11.25,10.45,10.55,10.363,9.828423203176751,11.446576796823248
2002-04-22,10.5,10.65,10.4,10.5,10.37,9.833056448853629,11.446943551146372
2002-04-23,10.45,10.7,10.45,10.5,10.368999999999998,9.843094374892642,11.446905625107357
2002-04-24,10.6,10.8,10.55,10.65,10.366000000000001,9.870196560096069,11.449803439903931
2002-04-25,10.7,10.7,10.35,10.4,10.367,9.86458731482233,11.450412685177671
2002-04-26,10.5,10.6,10.3,10.35,10.365,9.852845469330083,11.452154530669917
2002-04-29,10.4,10.4,10.2,10.25,10.36,9.832660947115073,11.457339052884926
2002-04-30,10.3,10.55,10.2,10.3,10.353,9.839985946024285,11.455014053975713
2002-05-02,10.3,10.45,10.0,10.05,10.347000000000001,9.839985946024285,11.455014053975717
2002-05-03,10.4,10.9,10.1,10.2,10.347000000000001,9.798767560533802,11.461232439466196
2002-05-06,10.4,10.65,10.35,10.55,10.348999999999998,9.79558717561977,11.459412824380232
2002-05-07,8.8,11.0,8.8,10.55,10.344000000000001,9.78813462627666,11.451865373723342
2002-05-08,10.7,10.75,10.4,10.45,10.341,9.783817616961144,11.451182383038859
2002-05-09,10.6,10.6,10.3,10.4,10.337,9.774661301794673,11.450338698205329
2002-05-10,10.55,10.55,10.15,10.2,10.329,9.90811830537864,11.151881694621359
2002-05-13,10.35,10.35,10.1,10.15,10.323999999999998,9.94486874917991,11.00013125082009
2002-05-14,10.15,10.3,10.1,10.1,10.33,9.989192437119168,10.845807562880832
2002-05-15,10.4,10.4,9.85,9.9,10.328,9.917892388576917,10.832107611423083
2002-05-16,10.0,10.0,9.45,9.5,10.318,9.743220677199425,10.881779322800575
