Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2004-01-23,33.35,186.65,33.35,184.6,,,
2004-01-27,190.0,190.0,175.0,180.15,,,
2004-01-28,176.65,188.35,170.35,179.6,,,
2004-01-29,176.65,181.15,168.0,171.7,,,
2004-01-30,173.0,173.0,157.15,161.0,,,
2004-02-03,157.35,158.35,150.0,153.8,,,
2004-02-04,147.35,159.65,147.35,158.35,,,
2004-02-05,158.35,163.0,156.85,160.05,,,
2004-02-06,153.7,162.0,153.65,160.25,,,
2004-02-09,158.35,161.0,154.0,157.35,,,
2004-02-10,160.0,160.0,153.0,159.25,,,
2004-02-11,159.65,161.35,158.6,159.95,,,
2004-02-12,160.0,163.0,158.55,162.15,,,
2004-02-13,164.35,165.35,160.0,164.25,,,
2004-02-16,155.0,166.0,155.0,164.8,,,
2004-02-17,163.65,166.65,163.35,165.85,,,
2004-02-18,165.0,168.0,164.0,167.25,,,
2004-02-19,166.65,166.65,158.35,160.55,,,
2004-02-20,161.65,161.65,157.2,158.35,,,
2004-02-23,168.35,168.35,155.0,156.4,,147.33834171462036,181.22665828537964
2004-02-24,156.55,161.7,156.5,160.85,,149.06852503299564,177.12147496700436
2004-02-25,161.35,161.35,156.5,156.95,,150.19661940694678,173.67338059305322
2004-02-26,158.65,161.65,153.35,156.85,,152.30691853085372,169.2880814691463
2004-02-27,155.35,160.35,155.35,159.25,,153.39721119740136,166.95278880259866
2004-03-01,158.55,160.65,157.15,159.85,,153.34967558085162,166.8853244191484
2004-03-03,163.35,177.25,163.35,172.2,,153.0018639101549,169.0731360898451
2004-03-04,176.5,176.5,164.45,166.35,,153.17198030735673,169.70301969264327
2004-03-05,169.35,169.95,165.4,166.5,,153.22353949843748,170.2964605015625
2004-03-08,166.65,171.35,166.65,171.05,,152.84840587102116,171.75159412897887
2004-03-09,171.35,172.95,167.05,170.75,,153.10510210259042,172.83489789740958
2004-03-10,168.35,170.65,168.35,169.95,,153.33373500596176,173.67626499403823
2004-03-11,168.35,172.65,168.35,171.75,,153.4347985602127,174.75520143978724
2004-03-12,171.65,171.65,162.35,165.75,,153.63151916849912,174.9184808315009
2004-03-15,161.75,169.35,150.0,166.15,,153.6935921672818,175.04640783271822
2004-03-16,160.45,164.35,159.0,160.45,,153.33665027549114,174.96834972450887
2004-03-17,161.65,161.65,158.65,159.05,,152.79567674023758,174.82932325976242
2004-03-18,161.05,162.95,158.35,160.55,,152.49337389385076,174.46162610614928
2004-03-19,160.65,162.95,160.0,161.45,,152.58158331561117,174.4634166843888
2004-03-22,158.4,158.4,153.35,153.8,,151.72981176342694,174.8601882365731
