Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-11-08,25.5,27.95,24.7,27.25,,,
2016-11-09,23.3,26.65,23.3,25.75,,,
2016-11-10,26.45,27.3,25.65,25.85,,,
2016-11-11,25.7,26.65,25.5,26.1,,,
2016-11-15,25.95,26.35,25.5,25.95,,,
2016-11-16,26.05,26.5,25.55,25.8,,,
2016-11-17,25.55,26.3,25.55,26.1,,,
2016-11-18,26.05,26.35,25.8,26.1,,,
2016-11-21,25.6,26.2,25.6,26.05,,,
2016-11-22,25.6,26.3,25.6,26.1,,,
2016-11-23,25.8,26.35,25.65,26.25,,,
2016-11-24,26.0,26.2,25.85,26.0,,,
2016-11-25,25.85,26.1,25.7,25.85,,,
2016-11-28,26.05,26.05,25.2,25.35,,,
2016-11-29,25.45,26.05,25.2,25.8,,,
2016-11-30,25.65,26.15,25.65,26.05,,,
2016-12-01,25.8,26.05,25.6,25.65,,,
2016-12-02,25.55,26.0,25.55,25.6,,,
2016-12-05,25.5,25.85,25.3,25.65,,,
2016-12-06,25.8,25.8,24.9,25.05,,25.063314364890054,26.766685635109944
2016-12-07,24.9,25.25,24.15,24.3,,24.868802111532002,26.666197888468
2016-12-08,24.4,25.5,24.35,25.05,,24.778133304503093,26.686866695496903
2016-12-09,25.2,25.2,24.55,24.6,,24.59228311500166,26.747716884998336
2016-12-12,24.0,25.0,24.0,24.95,,24.508976933682522,26.71602306631748
2016-12-13,24.4,24.95,24.4,24.75,,24.396975512113546,26.70802448788646
2016-12-14,24.95,24.95,24.65,24.7,,24.288117817578794,26.70688218242121
2016-12-15,24.3,24.95,24.3,24.9,,24.23492600621571,26.64007399378429
2016-12-16,24.6,25.25,24.35,24.45,,24.11789812358417,26.592101876415825
2016-12-19,24.6,24.6,24.05,24.35,,24.0007689854006,26.539231014599405
2016-12-20,24.5,24.55,24.0,24.05,,23.85029602346886,26.48470397653114
2016-12-21,24.1,24.1,23.45,23.55,,23.631644997923743,26.433355002076254
2016-12-22,23.6,23.7,21.45,22.75,,23.211401987092408,26.528598012907587
2016-12-23,22.5,22.85,21.9,22.05,,22.66234111693255,26.69765888306745
2016-12-26,21.85,21.85,20.8,21.3,,21.985729333860856,26.969270666139142
2016-12-27,21.15,21.9,20.9,21.65,,21.56029036319583,26.97970963680417
2016-12-28,21.5,22.0,21.4,21.75,,21.2589689784117,26.851031021588298
2016-12-29,21.75,22.25,21.5,22.15,,21.06623683336806,26.693763166631946
2016-12-30,22.3,22.8,22.2,22.55,,20.976332783593218,26.47866721640678
2017-01-02,22.85,23.7,22.6,23.65,,21.029428853127694,26.22557114687231
2017-01-03,24.35,24.85,24.2,24.3,,21.05755786682211,26.12244213317789
2017-01-04,24.7,24.75,24.0,24.6,,21.051385430723556,26.158614569276438
2017-01-05,24.7,24.85,24.35,24.75,,21.068805629739856,26.111194370260137
2017-01-06,24.75,24.8,24.3,24.45,,21.07309138860424,26.091908611395766
2017-01-09,24.5,24.9,24.2,24.75,,21.084534227685122,26.06046577231488
2017-01-10,24.45,24.85,24.45,24.7,,21.086920418003853,26.053079581996148
2017-01-11,24.75,24.75,24.4,24.5,,21.094533245856006,26.02546675414399
2017-01-12,24.45,24.7,24.45,24.55,,21.112365717377166,25.972634282622835
2017-01-13,24.35,24.9,24.35,24.7,,21.102740032670216,26.007259967329784
2017-01-16,24.4,24.8,24.4,24.55,,21.097506065703644,26.032493934296358
2017-01-17,24.75,24.75,24.3,24.4,24.721,21.09563450303402,26.06936549696598
2017-01-18,24.6,24.65,24.1,24.2,24.66,21.112979763639444,26.11702023636056
2017-01-19,24.4,24.45,24.25,24.35,24.631999999999998,21.20715586881885,26.18284413118115
2017-01-20,24.35,24.35,23.8,24.0,24.595,21.426229338789597,26.158770661210404
2017-01-23,24.0,24.2,23.5,23.5,24.542999999999996,21.83891216885688,25.96608783114312
2017-01-24,23.4,24.1,23.4,24.0,24.503999999999998,22.249659562920804,25.7903404370792
2017-01-25,23.75,24.25,23.6,24.0,24.467999999999996,22.719673419216534,25.545326580783467
2017-01-27,23.7,23.85,23.2,23.65,24.419,23.114808971295908,25.30019102870409
2017-01-30,23.65,23.75,23.4,23.7,24.371,23.455126715564713,25.07487328443528
2017-01-31,23.45,23.65,23.35,23.55,24.320999999999998,23.433084361204784,25.08691563879521
2017-02-01,23.55,23.8,23.35,23.6,24.271,23.347503561260854,25.10249643873915
2017-02-02,23.5,24.0,23.45,23.5,24.215999999999998,23.254404134198083,25.08559586580192
2017-02-03,23.15,23.7,23.1,23.35,24.163,23.15743909871486,25.042560901285142
2017-02-06,23.6,24.0,23.3,23.9,24.123999999999995,23.14090544170089,25.004094558299105
2017-02-07,23.65,24.0,23.65,23.95,24.096,23.15633911595146,24.908660884048537
2017-02-08,23.7,24.0,23.6,23.95,24.059,23.17685061201972,24.813149387980275
2017-02-09,23.8,23.95,23.65,23.9,24.016000000000005,23.181552826487913,24.748447173512087
2017-02-10,23.85,23.9,23.6,23.85,23.98,23.195582937934788,24.664417062065212
2017-02-13,23.65,23.95,23.65,23.95,23.947000000000003,23.253195278982194,24.531804721017803
2017-02-14,23.75,23.85,23.6,23.75,23.909000000000002,23.291040435912677,24.41395956408732
2017-02-15,23.9,23.95,23.6,23.9,23.886,23.32752631648217,24.32747368351783
2017-02-16,23.95,23.95,23.25,23.8,23.876000000000005,23.33927265980603,24.27572734019397
2017-02-17,23.7,23.95,23.7,23.85,23.851999999999997,23.388766186631972,24.176233813368025
2017-02-20,23.4,24.15,23.4,23.95,23.839000000000002,23.391480543060055,24.16851945693994
2017-02-21,23.8,24.0,23.5,23.7,23.814,23.422075522623885,24.157924477376113
2017-02-22,23.7,23.8,22.8,23.0,23.779,23.24306200746884,24.236937992531164
2017-02-23,22.8,23.4,22.5,23.15,23.747999999999998,23.151244806119013,24.243755193880983
