Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,475.0,480.0,475.0,480.0,,,
1995-01-03,500.0,500.0,495.0,495.0,,,
1995-01-04,485.0,485.0,485.0,485.0,,,
1995-01-09,475.0,475.0,475.0,475.0,,,
1995-01-10,475.0,475.0,475.0,475.0,,,
1995-01-18,520.0,524.75,520.0,520.0,,,
1995-01-19,545.0,545.0,545.0,545.0,,,
1995-01-20,535.0,535.0,505.0,505.0,,,
1995-01-23,510.0,525.0,510.0,516.65,,,
1995-01-24,515.0,515.0,515.0,515.0,,,
1995-01-27,505.0,505.0,505.0,505.0,,,
1995-01-30,490.0,490.0,490.0,490.0,,,
1995-01-31,500.0,500.0,500.0,500.0,,,
1995-02-07,470.0,470.0,470.0,470.0,,,
1995-02-08,465.0,467.25,465.0,467.25,,,
1995-02-09,465.0,465.0,465.0,465.0,,,
1995-02-10,480.0,480.0,480.0,480.0,,,
1995-02-14,495.0,495.0,480.0,494.0,,,
1995-02-15,505.0,510.0,505.0,505.0,,,
1995-02-17,485.0,485.0,475.1,478.4,,451.7443613231646,534.8856386768354
1995-02-20,475.0,480.0,475.0,480.0,,451.7443613231646,534.8856386768354
1995-02-24,499.95,499.95,499.95,499.95,,451.89080223356814,535.2341977664319
1995-02-28,490.0,515.0,490.0,512.5,,452.6452352475096,537.2297647524904
1995-03-01,510.0,510.0,510.0,510.0,,454.97635198869426,538.3986480113058
1995-03-07,510.0,510.0,510.0,510.0,,457.63045887640027,539.2445411235998
1995-03-08,481.0,481.0,481.0,481.0,,456.2962614287052,536.6787385712948
1995-03-10,515.0,515.0,505.0,505.0,,461.0467609783248,527.9282390216752
1995-03-20,500.0,500.0,465.0,465.0,,456.9736943078915,528.0013056921085
1995-03-21,495.0,495.0,461.0,461.0,,453.44966427653657,525.9603357234636
1995-03-22,480.0,480.0,480.0,480.0,,453.5067642343122,522.4032357656879
1995-03-23,480.0,480.0,480.0,480.0,,453.05593025451026,520.3540697454898
1995-04-03,460.0,460.0,460.0,460.0,,449.55897859360385,520.8510214063962
1995-04-05,482.5,500.0,482.5,500.0,,449.55897859360385,520.8510214063962
1995-04-06,500.0,510.0,500.0,502.0,,451.1599235702292,522.4500764297708
1995-04-10,490.0,493.0,490.0,493.0,,453.5792184222776,522.6057815777224
1995-04-20,470.0,470.05,470.0,470.0,,454.46698058273546,522.2180194172646
1995-04-28,489.0,489.0,489.0,489.0,,455.1452544726327,522.4397455273673
1995-05-02,465.0,465.0,445.0,445.5,,447.6861802189999,525.0488197810001
1995-05-03,444.0,444.0,444.0,444.0,,441.3427046179089,525.2922953820911
1995-05-04,450.0,450.0,445.0,446.9,,436.73633346344883,526.7486665365512
1995-05-05,460.0,460.0,450.05,450.05,,433.0546475069211,527.435352493079
1995-05-08,450.5,452.0,450.5,451.7,,429.95537355279043,525.7096264472095
1995-05-09,450.5,450.5,450.5,450.5,,428.29959112799656,521.1654088720034
1995-05-12,455.0,455.5,455.0,455.25,,427.92098450214405,516.069015497856
1995-05-15,455.0,455.0,450.0,450.0,,427.73494030159713,510.2550596984029
1995-05-16,452.0,452.0,445.05,445.05,,425.01746637220305,509.37753362779705
1995-05-17,440.0,440.0,435.0,435.0,,423.13919271932497,504.2558072806751
1995-05-18,430.0,430.0,430.0,430.0,,418.69496767377024,505.20003232622986
1995-05-19,425.0,425.0,425.0,425.0,,413.8404415974766,506.45455840252345
1995-05-22,415.0,415.0,415.0,415.0,478.17400000000004,407.44032580911704,506.35467419088303
1995-05-23,400.0,415.0,400.0,415.0,476.874,402.08459539233735,505.2104046076627
1995-05-24,400.0,400.0,400.0,400.0,474.974,393.9178876176419,507.3771123823582
1995-05-25,410.0,410.0,410.0,410.0,473.474,391.6676971272601,500.62730287273996
1995-05-29,430.0,430.0,425.0,425.0,472.474,393.8924168067306,490.70258319326945
1995-05-30,410.0,414.0,405.0,406.0,471.094,393.2312898814269,482.6637101185732
1995-05-31,408.0,415.0,408.0,415.0,468.994,392.0434616453367,478.3515383546634
1995-06-06,420.0,420.0,420.0,420.0,466.494,396.3728365275452,467.12216347245493
1995-06-08,415.0,415.0,415.0,415.0,464.694,394.7146732126866,465.73032678731346
1995-06-09,400.0,420.0,400.0,414.0,462.64099999999996,393.1307287008573,464.3142712991428
1995-06-12,414.0,419.0,414.0,419.0,460.721,392.5579961965691,462.097003803431
1995-06-13,401.0,401.0,401.0,401.0,458.64099999999996,389.93477284441093,459.81522715558907
1995-06-14,400.0,400.0,395.0,395.0,456.741,387.0630662473569,457.01693375264324
1995-06-16,357.0,385.0,357.0,382.75,454.39599999999996,382.18964976351464,455.1153502364854
1995-06-19,400.0,412.0,400.0,412.0,453.236,384.2845313568293,448.69546864317084
1995-06-20,415.0,420.0,405.5,405.55,452.00199999999995,385.89168978666703,442.64331021333305
1995-06-21,390.0,390.0,387.1,387.55,450.453,384.53777827462557,438.2472217253745
1995-06-22,380.0,390.0,380.0,390.0,448.65299999999996,383.0872494936761,435.197750506324
1995-06-23,380.0,390.0,380.0,385.7,446.48699999999997,380.8061138233555,433.04888617664454
1995-06-26,385.0,385.0,374.0,384.0,444.06699999999995,378.2967100430261,431.4582899569739
1995-06-27,390.0,390.0,376.0,390.0,442.29900000000004,376.7019403371478,430.5530596628522
1995-06-28,392.0,392.0,388.05,388.05,440.46,375.05504240977797,429.5049575902221
1995-06-29,395.0,400.0,395.0,400.0,438.461,375.05504240977797,429.5049575902221
1995-07-03,367.0,375.0,367.0,371.0,435.631,370.0211268854549,430.63887311454516
1995-07-05,374.0,374.0,360.0,370.0,432.83099999999996,366.72027663254744,428.43972336745264
1995-07-10,369.0,369.0,369.0,369.0,430.01099999999997,362.6400046921492,428.81999530785083
1995-07-11,370.5,371.0,370.5,371.0,427.811,359.98680867582175,427.0731913241783
1995-07-12,371.0,371.0,371.0,371.0,425.131,358.5342200973217,423.6257799026784
1995-07-13,371.0,371.0,371.0,371.0,423.251,357.20543108755277,420.5545689124472
1995-07-14,370.0,370.0,370.0,370.0,421.431,356.2645883940759,417.09541160592414
1995-07-17,370.0,380.0,365.0,380.0,419.431,358.2995470696178,411.16045293038223
1995-07-18,380.0,400.0,380.0,398.0,417.791,358.50669443362085,410.65330556637923
1995-07-19,368.5,368.5,368.5,368.5,415.961,356.72196398826765,409.78803601173234
1995-07-21,364.5,364.5,364.5,364.5,413.251,354.5127492588297,410.1722507411704
1995-07-24,365.0,370.0,365.0,370.0,410.611,355.6899939643331,404.7950060356669
1995-07-25,365.0,365.0,365.0,365.0,408.051,355.8634052140891,400.566594785911
1995-07-27,358.0,358.0,358.0,358.0,405.811,353.1136299351275,400.3613700648725
1995-07-28,355.0,355.0,350.0,350.0,403.031,349.15002619367544,400.3249738063246
1995-07-31,350.0,365.0,350.0,362.85,401.37800000000004,348.0279797137863,399.16202028621365
1995-08-01,389.0,390.0,353.0,353.0,399.55800000000005,345.39805093004617,398.69194906995375
1995-08-11,360.0,405.0,360.0,378.25,398.185,345.98511505597264,396.9298849440273
1995-08-14,380.25,388.0,380.0,388.0,396.944,345.9894629165761,396.9205370834239
1995-08-16,390.0,390.0,382.0,390.0,395.71,347.53910571293454,394.3708942870654
1995-08-17,391.9,391.9,383.0,383.0,394.36,347.52727697670707,395.58272302329283
1995-08-21,385.05,385.05,384.95,385.0,392.955,347.5560521223123,397.0539478776876
1995-08-22,386.0,400.0,386.0,398.3,391.921,346.50399263011525,401.0360073698847
1995-08-23,410.0,421.0,403.5,420.35,391.42699999999996,341.98896756890036,410.48603243109966
1995-08-24,400.0,400.0,392.0,399.0,390.707,342.0283072927364,413.2466927072636
1995-08-25,387.0,393.0,385.05,393.0,389.967,342.63583252138176,414.83916747861826
1995-08-28,385.0,388.0,380.25,384.0,389.147,343.5066618302769,415.3683381697231
1995-08-30,390.0,390.0,390.0,390.0,388.647,343.6967280348299,416.1782719651701
1995-08-31,385.0,385.0,385.0,385.0,388.04699999999997,343.95585509661595,414.6191449033841
1995-09-01,385.0,385.0,384.0,384.0,387.727,345.0486098990718,415.0763901009282
1995-09-11,385.85,400.0,385.85,386.25,387.25199999999995,346.8270446616586,415.47295533834136
1995-09-12,395.0,400.0,390.25,397.85,386.709,347.8662640147442,417.2187359852558
1995-09-18,383.0,383.8,383.0,383.8,386.265,349.8036252375759,417.16137476242403
1995-09-19,394.0,394.0,383.15,388.6,385.73699999999997,353.4971591240677,416.52784087593227
1995-09-20,394.0,394.0,394.0,394.0,385.217,360.1613617809293,414.26363821907063
1995-09-22,402.0,402.0,402.0,402.0,384.957,363.9368472045228,414.40315279547724
1995-09-25,380.0,390.0,376.5,389.5,384.467,372.3593832802287,409.6306167197713
1995-09-26,375.0,385.0,375.0,382.25,383.73199999999997,373.05606542907435,409.33393457092575
1995-09-27,380.0,385.0,380.0,385.0,383.412,372.74590885202196,409.3440911479781
1995-09-28,380.0,388.0,380.0,386.5,383.24199999999996,372.4622098870612,409.2777901129388
1995-09-29,380.0,390.0,380.0,390.0,383.38699999999994,373.17974092845884,409.2602590715412
1995-10-10,390.05,390.05,390.0,390.0,382.94699999999995,373.65550560565305,409.284494394347
1995-10-11,385.0,389.0,380.0,386.55,382.56699999999995,373.24225668505596,408.52274331494414
1995-10-12,390.0,390.0,390.0,390.0,382.616,378.4636673919434,400.26633260805664
1995-10-13,387.0,387.0,387.0,387.0,382.556,378.8172893403396,398.7127106596604
1995-10-16,387.0,388.0,387.0,387.0,382.582,378.6947390004208,398.2352609995793
1995-10-17,382.0,388.0,380.0,384.0,382.582,378.6947390004208,398.2352609995793
1995-10-18,385.0,385.0,385.0,385.0,382.48199999999997,378.3546541109082,398.07534588909186
1995-10-19,385.0,370.0,370.0,370.0,382.121,374.7162085196116,400.21379148038847
1995-10-25,380.0,397.0,380.0,397.0,382.061,374.7971409971065,401.4328590028935
1995-10-27,380.0,386.0,380.0,386.0,382.361,374.7768036125527,401.4281963874473
1995-10-30,386.0,387.0,386.0,387.0,382.70099999999996,375.0464873037226,400.07351269627753
1995-10-31,382.0,400.0,375.0,377.35,382.86800000000005,374.00421361977874,400.4707863802213
1995-11-01,394.0,398.0,392.1,398.0,383.408,373.6296983250261,401.7853016749739
1995-11-10,424.95,425.0,420.0,420.0,384.38800000000003,368.9508099493118,409.0641900506882
1995-11-13,420.0,424.0,415.0,415.0,385.26800000000003,367.136672797283,412.17832720271696
1995-11-14,415.0,419.0,408.0,410.0,386.06800000000004,366.39509206480795,414.96990793519205
1995-11-15,410.0,410.9,410.0,410.0,386.668,366.6659928564946,417.4740071435054
1995-11-16,410.0,416.0,405.0,405.0,386.80800000000005,367.266381322729,418.873618677271
1995-11-17,401.0,401.0,393.0,393.0,387.298,367.7767314361327,419.01326856386726
1995-11-21,391.0,399.0,391.0,399.0,387.98800000000006,368.1617287704129,419.52827122958706
1995-11-22,390.55,395.0,390.55,395.0,388.48800000000006,368.4720477069789,419.717952293021
1995-11-23,395.0,395.5,393.45,395.0,389.088,369.14089919490874,419.8941008050912
1995-11-24,395.0,396.0,394.15,395.0,389.82800000000003,369.47992712111005,420.0550728788899
1995-11-27,394.0,397.0,393.35,396.9,390.76599999999996,370.22882005519654,420.29617994480344
1995-11-28,395.0,395.0,390.3,393.45,391.37799999999993,370.8349207869441,420.33507921305585
1995-11-29,389.0,389.0,389.0,389.0,392.09799999999996,371.4797757684654,420.19022423153456
1995-11-30,392.95,395.0,392.95,395.0,392.43299999999994,372.5115683677445,420.1584316322555
1995-12-08,412.0,412.0,412.0,412.0,392.91299999999995,377.1126593562942,419.7573406437058
1995-12-11,411.1,411.1,411.1,411.1,393.335,377.0972043037827,421.1827956962173
1995-12-12,412.0,412.0,410.35,411.0,393.895,378.6513465773178,422.1286534226822
1995-12-13,420.0,422.0,411.5,411.5,394.425,380.2962141157414,422.9337858842586
1995-12-14,420.0,420.0,405.0,411.25,394.684,384.9257218197058,421.6942781802943
1995-12-15,411.05,411.05,411.0,411.0,394.49700000000007,385.44739831756357,422.4726016824365
1995-12-18,411.0,415.0,412.4,413.75,394.79200000000003,386.0885024563827,421.2064975436174
1995-12-19,413.0,413.5,412.75,412.75,395.18700000000007,386.25565120623,420.81434879377
1995-12-20,410.1,411.05,410.0,410.0,395.70700000000005,386.25565120623,420.81434879377
1995-12-21,410.0,435.0,413.5,427.25,396.45200000000006,384.2717773912032,424.52322260879686
1995-12-22,427.25,438.0,432.05,432.05,397.39300000000003,382.1227409879823,429.3772590120177
1995-12-26,433.1,436.0,433.0,434.5,398.403,381.7499564768002,433.90004352319977
