Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-02-01,84.4,84.4,83.25,83.25,,,
1995-02-02,81.55,81.55,81.55,81.55,,,
1995-02-03,84.95,84.95,84.95,84.95,,,
1995-02-06,84.95,84.95,84.95,84.95,,,
1995-02-08,84.4,84.95,84.4,84.95,,,
1995-02-10,85.5,85.5,85.5,85.5,,,
1995-02-13,84.4,84.4,84.4,84.4,,,
1995-02-15,87.2,87.2,87.2,87.2,,,
1995-02-17,87.2,87.2,85.05,86.6,,,
1995-02-20,87.2,87.2,87.2,87.2,,,
1995-02-21,85.5,85.5,85.5,85.5,,,
1995-02-22,84.4,86.9,84.4,86.9,,,
1995-02-23,84.95,86.6,84.95,86.6,,,
1995-02-24,85.5,85.5,85.5,85.5,,,
1995-02-28,84.95,84.95,84.95,84.95,,,
1995-03-10,39.95,39.95,39.95,39.95,,,
1995-04-12,43.9,43.9,43.9,43.9,,,
1995-04-17,43.0,43.3,42.75,42.75,,,
1995-04-18,42.2,42.2,42.2,42.2,,,
1995-04-27,40.75,40.75,40.5,40.5,,35.71985293546259,113.21014706453741
1995-05-04,41.05,42.75,40.5,42.75,,31.459162372743286,113.4208376272567
1995-05-05,40.5,42.2,40.5,42.2,,27.59855410226269,113.34644589773731
1995-05-09,39.95,41.6,39.95,41.6,,24.148830972808618,112.46116902719137
1995-05-10,41.6,42.2,41.6,41.9,,21.22238496740627,111.08261503259374
1995-05-15,42.5,42.5,42.5,42.5,,18.828947380677775,109.23105261932223
1995-05-16,42.2,42.75,42.2,42.75,,16.92375910263067,106.86124089736933
1995-05-17,42.75,43.3,42.75,43.3,,15.446831528254485,104.2281684717455
1995-05-18,43.3,43.3,43.3,43.3,,14.62855764589689,100.6564423541031
1995-05-22,43.2,43.3,43.2,43.3,,14.279972289302556,96.67502771069746
1995-05-26,40.5,44.45,40.5,44.45,,14.716900830284423,91.96309916971558
1995-05-29,44.45,44.45,44.45,44.45,,15.609718693599127,86.96528130640087
1995-05-30,44.45,44.45,44.45,44.45,,17.593208793291453,80.73679120670855
1995-05-31,45.0,45.0,45.0,45.0,,20.870759193662877,73.29924080633712
1995-06-02,46.1,46.1,46.1,46.1,,26.13148637702486,64.09851362297515
1995-06-06,52.9,52.9,52.9,52.9,,38.19729093840898,48.82770906159102
1995-06-09,47.8,47.8,47.8,47.8,,38.538348588885306,49.271651411114696
1995-06-13,47.25,47.25,47.25,47.25,,38.50128875496178,49.64371124503823
1995-06-14,46.7,46.7,46.7,46.7,,38.616738249377526,49.923261750622466
1995-06-15,46.4,46.4,46.4,46.4,,38.83848098096765,50.12151901903234
1995-07-11,43.9,43.9,43.9,43.9,,39.31698465860285,49.98301534139715
1995-07-20,45.1,47.25,45.1,47.25,,39.499960220465574,50.250039779534426
1995-07-21,51.2,51.4,51.2,51.4,,39.380426348728264,51.28957365127174
1995-07-24,52.8,52.9,52.8,52.9,,39.32548781077147,52.47451218922853
1995-07-25,56.25,56.25,52.4,52.4,,39.52644942759721,53.32355057240279
1995-07-26,52.9,52.9,52.4,52.4,,39.79041744781506,54.049582552184944
1995-07-28,52.65,52.65,52.65,52.65,,40.131413549703254,54.698586450296744
1995-07-31,52.3,52.3,51.85,51.85,,40.57220897563608,55.11279102436391
1995-08-03,54.55,54.55,54.55,54.55,,40.878212749400404,55.9317872505996
1995-08-11,50.6,50.6,49.5,49.5,,41.57260618044039,55.85739381955962
1995-08-14,49.5,50.5,49.5,50.5,57.95399999999999,42.127669584242724,55.90733041575727
1995-08-22,47.8,47.8,47.8,47.8,57.245,42.60687836760936,55.76312163239063
1995-08-23,48.4,48.4,48.4,48.4,56.582,43.17628282857047,55.58871717142953
1995-08-25,48.4,49.05,48.4,49.05,55.864,43.726304258670446,55.443695741329556
1995-08-28,46.8,46.8,46.7,46.7,55.099000000000004,43.82570861531037,55.40429138468962
1995-08-30,45.55,48.4,45.55,47.8,54.355999999999995,43.73294131240098,54.98705868759902
1995-09-01,48.95,48.95,48.95,48.95,53.625,43.83422846329045,55.00077153670954
1995-09-05,48.95,48.95,48.95,48.95,52.916,44.00709761542247,54.99790238457753
1995-09-11,48.95,48.95,48.95,48.95,52.151,44.27112992594127,54.95887007405872
1995-09-12,48.4,50.05,48.4,50.05,51.42,44.67104898589683,54.92395101410317
1995-09-13,52.3,52.3,49.6,49.6,50.66799999999999,45.766888803425466,54.398111196574526
1995-09-14,50.6,50.6,49.6,50.6,49.97,46.14224097462792,54.35775902537208
1995-09-19,50.15,50.15,50.15,50.15,49.235,46.11553228737861,54.25946771262139
1995-09-21,50.4,51.1,50.4,51.1,48.525,46.202229588469265,53.99277041153074
1995-09-25,50.6,51.5,50.6,51.5,47.845,46.24952678642652,53.85547321357347
1995-09-28,51.6,51.6,50.6,50.6,47.158,46.31127453881296,53.61372546118704
1995-10-10,51.75,52.9,52.9,52.9,47.41700000000001,46.283544717152516,53.66645528284749
1995-10-12,52.9,52.9,52.75,52.9,47.597,46.19653543821094,53.85846456178907
1995-10-13,52.75,52.75,52.75,52.75,47.797,46.48833915621274,53.38666084378726
1995-10-16,52.3,52.9,52.3,52.7,48.007,46.44301825259658,53.75198174740341
1995-10-23,52.65,52.65,52.65,52.65,48.25,46.37823827980401,54.03176172019599
1995-10-30,50.6,50.6,50.6,50.6,48.407,46.68757784196235,54.002422158037646
1995-10-31,48.8,48.8,48.8,48.8,48.538999999999994,46.748211660224456,53.98178833977555
1995-11-01,48.4,48.6,48.4,48.6,48.679,46.68588738865145,53.99911261134854
1995-11-10,48.95,49.5,48.95,49.5,48.831,47.21990900510047,53.745090994899535
1995-11-13,47.25,47.25,47.25,47.25,48.926,47.08955641462892,53.82044358537107
1995-11-14,48.4,48.4,46.1,46.1,48.993,46.471053589295394,54.153946410704606
1995-11-15,48.4,48.4,48.4,48.4,49.095,46.39491814454956,54.17508185545045
1995-11-17,48.4,48.4,48.4,48.4,49.196999999999996,46.3201919428572,54.1948080571428
1995-11-20,48.95,48.95,48.4,48.4,49.299,46.15118928979276,54.19881071020723
1995-11-21,48.4,48.95,48.4,48.95,49.389,46.08874605425648,54.196253945743514
1995-11-22,48.4,48.4,48.4,48.4,49.46799999999999,45.91216851103617,54.15283148896384
1995-11-23,48.4,47.8,47.35,47.8,49.535,45.67644264860646,54.15355735139354
1995-11-27,46.1,46.1,46.1,46.1,49.556999999999995,45.140551792876074,54.18944820712394
1995-12-15,48.4,48.4,48.4,48.4,49.603,45.03814650461241,53.98185349538758
1995-12-18,47.8,47.8,47.8,47.8,49.501000000000005,44.86662115155396,53.87337884844604
1995-12-21,45.65,48.0,45.65,48.0,49.505,44.90605775291837,53.34394224708163
1995-12-22,47.8,47.8,47.6,47.8,49.51599999999999,45.010575445129604,52.72942455487039
1995-12-27,48.4,48.4,48.25,48.35,49.549,45.24721476310644,52.052785236893556
1996-01-02,46.7,46.7,46.7,46.7,49.555,45.4264117216933,51.273588278306704
1996-01-09,48.7,48.7,48.4,48.4,49.645,46.024414204546545,50.250585795453446
1996-01-10,48.4,48.45,48.4,48.45,49.669,46.252242690176374,49.80775730982363
1996-01-11,48.45,48.95,47.9,48.4,49.60900000000001,46.2599323321354,49.7600676678646
