Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-07-23,116.0,138.9,115.0,126.0,,,
2021-07-26,126.35,143.75,125.3,140.65,,,
2021-07-27,141.7,147.8,127.75,132.9,,,
2021-07-28,131.0,135.0,123.55,131.2,,,
2021-07-29,134.95,144.0,132.2,141.55,,,
2021-07-30,142.6,142.7,131.0,133.5,,,
2021-08-02,135.75,140.75,135.15,139.7,,,
2021-08-03,137.0,140.8,137.0,139.4,,,
2021-08-04,139.8,141.0,135.25,138.4,,,
2021-08-05,138.75,138.9,132.0,134.95,,,
2021-08-06,135.5,136.2,130.1,131.35,,,
2021-08-09,132.4,133.55,127.25,130.6,,,
2021-08-10,131.0,131.45,122.1,125.2,,,
2021-08-11,123.0,138.75,123.0,135.65,,,
2021-08-12,135.65,137.4,132.05,135.45,,,
2021-08-13,133.85,139.75,132.1,137.35,,,
2021-08-16,136.4,136.9,132.25,134.95,,,
2021-08-17,132.8,134.35,130.6,132.5,,,
2021-08-18,134.5,136.8,133.3,134.95,,,
2021-08-20,134.95,141.45,133.0,139.3,,125.73302073012725,143.82197926987277
2021-08-23,137.8,137.8,124.75,127.25,,126.03685462910826,143.64314537089174
2021-08-24,127.25,127.95,120.5,125.0,,124.66627929575768,143.44872070424233
2021-08-25,126.0,128.5,123.1,124.25,,123.26279641399114,143.98720358600886
2021-08-26,125.25,127.15,124.35,125.85,,122.46886396343224,144.24613603656778
2021-08-27,126.6,129.5,124.1,124.7,,121.68803074919417,143.34196925080582
2021-08-30,127.85,135.45,127.55,133.55,,121.68955005552758,143.3454499444724
2021-08-31,134.0,135.2,131.35,134.55,,121.91716113489754,142.60283886510246
2021-09-01,134.55,135.1,130.7,132.6,,122.13330656344787,141.70669343655214
2021-09-02,132.0,138.5,131.5,137.6,,122.1988517427452,141.56114825725479
2021-09-03,135.95,151.4,135.6,149.75,,120.10346777468422,145.1365322253158
2021-09-06,149.25,149.35,143.25,144.05,,119.75942957661175,146.75057042338824
2021-09-07,144.9,146.85,138.55,140.05,,119.96425852898479,147.49074147101527
