Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2000-04-27,11.35,11.95,8.45,8.7,,,
2000-04-28,8.7,9.0,8.0,8.0,,,
2000-05-02,7.5,7.5,7.35,7.35,,,
2000-05-03,6.75,7.95,6.75,6.85,,,
2000-05-04,7.25,7.4,7.25,7.4,,,
2000-05-05,8.0,8.0,7.65,8.0,,,
2000-05-08,8.65,8.65,8.65,8.65,,,
2000-05-09,9.35,9.35,8.1,9.35,,,
2000-05-10,9.85,10.1,9.6,10.1,,,
2000-05-11,10.65,10.9,9.55,10.75,,,
2000-05-12,11.2,11.45,10.15,10.25,,,
2000-05-15,10.05,11.05,9.45,10.9,,,
2000-05-16,10.95,11.2,10.35,10.9,,,
2000-05-17,11.05,11.4,10.85,11.05,,,
2000-05-18,11.0,11.2,10.35,10.5,,,
2000-05-19,10.4,11.35,10.2,11.2,,,
2000-05-22,11.35,11.65,10.85,11.2,,,
2000-05-23,11.15,11.3,10.45,10.55,,,
2000-05-24,10.45,11.05,10.35,10.65,,,
2000-05-25,10.8,11.1,10.5,10.65,,6.71832183858711,12.58167816141289
2000-05-26,10.95,10.95,10.6,10.65,,6.819149467344241,12.67585053265576
2000-05-29,10.75,11.05,10.6,11.0,,7.039551711270368,12.755448288729633
2000-05-30,10.95,11.9,10.85,11.55,,7.425930349688134,12.789069650311863
2000-05-31,12.35,12.5,11.8,12.5,,7.976310969316444,12.803689030683554
2000-06-01,12.8,12.8,12.15,12.4,,8.511348338798275,12.768651661201723
2000-06-02,12.65,13.05,12.4,12.85,,8.92176034364579,12.843239656354207
2000-06-05,13.15,13.85,12.75,12.95,,9.226537680764249,12.968462319235751
2000-06-06,13.25,13.95,12.65,13.75,,9.284023588582965,13.350976411417033
2000-06-07,14.1,14.85,13.95,14.75,,9.085088343634961,14.01491165636504
2000-06-08,15.0,15.95,15.0,15.45,,8.799931897100603,14.770068102899398
2000-06-09,14.65,15.6,14.2,14.35,,8.887946350866041,15.092053649133955
2000-06-12,14.55,15.15,13.2,13.2,,9.002556141565671,15.20744385843433
2000-06-13,12.35,12.85,12.2,12.55,,9.132585925921967,15.242414074078033
2000-06-14,13.3,13.5,12.8,13.3,,9.255764723111454,15.344235276888547
2000-06-15,13.05,13.35,12.4,12.95,,9.488044971244314,15.356955028755685
2000-06-16,12.95,13.2,12.65,13.15,,9.627286831764291,15.412713168235708
2000-06-19,13.65,13.75,13.0,13.15,,9.781217221432238,15.453782778567762
2000-06-20,13.35,13.75,13.1,13.3,,10.07861201774126,15.431387982258741
2000-06-21,13.75,13.75,12.65,12.75,,10.373277362936452,15.346722637063547
2000-06-22,12.75,12.95,12.35,12.45,,10.679131860881563,15.220868139118435
2000-06-23,12.25,12.45,11.75,11.85,,10.940522567867594,15.079477432132405
2000-06-26,11.4,11.75,11.05,11.4,,11.03595623761266,15.024043762387342
2000-06-27,11.95,11.95,10.85,11.05,,10.92226394526712,15.087736054732881
2000-06-28,11.15,11.55,11.0,11.3,,10.735713380201403,15.1542866197986
2000-06-29,11.5,11.6,11.15,11.2,,10.551694235751826,15.218305764248173
2000-06-30,11.3,11.3,10.95,11.0,,10.311355315107866,15.273644684892135
2000-07-03,11.1,11.2,10.95,11.05,,10.09902372584076,15.295976274159239
2000-07-04,11.05,11.1,10.75,10.8,,9.869465881975238,15.230534118024764
2000-07-05,11.0,11.65,10.85,11.55,,9.886192373288434,14.893807626711567
